"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU6345",22,8.076,5,12,"Generalists"
"OTU636",7,4.298,2,7,"NS"
"OTU6063",2,1.704,1,3,"NS"
"OTU154",1,1.398,1,2,"NS"
"OTU2642",32,6.26,4,9,"Generalists"
"OTU1815",35,17.968,13,23,"Generalists"
"OTU3466",3,7.668,4.475,11,"Specialists"
"OTU2794",46,12.01,8,16,"Generalists"
"OTU3523",17,5.788,3,9,"Generalists"
"OTU929",2,5.198,2.475,8,"Specialists"
"OTU3109",36,8.57,5,12,"Generalists"
"OTU1448",43,18.044,13,24,"Generalists"
"OTU422",9,19.234,14,24,"Specialists"
"OTU287",16,12.396,8,17,"NS"
"OTU2467",5,4.042,2,6,"NS"
"OTU1643",15,17.198,12,22,"NS"
"OTU7766",27,5.958,3,9,"Generalists"
"OTU148",7,41.478,35,49,"Specialists"
"OTU4217",2,2.34,1,4,"NS"
"OTU10931",51,11,7,15,"Generalists"
"OTU13030",10,2.934,1,5,"Generalists"
"OTU5402",3,26.272,20,32,"Specialists"
"OTU1809",12,6.176,4,9,"Generalists"
"OTU14",56,49.852,41.475,57,"NS"
"OTU176",15,3.69,2,6,"Generalists"
"OTU12045",28,5.834,3,9,"Generalists"
"OTU520",47,21.426,16,28,"Generalists"
"OTU9",22,5.15,3,8,"Generalists"
"OTU1291",1,3.318,2,6,"Specialists"
"OTU1383",20,17.398,12,22,"NS"
"OTU143",36,31.266,25,38,"NS"
"OTU7437",5,2.432,1,4,"Generalists"
"OTU120",39,9.99,6,14,"Generalists"
"OTU163",3,1.75,1,3,"NS"
"OTU10521",11,3.072,1,5,"Generalists"
"OTU5716",4,5.02,2.475,8,"NS"
"OTU1284",29,22.852,17,28.525,"Generalists"
"OTU12189",41,7.054,4,11,"Generalists"
"OTU131",15,25.246,20,32,"Specialists"
"OTU476",6,20.618,15,26,"Specialists"
"OTU13013",16,4.02,2,6,"Generalists"
"OTU183",19,21.678,16,28,"NS"
"OTU9703",9,3.016,1.475,5,"Generalists"
"OTU3359",3,1.732,1,3,"NS"
"OTU7264",1,1.75,1,3,"NS"
"OTU7451",2,1.398,1,2,"NS"
"OTU5399",23,4.44,2,7,"Generalists"
"OTU11860",19,4.03,2,6,"Generalists"
"OTU5665",3,4.084,2,7,"NS"
"OTU279",12,40.966,33,49,"Specialists"
"OTU709",20,21.374,16,27,"NS"
"OTU364",1,3.888,2,6,"Specialists"
"OTU11196",4,1.992,1,3,"Generalists"
"OTU186",10,39.502,32,46.525,"Specialists"
"OTU127",16,18.51,13,24,"NS"
"OTU2208",1,31.452,24.475,38,"Specialists"
"OTU5602",7,3.84,2,6,"Generalists"
"OTU13039",57,11.038,7,15,"Generalists"
"OTU10922",21,6.924,4,10,"Generalists"
"OTU229",8,2.968,1,5,"Generalists"
"OTU51",11,3.25,1.475,5,"Generalists"
"OTU12561",32,6.782,4,10,"Generalists"
"OTU22",39,7.404,4,11,"Generalists"
"OTU129",8,2.84,1,5,"Generalists"
"OTU5042",27,5.714,3,9,"Generalists"
"OTU632",1,3.95,2,7,"Specialists"
"OTU663",19,17.292,12,23,"NS"
"OTU508",7,9.748,6,14,"NS"
"OTU401",1,3.914,2,7,"Specialists"
"OTU1084",1,1.44,1,2,"NS"
"OTU6299",7,2.96,1,5,"Generalists"
"OTU7244",1,1.742,1,3,"NS"
"OTU8294",6,2.3,1,4,"Generalists"
"OTU4689",15,3.602,2,6,"Generalists"
"OTU3830",2,3.17,1,5,"NS"
"OTU5723",10,16.592,12,21,"Specialists"
"OTU628",8,2.848,1,5,"Generalists"
"OTU10199",35,6.7,4,10,"Generalists"
"OTU5983",3,1.736,1,3,"NS"
"OTU12148",15,3.662,2,6,"Generalists"
"OTU12842",2,1.744,1,3,"NS"
"OTU1372",7,6.466,4,10,"NS"
"OTU12547",6,2.248,1,4,"Generalists"
"OTU3071",3,1.966,1,3,"NS"
"OTU277",2,2.462,1,4,"NS"
"OTU117",59,45.402,38,53,"Generalists"
"OTU2562",4,5.276,3,8,"NS"
"OTU5026",4,3.762,2,6,"NS"
"OTU3180",5,3.722,2,6,"NS"
"OTU2543",14,3.698,2,6,"Generalists"
"OTU192",3,1.7,1,3,"NS"
"OTU495",2,2.578,1,4,"NS"
"OTU5893",11,3.358,1.475,6,"Generalists"
"OTU7554",34,6.074,3,9,"Generalists"
"OTU1880",1,4.538,2,7,"Specialists"
"OTU10034",5,2.588,1,4,"Generalists"
"OTU4",6,2.486,1,4,"Generalists"
"OTU620",13,11.488,8,16,"NS"
