X16S_ID,Observed,beta_div_metacomm_mean,abund_null_dev_stoch,abund_null_dev_det,Domain,Grass
X1351_1846,1143,0.656587269,-0.162360699,-0.055970283,Bacteria,ANGE
X1351_1847,1379,0.696376772,-0.122571196,-0.016180781,Bacteria,ANGE
X1351_1848,1399,0.700324317,-0.118623651,-0.012233236,Bacteria,ANGE
X1351_1849,1294,0.66348474,-0.155463228,-0.049072813,Bacteria,ANGE
X1351_1850,1498,0.710316564,-0.108631404,-0.002240989,Bacteria,ANGE
X1351_1851,1180,0.724228173,-0.094719795,0.011670621,Bacteria,ANGE
X1351_1790,1394,0.666098971,-0.152848997,-0.046458582,Bacteria,ANGE
X1351_1791,1568,0.68706437,-0.131883599,-0.025493183,Bacteria,ANGE
X1351_1792,1236,0.691925827,-0.127022141,-0.020631726,Bacteria,ANGE
X1351_1781,1408,0.646216051,-0.172731917,-0.066341502,Bacteria,ANGE
X1351_1782,1354,0.66108443,-0.157863538,-0.051473123,Bacteria,ANGE
X1351_1783,1094,0.702903283,-0.116044685,-0.00965427,Bacteria,ANGE
X1351_1784,1296,0.683962849,-0.134985119,-0.028594704,Bacteria,ANGE
X1351_1785,1301,0.663606935,-0.155341033,-0.048950618,Bacteria,ANGE
X1351_1786,1250,0.662951066,-0.155996903,-0.049606487,Bacteria,ANGE
X1351_1787,1042,0.699640597,-0.119307371,-0.012916956,Bacteria,ANGE
X1351_1788,1022,0.69655074,-0.122397229,-0.016006813,Bacteria,ANGE
X1351_1789,1166,0.692553717,-0.126394252,-0.020003836,Bacteria,ANGE
X1351_1778,1133,0.758634049,-0.060313919,0.046076496,Bacteria,ANGE
X1351_1779,1437,0.70457667,-0.114371298,-0.007980883,Bacteria,ANGE
X1351_1780,776,0.814900929,-0.004047039,0.102343376,Bacteria,ANGE
X1351_1769,1075,0.715070093,-0.103877875,0.00251254,Bacteria,ANGE
X1351_1770,804,0.836459441,0.017511473,0.123901888,Bacteria,ANGE
X1351_1771,1098,0.795078255,-0.023869713,0.082520702,Bacteria,ANGE
X1351_1772,1374,0.671756732,-0.147191236,-0.040800821,Bacteria,ANGE
X1351_1773,1003,0.712213474,-0.106734494,-0.000344079,Bacteria,ANGE
X1351_1774,1256,0.735618167,-0.083329801,0.023060614,Bacteria,ANGE
X1351_1775,925,0.772168128,-0.04677984,0.059610575,Bacteria,ANGE
X1351_1776,1148,0.724293683,-0.094654285,0.01173613,Bacteria,ANGE
X1351_1777,905,0.819485625,0.000537657,0.106928072,Bacteria,ANGE
X1351_1814,1723,0.7313392,-0.087608768,0.018781647,Bacteria,ANGE
X1351_1815,1664,0.707722044,-0.111225925,-0.004835509,Bacteria,ANGE
X1351_1816,1660,0.790839475,-0.028108493,0.078281922,Bacteria,ANGE
X1351_1805,1640,0.723272541,-0.095675427,0.010714988,Bacteria,ANGE
X1351_1806,1022,0.833432559,0.014484591,0.120875006,Bacteria,ANGE
X1351_1807,1605,0.740341731,-0.078606237,0.027784178,Bacteria,ANGE
X1351_1808,1741,0.716388659,-0.102559309,0.003831106,Bacteria,ANGE
X1351_1809,1825,0.714888134,-0.104059834,0.002330581,Bacteria,ANGE
X1351_1810,1743,0.724514641,-0.094433327,0.011957088,Bacteria,ANGE
X1351_1811,1634,0.750176621,-0.068771348,0.037619068,Bacteria,ANGE
X1351_1812,1669,0.744010806,-0.074937162,0.031453253,Bacteria,ANGE
X1351_1813,1741,0.753484737,-0.065463231,0.040927184,Bacteria,ANGE
X1351_1662,1045,0.634969141,-0.19074353,-0.011210889,Bacteria,BOER
X1351_1663,878,0.62480165,-0.200911021,-0.02137838,Bacteria,BOER
X1351_1664,1063,0.591111807,-0.234600865,-0.055068224,Bacteria,BOER
X1351_1653,896,0.614117164,-0.211595507,-0.032062866,Bacteria,BOER
X1351_1654,777,0.64811195,-0.177600721,0.00193192,Bacteria,BOER
X1351_1655,871,0.606342558,-0.219370114,-0.039837473,Bacteria,BOER
X1351_1656,948,0.644514824,-0.181197847,-0.001665206,Bacteria,BOER
X1351_1657,958,0.608732183,-0.216980489,-0.037447848,Bacteria,BOER
X1351_1658,1030,0.603061645,-0.222651027,-0.043118386,Bacteria,BOER
X1351_1659,648,0.666839597,-0.158873075,0.020659567,Bacteria,BOER
X1351_1660,875,0.637440145,-0.188272526,-0.008739885,Bacteria,BOER
X1351_1661,971,0.612414493,-0.213298179,-0.033765537,Bacteria,BOER
X1351_1911,775,0.612840853,-0.212871818,-0.033339177,Bacteria,BOER
X1351_1912,775,0.656144862,-0.169567809,0.009964832,Bacteria,BOER
X1351_1913,840,0.60751631,-0.218196361,-0.03866372,Bacteria,BOER
X1351_1902,639,0.65733543,-0.168377241,0.0111554,Bacteria,BOER
X1351_1903,773,0.642124346,-0.183588325,-0.004055684,Bacteria,BOER
X1351_1904,917,0.603716986,-0.221995686,-0.042463044,Bacteria,BOER
X1351_1905,974,0.565516902,-0.260195769,-0.080663128,Bacteria,BOER
X1351_1906,733,0.626162083,-0.199550588,-0.020017947,Bacteria,BOER
X1351_1907,840,0.611504634,-0.214208038,-0.034675396,Bacteria,BOER
X1351_1908,784,0.619704375,-0.206008296,-0.026475655,Bacteria,BOER
X1351_1909,809,0.632910352,-0.192802319,-0.013269678,Bacteria,BOER
X1351_1910,799,0.617840787,-0.207871884,-0.028339243,Bacteria,BOER
X1351_1722,819,0.750569155,-0.075143516,0.104389125,Bacteria,BOER
X1351_1723,701,0.843503995,0.017791323,0.197323964,Bacteria,BOER
X1351_1724,961,0.782075709,-0.043636962,0.135895679,Bacteria,BOER
X1351_1713,582,0.783297661,-0.04241501,0.137117631,Bacteria,BOER
X1351_1714,743,0.746920967,-0.078791704,0.100740937,Bacteria,BOER
