"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU2642",19,4.898,3,8,"Generalists"
"OTU1815",21,8.704,5,12,"Generalists"
"OTU2794",21,7.366,4,11,"Generalists"
"OTU929",4,6.736,4,10,"NS"
"OTU3109",26,46.228,40,53,"Specialists"
"OTU1448",8,5.498,3,8,"NS"
"OTU422",2,5.064,2.475,8,"Specialists"
"OTU287",27,9.866,6,13,"Generalists"
"OTU2467",7,3.53,2,6,"Generalists"
"OTU1643",3,1.904,1,3,"NS"
"OTU7766",39,13.378,9,18,"Generalists"
"OTU148",2,1.398,1,2,"NS"
"OTU4217",2,3.134,1,5,"NS"
"OTU10931",28,7.268,4,11,"Generalists"
"OTU13030",7,2.562,1,4,"Generalists"
"OTU1809",4,1.868,1,3,"Generalists"
"OTU14",18,4.876,2,8,"Generalists"
"OTU176",8,2.556,1,5,"Generalists"
"OTU223",4,2.254,1,4,"NS"
"OTU12045",20,5.078,3,8,"Generalists"
"OTU520",17,3.84,2,6,"Generalists"
"OTU9",14,4.142,2,6.52499999999998,"Generalists"
"OTU1383",13,3.78,2,6,"Generalists"
"OTU143",8,2.722,1,4,"Generalists"
"OTU7437",1,1.372,1,2,"NS"
"OTU120",24,24.534,19,30,"NS"
"OTU7840",19,4.118,2,7,"Generalists"
"OTU5716",2,1.404,1,2,"NS"
"OTU1284",9,12.46,8,17,"NS"
"OTU12189",18,5.032,3,8,"Generalists"
"OTU131",6,5.678,3,9,"NS"
"OTU476",8,5.104,3,8,"NS"
"OTU13013",4,2.498,1,4,"NS"
"OTU183",12,29.942,24,36,"Specialists"
"OTU9703",3,2.074,1,3,"NS"
"OTU3359",23,12.77,8,17,"Generalists"
"OTU4198",3,2.146,1,4,"NS"
"OTU7264",1,2.986,1,5,"NS"
"OTU7451",5,7.516,4,11,"NS"
"OTU5399",11,3.188,1,5,"Generalists"
"OTU11860",6,2.356,1,4,"Generalists"
"OTU115",36,14.828,10,20,"Generalists"
"OTU4381",13,16.89,12,22,"NS"
"OTU186",4,2.044,1,4,"NS"
"OTU2521",6,5.902,3,9,"NS"
"OTU127",33,22.3,17,28,"Generalists"
"OTU5602",2,1.42,1,2,"NS"
"OTU13039",20,5.562,3,8,"Generalists"
"OTU10922",9,3.056,1,5,"Generalists"
"OTU11279",4,1.802,1,3,"Generalists"
"OTU229",3,1.848,1,3,"NS"
"OTU51",20,5.578,3,9,"Generalists"
"OTU12561",14,3.602,2,6,"Generalists"
"OTU22",20,5.13,3,8,"Generalists"
"OTU129",5,2.196,1,4,"Generalists"
"OTU34",5,18.858,14,24,"Specialists"
"OTU5042",15,3.554,2,6,"Generalists"
"OTU1513",1,1.974,1,3,"NS"
"OTU632",22,10.53,7,15,"Generalists"
"OTU2171",1,3.042,1,5,"NS"
"OTU663",6,8.472,5,12,"NS"
"OTU1084",9,11.574,7.475,16,"NS"
"OTU725",3,16.166,11.475,21.525,"Specialists"
"OTU6299",4,1.878,1,3,"Generalists"
"OTU4163",1,4.706,2,8,"Specialists"
"OTU1515",16,14.142,10,19,"NS"
"OTU8294",1,1.4,1,2,"NS"
"OTU4689",11,4.068,2,7,"Generalists"
"OTU5723",3,8.664,5,12,"Specialists"
"OTU628",14,31.108,25.475,38,"Specialists"
"OTU11083",2,2.772,1,4.52499999999998,"NS"
"OTU2913",3,5.704,3,9,"NS"
"OTU3771",3,2.58,1,4,"NS"
"OTU2410",14,9.32,6,13,"Generalists"
"OTU10199",19,4.55,2,7,"Generalists"
"OTU5983",4,3.178,2,5,"NS"
"OTU12148",9,9.24,6,13,"NS"
"OTU12842",5,4.736,2,7,"NS"
"OTU717",6,25.966,21,32.525,"Specialists"
"OTU3071",15,8.312,5,12,"Generalists"
"OTU8974",4,2.36,1,4,"NS"
"OTU7431",2,2.462,1,4,"NS"
"OTU117",18,4.428,2,7,"Generalists"
"OTU3004",13,5.082,3,8,"Generalists"
"OTU3180",4,1.908,1,3,"Generalists"
"OTU1523",3,5.914,3,9,"NS"
"OTU2584",5,6.24,3,10,"NS"
"OTU2543",9,2.698,1,4,"Generalists"
"OTU192",6,2.45,1,4,"Generalists"
"OTU495",15,17.73,13.475,23,"NS"
"OTU1348",5,9.798,6,14,"Specialists"
"OTU5893",6,2.236,1,4,"Generalists"
"OTU2025",4,3.144,1,5,"NS"
"OTU2759",3,2.828,1,5,"NS"
"OTU7554",5,2.056,1,4,"Generalists"
"OTU10034",7,21.21,16,27,"Specialists"
"OTU4",20,4.914,3,8,"Generalists"
"OTU620",1,5.986,3,9,"Specialists"
"OTU8080",3,2.022,1,3,"NS"
"OTU6",17,4.636,2,7,"Generalists"
"OTU7274",17,4.158,2,7,"Generalists"
"OTU2235",2,2.194,1,4,"NS"
"OTU478",1,2.594,1,4,"NS"
"OTU516",4,15.164,11,20,"Specialists"
"OTU6498",2,4.366,2,7,"NS"
"OTU339",9,3.104,1,5,"Generalists"
"OTU1852",14,12.378,8,17,"NS"
"OTU7501",1,3.292,2,6,"Specialists"
"OTU8200",1,1.634,1,3,"NS"
"OTU6119",5,12.166,8,17,"Specialists"
"OTU2869",1,7.558,4,11,"Specialists"
"OTU4123",9,2.936,1,5,"Generalists"
"OTU2637",2,1.628,1,3,"NS"
"OTU12362",3,1.884,1,3,"NS"
"OTU7314",3,1.988,1,3,"NS"
"OTU5027",4,13.668,9,18,"Specialists"
"OTU3450",18,9.624,6,13.525,"Generalists"
"OTU607",2,3.274,1,5,"NS"
"OTU2635",13,5.682,3,9,"Generalists"
"OTU5298",1,1.676,1,3,"NS"
"OTU6121",5,3.146,1,5,"NS"
"OTU1828",2,7.056,4,10,"Specialists"
"OTU8426",13,11.91,8,16,"NS"
"OTU2636",2,4.818,2,8,"NS"
"OTU2987",1,2.29,1,4,"NS"
"OTU28",12,3.458,1.475,6,"Generalists"
"OTU11615",1,1.4,1,2,"NS"
"OTU894",5,18.012,13,23,"Specialists"
"OTU2031",5,4.726,2,7,"NS"
"OTU1385",3,2.974,1,5,"NS"
"OTU4669",2,3.958,2,7,"NS"
"OTU2005",2,1.346,1,2,"NS"
"OTU6333",2,2.74,1,5,"NS"
"OTU7006",3,4.034,2,6,"NS"
"OTU44",4,7.504,4,11,"NS"
"OTU3501",4,4.862,3,8,"NS"
"OTU9749",2,2.944,1,5,"NS"
"OTU281",7,2.312,1,4,"Generalists"
"OTU11980",17,4.358,2,7,"Generalists"
"OTU12225",10,3.454,2,6,"Generalists"
"OTU27",8,2.52,1,4,"Generalists"
"OTU1731",4,2.038,1,4,"NS"
"OTU188",6,2.322,1,4,"Generalists"
"OTU248",17,18.338,14,24,"NS"
"OTU856",2,1.406,1,2,"NS"
"OTU2782",6,2.334,1,4,"Generalists"
"OTU6796",1,1.384,1,2,"NS"
"OTU1491",13,10.468,7,15,"NS"
"OTU29",18,4.044,2,7,"Generalists"
"OTU841",16,5.054,3,8,"Generalists"
"OTU11",15,34.262,28,41,"Specialists"
"OTU4606",2,2.32,1,4,"NS"
"OTU2018",1,2.55,1,4,"NS"
"OTU5998",11,3.012,1,5,"Generalists"
"OTU8872",18,11.368,7,16,"Generalists"
"OTU327",2,1.384,1,2,"NS"
"OTU638",16,3.942,2,6,"Generalists"
"OTU565",6,2.196,1,4,"Generalists"
"OTU189",2,1.408,1,2,"NS"
"OTU4019",2,16.11,11,21,"Specialists"
"OTU6812",3,1.968,1,3.52499999999998,"NS"
"OTU3125",14,11.424,8,15.525,"NS"
"OTU303",4,1.912,1,3,"Generalists"
"OTU8516",14,9.05,5,13,"Generalists"
"OTU4005",7,2.538,1,4,"Generalists"
"OTU62",7,2.278,1,4,"Generalists"
"OTU9896",6,4.084,2,7,"NS"
"OTU4107",21,7.64,5,11,"Generalists"
"OTU1562",2,2.028,1,4,"NS"
"OTU12247",7,2.702,1,5,"Generalists"
"OTU6573",2,2.06,1,3,"NS"
"OTU9368",1,6.17,3,9.52499999999998,"Specialists"
"OTU5652",4,2.048,1,3.52499999999998,"Generalists"
"OTU1231",36,24.102,18,30,"Generalists"
"OTU756",8,4.344,2,7,"Generalists"
"OTU103",2,1.676,1,3,"NS"
"OTU106",20,7.478,4,11,"Generalists"
"OTU97",3,1.694,1,3,"NS"
"OTU7090",3,3.198,1.475,6,"NS"
