"","rich_current_names","sobs","chao","shannonH","simpson_inv","simpsonD","simpsoneven","shannoneven"
"SRR13801399","SRR13801399",179,226.222222222222,2.47014609011821,0.813766496853189,0.186233503146811,0.0299977828069258,0.476183222643078
"SRR13801186","SRR13801186",172,213.25,2.98722022924489,0.903633529194988,0.0963664708050123,0.0603317049986819,0.580325096549521
"SRR13801171","SRR13801171",167,230.588235294118,2.56069157744713,0.817422055989197,0.182577944010803,0.0327970828269459,0.500331120220317
"SRR13801400","SRR13801400",169,195.64,2.78526425090961,0.809400749643401,0.190599250356599,0.0310450316685033,0.542947220928002
"SRR13801525","SRR13801525",233,313.161290322581,3.26222088270519,0.909776798704033,0.0902232012959672,0.0475691998500841,0.598458607565181
"SRR13800997","SRR13800997",203,275.730769230769,2.66130305612137,0.812570211642222,0.187429788357778,0.0262824197666006,0.500884600864151
"SRR13801246","SRR13801246",200,287.652173913043,2.94551694630544,0.881233777543876,0.118766222456124,0.0420995119369663,0.55593441134775
"SRR13801475","SRR13801475",204,290.666666666667,3.09620272421299,0.904850413729797,0.0951495862702028,0.0515184666215289,0.582198733348793
"SRR13801023","SRR13801023",213,253.181818181818,3.56751385894255,0.942457117836419,0.0575428821635809,0.0815884694027813,0.665420527118481
"SRR13801012","SRR13801012",217,356.333333333333,3.35788246463243,0.924112247318218,0.0758877526817818,0.0607251469179674,0.62415363044476
"SRR13801398","SRR13801398",196,247,3.33114836955933,0.905706868729226,0.0942931312707742,0.0541082976836923,0.631124669437357
"SRR13801333","SRR13801333",181,252.291666666667,2.1720796490403,0.73925844935795,0.26074155064205,0.0211890351378544,0.41782839077844
"SRR13801311","SRR13801311",183,298,1.63652160119737,0.461812547403852,0.538187452596148,0.0101534899187207,0.314142614680867
"SRR13801300","SRR13801300",204,263.181818181818,2.64901600372085,0.800441099145523,0.199558900854477,0.0245639796737924,0.498111363938218
"SRR13801289","SRR13801289",173,216.0625,2.40649483838829,0.787916768881528,0.212083231118472,0.0272550865541099,0.466982082084727
"SRR13801322","SRR13801322",127,199.058823529412,2.14163348936899,0.76923099323451,0.23076900676549,0.0341207680285817,0.442103793917393
"SRR13801278","SRR13801278",200,261,3.17846412705365,0.888709338615516,0.111290661384484,0.0449273994583079,0.599900667921764
"SRR13801219","SRR13801219",131,172,2.80084977595923,0.901565740142696,0.0984342598573041,0.0775501110825197,0.574510033189822
"SRR13801208","SRR13801208",181,288.25,2.84327420816223,0.887937313482308,0.112062686517692,0.0493015297967251,0.546941585435492
"SRR13801197","SRR13801197",190,314.25,2.81762355690483,0.866331261205524,0.133668738794476,0.03937463570169,0.536994593155098
"SRR13801185","SRR13801185",140,217.214285714286,2.49089119110463,0.845624347916091,0.154375652083909,0.0462693245109322,0.504061398637051
"SRR13801126","SRR13801126",131,206,1.86443326424555,0.729089770993369,0.270910229006631,0.0281775546617426,0.382432369531521
"SRR13801115","SRR13801115",177,249.058823529412,2.96215506635136,0.890402040169541,0.109597959830459,0.0515494770419455,0.572269972738682
"SRR13800962","SRR13800962",90,139.583333333333,1.90836644948062,0.744148052617318,0.255851947382682,0.0434278934546941,0.424099370705285
"SRR13800927","SRR13800927",68,103.1,1.64333377977884,0.738363942286871,0.261636057713129,0.0562073992456553,0.389461021190445
"SRR13800916","SRR13800916",74,97.0769230769231,1.60067117748846,0.741141548077884,0.258858451922116,0.052204258401342,0.371897530085178
"SRR13800973","SRR13800973",96,123,2.04843565811329,0.70411869994892,0.29588130005108,0.0352055593404124,0.448790401648683
"SRR13801586","SRR13801586",100,127,1.50852513684817,0.620119914644532,0.379880085355468,0.0263240964333327,0.327572071372753
"SRR13801575","SRR13801575",71,92,1.99539156544715,0.751528591001559,0.248471408998441,0.0566846185604472,0.468107299399675
"SRR13801170","SRR13801170",49,66.1,1.72027953659693,0.771992397090547,0.228007602909453,0.0895065033134472,0.442024401134883
"SRR13801159","SRR13801159",96,129.461538461538,2.14743346545639,0.806908622337547,0.193091377662453,0.0539468245178522,0.470479765209542
"SRR13801370","SRR13801370",96,105,2.30116313654922,0.818970933611389,0.181029066388611,0.0575414041207363,0.504160296283004
"SRR13801359","SRR13801359",54,87,1.48153784794046,0.660831937504388,0.339168062495612,0.0545998298963013,0.371407313402648
"SRR13801423","SRR13801423",71,88.2727272727273,2.15125214569462,0.836930299705699,0.163069700294301,0.0863710855961252,0.50467128842614
"SRR13801412","SRR13801412",93,120.272727272727,2.42024955537813,0.852583518727248,0.147416481272752,0.0729408820452595,0.533965014785457
"SRR13801401","SRR13801401",77,102,2.41648165703243,0.851926392479113,0.148073607520887,0.0877064671040788,0.556305226029489
"SRR13801524","SRR13801524",69,90.375,2.54955738216324,0.890491082408084,0.109508917591916,0.132343136448444,0.602147673752423
"SRR13800952","SRR13800952",103,134.5,2.75406375437578,0.89773002487085,0.10226997512915,0.0949324359550993,0.59422325693045
"SRR13801146","SRR13801146",59,81.6666666666667,1.80725770090832,0.774424348572768,0.225575651427232,0.0751373316895439,0.443222833823254
"SRR13801135","SRR13801135",154,195.130434782609,2.84429735086864,0.900707662995375,0.0992923370046254,0.0653978613999588,0.564686145648005
"SRR13801425","SRR13801425",104,128.473684210526,2.42747742474307,0.859483119577238,0.140516880422762,0.0684286797889019,0.522668629204284
"SRR13800996","SRR13800996",104,154.214285714286,2.37588501803269,0.851089618237852,0.148910381762148,0.0645716202027008,0.511560088207031
"SRR13800985","SRR13800985",109,132.25,2.50083211596786,0.866103828253391,0.133896171746609,0.06851810478919,0.53307326140554
"SRR13801436","SRR13801436",100,131.909090909091,2.42417124337295,0.847350235098089,0.152649764901911,0.0655094359721143,0.526402097092709
"SRR13801262","SRR13801262",93,153.545454545455,2.29414100489171,0.848172781343376,0.151827218656624,0.0708218741486766,0.506142448358197
"SRR13801251","SRR13801251",89,124.769230769231,2.29763879460526,0.836733726651429,0.163266273348571,0.068819817012612,0.511879021900447
"SRR13801085","SRR13801085",118,148.875,2.45863031345094,0.858287537948489,0.141712462051511,0.0598012069545867,0.515362155956037
"SRR13801515","SRR13801515",109,141.8,1.56337497761509,0.596822235731001,0.403177764268999,0.0227550047142095,0.33324643937346
"SRR13801504","SRR13801504",89,141.928571428571,1.8004397304168,0.713308089585091,0.286691910414909,0.0391917408479325,0.401110622940534
"SRR13801052","SRR13801052",86,125.545454545455,2.38907907677363,0.866715123937571,0.133284876062429,0.0872410082843746,0.536347733546294
"SRR13801041","SRR13801041",134,190,2.00703942753678,0.675392551972446,0.324607448027554,0.0229898808930925,0.409780537851993
"SRR13801476","SRR13801476",109,169.545454545455,2.37934941919018,0.813493585128211,0.186506414871789,0.0491903290989333,0.507178209529754
"SRR13801030","SRR13801030",124,159,3.0339721722521,0.917854626154715,0.0821453738452848,0.0981737102349942,0.629418039373656
"SRR13801029","SRR13801029",111,144.461538461538,2.41868666079627,0.854459522993145,0.145540477006855,0.0619003674736114,0.513572810324539
"SRR13801028","SRR13801028",85,104.25,1.95990700221351,0.737668373088074,0.262331626911926,0.0448466927943186,0.441157067944565
"SRR13801031","SRR13801031",131,215,2.47199822756755,0.861977553069252,0.138022446930748,0.0553068573700166,0.507056035619988
"SRR13801027","SRR13801027",92,117.071428571429,2.33796333992831,0.831130241511632,0.168869758488368,0.0643665586703616,0.517043930756728
"SRR13801026","SRR13801026",73,205,1.56104586772737,0.666109058214549,0.333890941785451,0.0410272589718491,0.363841189770002
"SRR13801025","SRR13801025",123,170.3,2.47814295694551,0.862484620865341,0.137515379134659,0.0591212513972839,0.514972572523922
"SRR13801024","SRR13801024",142,194.105263157895,1.87086800592733,0.57075775883109,0.42924224116891,0.0164062453451677,0.377508735511217
"SRR13801022","SRR13801022",180,256.95652173913,3.26725413006104,0.923982924997666,0.0760170750023336,0.0730829955688904,0.629170282726487
"SRR13801021","SRR13801021",153,252,2.91258731485627,0.882551274335932,0.117448725664068,0.0556493710379855,0.578992795531817
"SRR13801020","SRR13801020",177,251.25,2.43006966937095,0.800549196735816,0.199450803264184,0.0283263713239647,0.469474376693235
"SRR13801019","SRR13801019",108,158.647058823529,2.36621925083531,0.76745943184016,0.23254056815984,0.0398178233266153,0.505372262342302
"SRR13801016","SRR13801016",129,211.875,2.62199649128272,0.86198466706724,0.13801533293276,0.0561672230162484,0.539526276555342
"SRR13801015","SRR13801015",164,205.576923076923,3.31295646793271,0.941254402665732,0.0587455973342677,0.103796050296571,0.64961632129376
"SRR13801018","SRR13801018",115,174.125,2.02434863894499,0.72170700459877,0.27829299540123,0.0312463925345158,0.426633845159612
"SRR13801014","SRR13801014",119,174.681818181818,2.26388444608088,0.824840138302375,0.175159861697625,0.047975382391226,0.473702855626972
"SRR13801013","SRR13801013",159,232.333333333333,2.85501263339061,0.888567664518239,0.111432335481761,0.0564406027111409,0.563240597867304
"SRR13801011","SRR13801011",126,187.894736842105,2.98769286363076,0.926568316035374,0.0734316839646264,0.108080157065867,0.617766482829789
"SRR13801010","SRR13801010",175,280.285714285714,3.22714266117671,0.924931686075373,0.075068313924627,0.0761211410718935,0.624835700350456
"SRR13801009","SRR13801009",177,247.8,3.30575470482533,0.932259768496434,0.0677402315035661,0.083402689786008,0.638651290170765
"SRR13801008","SRR13801008",131,200,2.85848823777398,0.889722594729919,0.110277405270081,0.0692216847826994,0.586332828862205
"SRR13801349","SRR13801349",167,281.375,2.80910565915818,0.852415284401223,0.147584715598777,0.0405734694666811,0.548868514132043
"SRR13801245","SRR13801245",117,215.272727272727,1.86001706962916,0.701432911637422,0.298567088362578,0.0286267605511466,0.390581506491773
"SRR13801546","SRR13801546",100,178.111111111111,1.69551186961143,0.620056611788817,0.379943388211183,0.0263197105418287,0.368175724486854
"SRR13801070","SRR13801070",115,144,2.90003227707467,0.905986562205033,0.0940134377949671,0.0924937155566771,0.611185196883949
"SRR13801059","SRR13801059",91,130.666666666667,2.52936063570422,0.885207609914005,0.114792390085995,0.0957294379947899,0.560726981642865
"SRR13801489","SRR13801489",123,170.3,2.83525605710131,0.911862138223886,0.0881378617761136,0.0922427789485626,0.589182759371215
"SRR13801478","SRR13801478",107,152.090909090909,2.23669616019564,0.795356349540272,0.204643650459728,0.0456686262756171,0.478659980802229
"SRR13801346","SRR13801346",157,174.103448275862,2.49303935200604,0.79308936854434,0.20691063145566,0.0307834677550501,0.49306134392616
"SRR13801345","SRR13801345",154,198.4,2.50886128830758,0.726987701851875,0.273012298148125,0.0237846666159464,0.498091105146667
"SRR13801344","SRR13801344",164,185.576923076923,2.711774032568,0.830687590576439,0.169312409423561,0.0360136684391264,0.531734324995831
"SRR13801347","SRR13801347",169,218.111111111111,2.66118862259018,0.821415315046137,0.178584684953863,0.0331336349745909,0.518760461068886
"SRR13801342","SRR13801342",169,216,2.52541504657498,0.750872930549712,0.249127069450288,0.0237515729477737,0.492293354492254
"SRR13801341","SRR13801341",174,235.894736842105,2.97572877916231,0.891698019072081,0.108301980927919,0.0530657554694836,0.576797224797216
"SRR13801340","SRR13801340",178,219.130434782609,3.04483589622679,0.857740600493352,0.142259399506648,0.0394910814158705,0.58760383691734
