rich_current_bac_names,sobs,chao,shannonH,simpson_inv,simpsonD,simpsoneven,shannoneven,rich_current_bac_names
X1351_1496,823,1364.428571,4.855461978,0.974568878,0.025431122,0.047778734,0.723297134,X1351_1496
X1351_1497,964,1507.230769,5.161111932,0.980039187,0.019960813,0.051969045,0.751134239,X1351_1497
X1351_1498,1094,1697.124352,5.454706742,0.987044316,0.012955684,0.07055411,0.779511529,X1351_1498
X1351_1499,809,1373.666667,4.971816058,0.980534042,0.019465958,0.06350029,0.742527683,X1351_1499
X1351_1500,1024,1583.445714,5.360526179,0.983057987,0.016942013,0.057641467,0.773360453,X1351_1500
X1351_1501,1057,1652.756757,5.392387268,0.987824343,0.012175657,0.077702076,0.774413348,X1351_1501
X1351_1502,1100,1766.684211,5.522367053,0.984594541,0.015405459,0.059010958,0.788564249,X1351_1502
X1351_1503,910,1408.272727,5.31003545,0.98594611,0.01405389,0.078191955,0.779346683,X1351_1503
X1351_1504,1176,1920.218274,5.569345308,0.988577474,0.011422526,0.07444414,0.78775735,X1351_1504
X1351_1505,926,1507.068966,5.150855231,0.981108491,0.018891509,0.057163968,0.754055053,X1351_1505
X1351_1506,983,1618.106667,5.459212534,0.989040644,0.010959356,0.092824247,0.792268497,X1351_1506
X1351_1507,937,1560.209459,5.155154639,0.984079897,0.015920103,0.067036994,0.753382033,X1351_1507
X1351_1508,772,1200.04878,4.985376773,0.983555945,0.016444055,0.078772346,0.749795211,X1351_1508
X1351_1509,1038,1635.147541,5.038861344,0.967822634,0.032177366,0.029940025,0.725532656,X1351_1509
X1351_1510,862,1666.081081,4.819114126,0.973292284,0.026707716,0.043436616,0.71296525,X1351_1510
X1351_1511,896,1393.205298,5.114844446,0.980225735,0.019774265,0.056440602,0.752410897,X1351_1511
X1351_1512,1182,1858.107692,5.716252345,0.990388329,0.009611671,0.088020456,0.807955064,X1351_1512
X1351_1513,970,1705,5.279974313,0.982664321,0.017335679,0.059468557,0.767739859,X1351_1513
X1351_1514,1128,1973.415094,5.618554307,0.989575491,0.010424509,0.08504236,0.799429891,X1351_1514
X1351_1515,1122,2078.387097,5.389656394,0.982777505,0.017222495,0.051750086,0.767443775,X1351_1515
X1351_1516,1167,1996.223301,5.220239209,0.970757664,0.029242336,0.029303337,0.739181189,X1351_1516
X1351_1517,1283,1969.677686,5.725312354,0.989836918,0.010163082,0.076691617,0.799964686,X1351_1517
X1351_1518,1336,2203.650862,5.746902776,0.987554513,0.012445487,0.060142525,0.798465355,X1351_1518
X1351_1519,1340,2304.513889,5.716883736,0.987697478,0.012302522,0.060659811,0.793964776,X1351_1519
X1351_1520,953,1660.52518,5.092679715,0.97583008,0.02416992,0.043414209,0.742414813,X1351_1520
X1351_1521,1200,2026.583333,5.568292801,0.982452268,0.017547732,0.047489517,0.785364239,X1351_1521
X1351_1522,1185,1959.23,5.389063652,0.978572991,0.021427009,0.039384026,0.761436261,X1351_1522
X1351_1523,1382,2264.283186,5.881209497,0.990193865,0.009806135,0.073789421,0.813300522,X1351_1523
X1351_1524,1072,1969.77027,5.416486213,0.984869306,0.015130694,0.061651886,0.776303255,X1351_1524
X1351_1525,1140,1873.887097,5.49401133,0.984756781,0.015243219,0.05754644,0.780534207,X1351_1525
X1351_1526,916,1412.864865,5.112371396,0.975407269,0.024592731,0.04439129,0.749612775,X1351_1526
X1351_1527,1125,1716.255319,5.50498704,0.986182423,0.013817577,0.064330299,0.783568005,X1351_1527
X1351_1528,417,825.6923077,2.177070536,0.602230168,0.397769832,0.006028817,0.3608552,X1351_1528
X1351_1529,1043,1700.267442,4.903984311,0.956048999,0.043951001,0.021814583,0.705623827,X1351_1529
X1351_1530,1109,1732.769231,5.486048803,0.981921866,0.018078134,0.049878669,0.782467746,X1351_1530
X1351_1531,1205,1959.630769,5.567055405,0.980876503,0.019123497,0.043395595,0.784729506,X1351_1531
X1351_1532,1140,1886.460674,5.612359018,0.988557392,0.011442608,0.076660234,0.797347863,X1351_1532
X1351_1533,989,1768.632353,5.314390347,0.9845095,0.0154905,0.065273705,0.770570666,X1351_1533
X1351_1534,947,1470.265896,5.238365462,0.98454529,0.01545471,0.068326497,0.764356756,X1351_1534
X1351_1535,873,1449.543624,4.542643239,0.951918753,0.048081247,0.023823745,0.670804263,X1351_1535
X1351_1538,1066,1735.789474,4.556883456,0.900147929,0.099852071,0.009394761,0.65362881,X1351_1538
X1351_1539,1095,1569.951923,5.583570975,0.988391732,0.011608268,0.078671685,0.79782286,X1351_1539
X1351_1540,1337,2180.113445,5.776506324,0.990021731,0.009978269,0.074957205,0.802494999,X1351_1540
X1351_1542,1284,2062.230769,5.561928812,0.984418376,0.015581624,0.049982991,0.77705146,X1351_1542
X1351_1543,1375,2227.983673,5.819347774,0.989714498,0.010285502,0.070708533,0.8053113,X1351_1543
X1351_1544,1124,1907.735135,5.357414283,0.984097487,0.015902513,0.055945855,0.762659353,X1351_1544
X1351_1545,1368,2216.445378,5.839957152,0.990394216,0.009605784,0.076099378,0.808734546,X1351_1545
X1351_1546,1228,2153.587302,5.511915957,0.986351698,0.013648302,0.059665464,0.774891865,X1351_1546
X1351_1547,1227,2042.763547,5.550819683,0.985599057,0.014400943,0.056593232,0.780450524,X1351_1547
X1351_1548,1359,2365.990654,5.727419789,0.98915075,0.01084925,0.067823598,0.793875707,X1351_1548
X1351_1549,1184,1867.082524,5.583330115,0.987925289,0.012074711,0.069947393,0.788978839,X1351_1549
X1351_1550,1359,2281.060086,5.783374298,0.991082851,0.008917149,0.082519111,0.801631542,X1351_1550
X1351_1551,1289,1997.754386,5.741405686,0.989475719,0.010524281,0.073714791,0.80169069,X1351_1551
X1351_1552,1138,1982.697802,4.938410487,0.948629585,0.051370415,0.01710585,0.701775062,X1351_1552
X1351_1554,1564,2612.622642,6.080532605,0.993196957,0.006803043,0.09398532,0.826720737,X1351_1554
X1351_1555,1459,2468.058577,5.968914357,0.991683636,0.008316364,0.082415938,0.819286115,X1351_1555
X1351_1556,1437,2511.154506,5.880379105,0.990681001,0.009318999,0.074674783,0.808820638,X1351_1556
X1351_1557,1485,2464.404959,6.006477236,0.992859797,0.007140203,0.094311143,0.82244795,X1351_1557
X1351_1558,1346,2077.366667,5.940024135,0.992970563,0.007029437,0.105690126,0.82444313,X1351_1558
X1351_1559,1340,2097.735043,5.824962255,0.990335609,0.009664391,0.077218381,0.808974795,X1351_1559
X1351_1560,1437,2387.041152,5.880975233,0.990072497,0.009927503,0.070097607,0.808902633,X1351_1560
X1351_1561,1485,2660.689189,5.950471808,0.991349384,0.008650616,0.077844241,0.814779304,X1351_1561
X1351_1562,1249,2043.926471,5.701346261,0.989788277,0.010211723,0.078404059,0.799616759,X1351_1562
X1351_1563,1365,2211.730769,5.795849226,0.990162717,0.009837283,0.074471857,0.802870442,X1351_1563
X1351_1564,1535,2435.937037,6.133679927,0.991834247,0.008165753,0.07978025,0.836074304,X1351_1564
X1351_1565,1475,2374.14,6.091286733,0.992899423,0.007100577,0.095480423,0.834833021,X1351_1565
X1351_1566,1488,2482.300781,5.88468935,0.989282648,0.010717352,0.062706068,0.805549313,X1351_1566
X1351_1567,1085,1714.816754,5.286695024,0.981447239,0.018552761,0.049677726,0.756394539,X1351_1567
X1351_1568,1294,2164.561644,5.641829608,0.988115623,0.011884377,0.06502634,0.78736093,X1351_1568
X1351_1569,1486,2514.631148,6.03183392,0.992660863,0.007339137,0.091693006,0.825843838,X1351_1569
X1351_1570,1594,2761.135849,6.078897959,0.991342225,0.008657775,0.072461182,0.824368921,X1351_1570
X1351_1571,1481,2357.895161,6.146086141,0.99423416,0.00576584,0.117106868,0.841875081,X1351_1571
X1351_1572,1561,2671.177866,6.095263507,0.993020669,0.006979331,0.091787455,0.82893997,X1351_1572
X1351_1573,1536,2420.789668,6.14061283,0.993666332,0.006333668,0.102790619,0.836945022,X1351_1573
X1351_1574,1418,2438.30137,5.983281378,0.991926568,0.008073432,0.087350542,0.824483829,X1351_1574
X1351_1575,1510,2522.464,5.962155741,0.989685256,0.010314744,0.064204369,0.81451718,X1351_1575
X1351_1576,587,1057.60241,3.883848442,0.916741618,0.083258382,0.020461333,0.609228756,X1351_1576
X1351_1577,772,1500.079208,4.24413487,0.929572611,0.070427389,0.018392515,0.63831324,X1351_1577
X1351_1578,856,1441.104167,4.468025775,0.925320752,0.074679248,0.015643225,0.661707178,X1351_1578
X1351_1579,742,1354.558824,4.43696982,0.95278624,0.04721376,0.028544833,0.671317199,X1351_1579
X1351_1580,825,1419.44,4.449015633,0.942043579,0.057956421,0.020914356,0.66251104,X1351_1580
X1351_1581,708,1049.736842,4.500049568,0.958430247,0.041569753,0.033977334,0.685727681,X1351_1581
X1351_1582,999,1686.455172,5.42675675,0.9846756,0.0153244,0.06532073,0.785717305,X1351_1582
X1351_1583,710,1226.12766,4.521767272,0.954136979,0.045863021,0.030709942,0.688741017,X1351_1583
X1351_1584,785,1247.022059,4.665171834,0.952242158,0.047757842,0.026673847,0.699878967,X1351_1584
X1351_1585,939,1704.106383,4.879064317,0.964448035,0.035551965,0.029955101,0.712811665,X1351_1585
X1351_1586,836,1462.5625,4.864669222,0.972500701,0.027499299,0.043498281,0.722980789,X1351_1586
X1351_1587,947,1645.123288,5.213980264,0.981555024,0.018444976,0.057249531,0.760798587,X1351_1587
X1351_1588,735,1172.809917,4.618515364,0.96313206,0.03686794,0.03690318,0.699788786,X1351_1588
X1351_1589,889,1478.507692,5.159307849,0.98282617,0.01717383,0.065498458,0.759828272,X1351_1589
X1351_1590,971,1552.290323,5.2573999,0.979353044,0.020646956,0.049879803,0.764342885,X1351_1590
X1351_1591,478,798.2051282,4.027409499,0.95384973,0.04615027,0.045331267,0.652781784,X1351_1591
X1351_1592,850,1473.68595,4.928822521,0.96568427,0.03431573,0.034283711,0.730711611,X1351_1592
X1351_1593,520,933.880597,4.03402361,0.938813581,0.061186419,0.0314298,0.645048614,X1351_1593
X1351_1594,731,1170.57377,4.58951571,0.96196589,0.03803411,0.035967427,0.695970269,X1351_1594
X1351_1595,571,848.5111111,4.378501094,0.953609412,0.046390588,0.037751483,0.689811346,X1351_1595
X1351_1596,634,1047.676471,3.772809262,0.889566506,0.110433494,0.014282687,0.584745914,X1351_1596
X1351_1597,904,1478.410596,4.949319165,0.969756568,0.030243432,0.036576361,0.727110803,X1351_1597
X1351_1598,821,1253,5.040307476,0.980981259,0.019018741,0.064043504,0.751105002,X1351_1598
X1351_1600,647,1061.010753,4.495549271,0.962718068,0.037281932,0.041456946,0.694577989,X1351_1600
X1351_1601,682,1102.292453,4.628610143,0.971605876,0.028394124,0.051640109,0.709362315,X1351_1601
X1351_1602,825,1232.959459,4.890518728,0.973873427,0.026126573,0.04639419,0.728256072,X1351_1602
X1351_1603,690,1100.224138,4.382540525,0.954233185,0.045766815,0.031666511,0.670452393,X1351_1603
X1351_1604,590,1031.301075,4.265851251,0.960658783,0.039341217,0.043082431,0.668615881,X1351_1604
X1351_1605,743,1200.353982,4.854059215,0.976544318,0.023455682,0.05738034,0.734273544,X1351_1605
X1351_1606,797,1416.940678,4.643121244,0.964297643,0.035702357,0.035143482,0.694989109,X1351_1606
X1351_1607,678,1077.558824,4.625790451,0.965502657,0.034497343,0.042754778,0.709569864,X1351_1607
X1351_1608,765,1167.656716,4.722042607,0.967366867,0.032633133,0.040057126,0.711164294,X1351_1608
X1351_1609,795,1286.4,4.817580354,0.970597964,0.029402036,0.042781447,0.721373699,X1351_1609
X1351_1610,693,1155.057143,4.492642386,0.963645287,0.036354713,0.03969228,0.686840205,X1351_1610
X1351_1611,728,1227.509091,4.643375827,0.964532709,0.035467291,0.038729386,0.704577195,X1351_1611
X1351_1643,840,1319.559701,5.07824735,0.981756914,0.018243086,0.065256295,0.754187472,X1351_1643
X1351_1644,978,1589.294118,5.363905596,0.987052573,0.012947427,0.078972825,0.779013588,X1351_1644
X1351_1645,992,1606.619355,5.227171611,0.974744432,0.025255568,0.039914546,0.757591505,X1351_1645
X1351_1646,897,1504.715385,5.312724533,0.987914295,0.012085705,0.092243456,0.781391511,X1351_1646
X1351_1647,1012,1617.71519,5.285435911,0.983229755,0.016770245,0.058922352,0.763826213,X1351_1647
X1351_1648,1047,1761.037267,5.436546257,0.987693007,0.012306993,0.077607086,0.781822426,X1351_1648
X1351_1649,1008,1782.315068,5.342053977,0.987214153,0.012785847,0.077590755,0.772450492,X1351_1649
X1351_1651,1035,1630.12426,5.410228144,0.985863708,0.014136292,0.068347736,0.779329591,X1351_1651
X1351_1652,915,1524.255319,5.202237625,0.985461809,0.014538191,0.075174149,0.762911799,X1351_1652
X1351_1653,916,1702.627907,4.767047287,0.959359958,0.040640042,0.026862745,0.698978863,X1351_1653
X1351_1654,808,1349.247706,5.15801567,0.985506027,0.014493973,0.085388855,0.770478431,X1351_1654
X1351_1655,896,1608.983871,5.139988038,0.983273949,0.016726051,0.066726534,0.756109605,X1351_1655
X1351_1656,978,1678.195804,5.324556183,0.983656597,0.016343403,0.062563157,0.773298774,X1351_1656
X1351_1657,1003,1892.565217,5.281694581,0.983868259,0.016131741,0.061804177,0.764272182,X1351_1657
X1351_1658,1060,1948.339623,5.151104946,0.975485958,0.024514042,0.038483912,0.739461249,X1351_1658
X1351_1659,666,1194.545455,4.443534356,0.968273345,0.031726655,0.047326183,0.683485059,X1351_1659
X1351_1660,901,1735.75,4.827994773,0.971805689,0.028194311,0.039365315,0.70963343,X1351_1660
X1351_1661,1015,1747,5.113692932,0.972126603,0.027873397,0.035346308,0.738690739,X1351_1661
X1351_1662,1084,1992.509434,5.246684155,0.982239359,0.017760641,0.051941214,0.750769026,X1351_1662
X1351_1663,912,1660.333333,4.545025381,0.930598504,0.069401496,0.015799245,0.666852326,X1351_1663
X1351_1664,1091,1929.479532,5.457199402,0.988215396,0.011784604,0.077778622,0.780173901,X1351_1664
X1351_1665,1340,2318.909091,5.336502726,0.969931707,0.030068293,0.024819123,0.741137197,X1351_1665
X1351_1666,1725,2902.468852,5.958509499,0.9816075,0.0183925,0.031518833,0.799479891,X1351_1666
X1351_1667,1458,2468.823293,5.623369091,0.977168922,0.022831078,0.030041115,0.771929627,X1351_1667
X1351_1668,1401,2603.133333,5.458152243,0.975263742,0.024736258,0.028855451,0.753374228,X1351_1668
X1351_1669,1281,2334.186603,5.002413314,0.952540229,0.047459771,0.01644846,0.699110588,X1351_1669
X1351_1670,1205,2068.942308,5.051184957,0.963878521,0.036121479,0.022974572,0.712012651,X1351_1670
X1351_1671,1455,2348.760563,5.630945274,0.984528384,0.015471616,0.04442233,0.773188237,X1351_1671
X1351_1672,1220,1973.338028,5.355688555,0.978561485,0.021438515,0.038233624,0.753621131,X1351_1672
X1351_1673,904,1749.666667,4.467759534,0.935712256,0.064287744,0.01720693,0.656364263,X1351_1673
X1351_1674,1393,2286.846154,5.672867533,0.983158346,0.016841654,0.042624974,0.783630208,X1351_1674
X1351_1675,1247,2204.448454,5.511172016,0.982271241,0.017728759,0.04523298,0.773118489,X1351_1675
X1351_1676,1584,2618.021739,6.061304125,0.991778986,0.008221014,0.076792615,0.822685108,X1351_1676
X1351_1677,593,1047.509804,3.860238301,0.929419655,0.070580345,0.023892496,0.60456081,X1351_1677
X1351_1678,594,1410.211765,2.596870232,0.765901048,0.234098952,0.007191411,0.406594536,X1351_1678
X1351_1679,705,1398.136364,3.147582378,0.822056142,0.177943858,0.007971277,0.47994624,X1351_1679
X1351_1680,661,1103.247706,3.973962007,0.938420012,0.061579988,0.024567386,0.611966838,X1351_1680
X1351_1681,812,1452.714286,4.356989013,0.912304261,0.087695739,0.014043181,0.650345368,X1351_1681
X1351_1682,472,983.4788732,2.200271385,0.654164404,0.345835596,0.00612616,0.357362172,X1351_1682
X1351_1683,320,778.1627907,1.400251466,0.377286631,0.622713369,0.00501836,0.242748534,X1351_1683
X1351_1684,909,1537.08589,3.991393394,0.876321203,0.123678797,0.008894896,0.585905931,X1351_1684
X1351_1685,730,1376.363636,3.392423939,0.848090198,0.151909802,0.009017608,0.514545886,X1351_1685
X1351_1686,736,1252,4.479301249,0.952991868,0.047008132,0.028903417,0.678555537,X1351_1686
X1351_1687,974,1762.375,4.625687375,0.941560279,0.058439721,0.017568428,0.672200392,X1351_1687
X1351_1688,787,1475.788991,4.484644261,0.959005014,0.040994986,0.030995206,0.672539105,X1351_1688
X1351_1689,416,878.0508475,3.225131954,0.912329937,0.087670063,0.027419236,0.534786979,X1351_1689
X1351_1690,737,1379.946429,4.350698581,0.957660602,0.042339398,0.032047034,0.658938382,X1351_1690
X1351_1691,618,1191.325301,4.137828866,0.956772667,0.043227333,0.037432866,0.643870894,X1351_1691
X1351_1692,522,901.5,3.545130889,0.908592527,0.091407473,0.020957901,0.56652592,X1351_1692
X1351_1693,601,1068.617021,3.316995829,0.864212118,0.135787882,0.012253623,0.518394407,X1351_1693
X1351_1694,611,1258.166667,2.89509029,0.756222218,0.243777782,0.006713742,0.451293302,X1351_1694
X1351_1695,483,968.6790123,2.908716902,0.853116393,0.146883607,0.014095469,0.470664897,X1351_1695
X1351_1696,587,1188.988636,3.756124652,0.931531342,0.068468658,0.024881129,0.58919373,X1351_1696
X1351_1697,412,980.5849057,2.69831389,0.814889188,0.185110812,0.013112062,0.448148717,X1351_1697
X1351_1698,588,1266.404494,2.702497211,0.783805508,0.216194492,0.007866437,0.423806325,X1351_1698
X1351_1699,187,511.5454545,1.302751993,0.45639466,0.54360534,0.009837272,0.24903937,X1351_1699
X1351_1700,436,902.7142857,2.482678806,0.709092669,0.290907331,0.007884222,0.408493739,X1351_1700
X1351_1701,1161,1968.194595,5.460062599,0.984003871,0.015996129,0.053845928,0.773704688,X1351_1701
X1351_1702,961,1637.386861,4.906228591,0.952092035,0.047907965,0.021720454,0.71436326,X1351_1702
X1351_1703,1194,2197.863905,5.52268806,0.98619476,0.01380524,0.060666886,0.779483125,X1351_1703
X1351_1704,1234,1989.121495,5.547186263,0.9841237,0.0158763,0.051042924,0.77931633,X1351_1704
X1351_1705,1448,2502.5,5.756152536,0.980175433,0.019824567,0.034835956,0.790904248,X1351_1705
X1351_1707,1052,1749.571429,4.549644333,0.927965797,0.072034203,0.013196097,0.65383029,X1351_1707
X1351_1708,1523,2498.573529,5.852129058,0.98522557,0.01477443,0.044441566,0.798550738,X1351_1708
X1351_1709,1029,1794.005917,5.02340338,0.971294637,0.028705363,0.033854903,0.724214989,X1351_1709
X1351_1710,1133,2006.743169,5.204216021,0.980564409,0.019435591,0.045412179,0.740010532,X1351_1710
X1351_1711,1401,2511.771028,5.854020132,0.990362066,0.009637934,0.074059016,0.808014819,X1351_1711
X1351_1712,1271,2216.270936,5.486227872,0.97855611,0.02144389,0.036690268,0.767566615,X1351_1712
X1351_1713,594,948.2,4.380065518,0.964266886,0.035733114,0.047113209,0.685791182,X1351_1713
X1351_1714,784,1291,4.791203836,0.963797584,0.036202416,0.035232737,0.718924037,X1351_1714
X1351_1715,761,1212.086207,4.780563806,0.968446578,0.031553422,0.041645577,0.720546796,X1351_1715
X1351_1716,743,1164.454545,4.907140391,0.978335042,0.021664958,0.062123132,0.742303134,X1351_1716
X1351_1717,888,1390.060811,5.024887782,0.97631619,0.02368381,0.047548351,0.74015447,X1351_1717
X1351_1718,735,1221.09375,4.875365114,0.974194633,0.025805367,0.052723305,0.738706178,X1351_1718
X1351_1719,960,1503.644295,5.360730492,0.982504865,0.017495135,0.059540363,0.780658595,X1351_1719
X1351_1720,872,1390.233871,5.185009356,0.9807041,0.0192959,0.059431745,0.765790963,X1351_1720
X1351_1721,759,1150.910569,4.765319005,0.965595662,0.034404338,0.03829526,0.718534036,X1351_1721
X1351_1722,860,1417.395522,4.970338633,0.975423784,0.024576216,0.047313658,0.735590997,X1351_1722
X1351_1723,735,1176.52381,4.864376611,0.974052108,0.025947892,0.052433709,0.737041221,X1351_1723
X1351_1724,1028,1689.566667,5.479469833,0.988118555,0.011881445,0.081872418,0.790076013,X1351_1724
X1351_1725,734,1220.09009,4.690482609,0.967181418,0.032818582,0.041513001,0.710839765,X1351_1725
X1351_1726,856,1459.433071,4.784184694,0.969565525,0.030434475,0.0383849,0.708529787,X1351_1726
X1351_1727,1154,1744.108247,5.651365229,0.989080611,0.010919389,0.079358941,0.801499601,X1351_1727
X1351_1730,924,1509.224,5.464953467,0.989612161,0.010387839,0.104184428,0.80029051,X1351_1730
X1351_1731,1018,1582.464286,5.518152237,0.989254309,0.010745691,0.091415087,0.796776606,X1351_1731
X1351_1732,951,1566.022222,5.36726365,0.985391939,0.014608061,0.071982495,0.782683579,X1351_1732
X1351_1733,1120,1798.589286,5.698016849,0.988852581,0.011147419,0.080095414,0.811557998,X1351_1733
X1351_1734,1088,1592.850829,5.728549825,0.990667565,0.009332435,0.098486365,0.819289305,X1351_1734
X1351_1735,1092,1774.652695,5.655804593,0.990268328,0.009731672,0.094100062,0.80846107,X1351_1735
X1351_1736,1031,1607.947674,5.454677894,0.988110566,0.011889434,0.081579335,0.786170977,X1351_1736
X1351_1737,1186,2065.939759,5.750115472,0.991179204,0.008820796,0.095588911,0.812353488,X1351_1737
X1351_1738,1146,1811.587209,5.712093785,0.98879048,0.01120952,0.077844575,0.810912423,X1351_1738
X1351_1739,1190,1862.6,5.475560399,0.980247942,0.019752058,0.042544231,0.773197645,X1351_1739
X1351_1740,1020,1700.658537,5.00297978,0.9576071,0.0423929,0.023126329,0.722185198,X1351_1740
