"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU316",78,71.548,67,76,"Generalists"
"OTU42",62,68.826,63,74,"Specialists"
"OTU30",78,74.518,71,78,"NS"
"OTU660",59,38.568,33,44,"Generalists"
"OTU212",58,50.782,45,57,"Generalists"
"OTU205",53,47.806,42,54,"NS"
"OTU12222",41,35.696,30,41,"NS"
"OTU53725",79,74.334,71,78,"Generalists"
"OTU151",79,71.126,66,76,"Generalists"
"OTU579",65,41.738,36,48,"Generalists"
"OTU200",73,52.006,45,59,"Generalists"
"OTU2166",27,23.46,19,29,"NS"
"OTU633",33,23.056,19,28,"Generalists"
"OTU268",70,43.39,37,49,"Generalists"
"OTU67",13,12.96,10,16,"NS"
"OTU8959",16,21.266,17,26,"Specialists"
"OTU2621",15,14.568,11,19,"NS"
"OTU225",79,63.67,58,69,"Generalists"
"OTU211",79,70.51,66,75,"Generalists"
"OTU3741",7,6.898,5,9,"NS"
"OTU600",49,49.476,43,56,"NS"
"OTU2803",32,25.494,21,31,"Generalists"
"OTU11655",15,13.798,10,17,"NS"
"OTU480",14,24.704,20,29.525,"Specialists"
"OTU737",41,33.482,28,39,"Generalists"
"OTU29",79,76.844,74,79,"NS"
"OTU9686",43,59.072,52,65.525,"Specialists"
"OTU1299",40,24.702,20,29,"Generalists"
"OTU3021",17,13.204,10,17,"NS"
"OTU3734",6,6.872,5,9,"NS"
"OTU323",45,40.05,34,46,"NS"
"OTU2025",25,31.376,26,37,"Specialists"
"OTU26733",19,14.784,11,18,"Generalists"
"OTU696",47,34.7,29.475,41,"Generalists"
"OTU925",59,45.186,39.475,51,"Generalists"
"OTU62459",32,38.586,32,44,"NS"
"OTU542",70,45.538,40,52,"Generalists"
"OTU90705",60,64.532,58,70,"NS"
"OTU332",75,56.644,50.475,63,"Generalists"
"OTU713",37,43.052,37,49,"NS"
"OTU2762",10,9.5,7,12,"NS"
"OTU143",30,35.914,30,42,"NS"
"OTU2004",9,15.236,12,19,"Specialists"
"OTU61883",9,8.944,6,11,"NS"
"OTU21039",2,1.942,1,2,"NS"
"OTU410",77,61.452,56,67,"Generalists"
"OTU26",49,58.342,53,64,"Specialists"
"OTU1645",18,25.314,21,30,"Specialists"
"OTU22832",3,2.776,2,3,"NS"
"OTU5597",2,1.916,1,2,"NS"
"OTU56636",4,4.336,3,5,"NS"
"OTU3500",45,28.026,23,33.525,"Generalists"
"OTU596",38,41.296,35,47,"NS"
"OTU422",56,31.186,26,36.525,"Generalists"
"OTU8",73,78.494,77,79,"Specialists"
"OTU68",73,56.564,50,63,"Generalists"
"OTU10371",14,12.31,9,15.525,"NS"
"OTU229",73,68.21,63,73,"NS"
"OTU1426",19,13.368,10,17,"Generalists"
"OTU1151",31,32.95,27,38,"NS"
"OTU1403",22,20.12,15.475,25,"NS"
"OTU1423",16,32.66,27,38,"Specialists"
"OTU445",52,47.854,42,54,"NS"
"OTU612",59,38.766,33,45,"Generalists"
"OTU1702",31,24.54,20,29,"Generalists"
"OTU9679",20,19.662,15,24,"NS"
"OTU1452",28,26.846,22,32,"NS"
"OTU580",42,33.42,28,39,"Generalists"
"OTU4440",30,26.596,22,32,"NS"
"OTU2479",27,17.3,13,21,"Generalists"
"OTU83508",16,22.982,18,28,"Specialists"
"OTU278",71,50.096,44,56,"Generalists"
"OTU1293",9,11.144,8,14,"NS"
"OTU3507",12,9.506,7,12,"NS"
"OTU4251",13,13.056,10,17,"NS"
"OTU295",25,43.42,37,50,"Specialists"
"OTU27857",28,30.762,26,36,"NS"
"OTU235",58,46.594,40,52,"Generalists"
"OTU8917",13,13.32,10,17,"NS"
"OTU352",75,61.97,56,68,"Generalists"
"OTU3724",10,9.432,7,12,"NS"
"OTU34",79,76.338,73,79,"NS"
"OTU1258",45,32.404,27,38,"Generalists"
"OTU9731",4,5.056,3,6,"NS"
"OTU314",12,24.46,19,30,"Specialists"
"OTU5792",46,36.384,31,42,"Generalists"
"OTU2856",39,26.42,21.475,31,"Generalists"
"OTU131",78,58.552,53,65,"Generalists"
"OTU501",34,46.87,40,53,"Specialists"
"OTU3832",10,10.306,8,13,"NS"
"OTU1246",21,18.328,14,23,"NS"
"OTU3501",50,52.546,46,59,"NS"
"OTU198",78,60.808,55,67,"Generalists"
"OTU606",56,45.936,40,52,"Generalists"
"OTU781",52,40.974,35.475,47,"Generalists"
"OTU942",30,28.174,23,33,"NS"
"OTU4888",8,8.532,6,11,"NS"
"OTU38158",8,11.044,8,14,"NS"
"OTU540",72,49.76,44,56,"Generalists"
"OTU149",51,42.436,36,49,"Generalists"
"OTU5090",6,7.386,5,10,"NS"
"OTU55",69,72.108,67,76,"NS"
"OTU154",79,61.948,56,68,"Generalists"
"OTU7",79,78.126,76,79,"NS"
"OTU673",48,37.764,31,44,"Generalists"
"OTU6093",11,14.906,11,18,"NS"
"OTU202",61,39.734,33,46,"Generalists"
"OTU3970",46,58.288,52,65,"Specialists"
"OTU417",55,57.29,51,64,"NS"
"OTU25207",50,42.09,36,48,"Generalists"
"OTU1693",14,13.03,10,16,"NS"
"OTU1245",19,17.676,13,22,"NS"
"OTU27199",2,1.926,1,2,"NS"
"OTU317",40,24.746,20,29,"Generalists"
"OTU1027",29,30.284,25,36,"NS"
"OTU4459",4,3.538,2,4,"NS"
"OTU1231",60,41.214,36,47,"Generalists"
"OTU62474",39,37.226,32,43.525,"NS"
"OTU8767",6,5.692,4,7,"NS"
"OTU1852",61,33.488,28,39,"Generalists"
"OTU35215",36,26.764,21.475,32,"Generalists"
"OTU1601",5,6.888,5,9,"NS"
"OTU836",54,44.424,39,51,"Generalists"
"OTU1220",46,38.46,33,44,"Generalists"
"OTU37060",79,78.4,77,79,"NS"
"OTU761",30,27.592,22.475,33,"NS"
"OTU554",47,34.39,29,40,"Generalists"
"OTU868",46,33.834,28,40,"Generalists"
"OTU171",45,62.436,56,68,"Specialists"
"OTU69",79,72.064,67,76,"Generalists"
"OTU2304",3,2.768,2,3,"NS"
"OTU1276",79,60.226,54.475,66,"Generalists"
"OTU17671",30,18.876,15,23,"Generalists"
"OTU1749",15,16.388,13,20,"NS"
"OTU78",64,67.138,61,72,"NS"
"OTU4293",18,12.644,10,16,"Generalists"
"OTU4682",18,12.788,10,16,"Generalists"
"OTU558",56,47.852,42,53,"Generalists"
"OTU12821",3,3.582,2,4,"NS"
"OTU421",58,42.84,37,49,"Generalists"
"OTU574",71,70.394,66,75,"NS"
"OTU607",48,37.24,31,43,"Generalists"
"OTU59",74,57.184,50,64,"Generalists"
"OTU908",35,30.434,25.475,36,"NS"
"OTU51924",53,41.91,35.475,48,"Generalists"
"OTU236",35,48.31,42,54,"Specialists"
"OTU3894",37,37.806,32,43,"NS"
"OTU3434",14,12.352,9,16,"NS"
"OTU8598",3,3.516,2,4,"NS"
"OTU13173",27,21.97,18,26,"Generalists"
"OTU2125",37,22.956,18.475,27,"Generalists"
"OTU221",53,46.18,40,53.525,"NS"
"OTU1932",8,9.26,6,12,"NS"
"OTU60311",21,20.068,16,25,"NS"
"OTU1326",19,19.604,15,24,"NS"
"OTU36",78,77.532,75,79,"NS"
"OTU179",76,64.888,59,70,"Generalists"
"OTU2443",2,4.308,3,5,"Specialists"
"OTU2620",34,37.402,31,43,"NS"
"OTU215",63,59.354,53,65,"NS"
"OTU647",56,36.05,30.475,41.525,"Generalists"
"OTU56476",7,11.112,8,14,"Specialists"
"OTU1817",37,27.25,22,32,"Generalists"
"OTU148",56,62.236,56,68,"NS"
"OTU384",69,50.848,44,57,"Generalists"
"OTU419",48,32.468,27,38,"Generalists"
"OTU48121",44,27.724,23,33,"Generalists"
"OTU2956",7,7.352,5,10,"NS"
"OTU51482",76,77.598,75,79,"NS"
"OTU84915",19,14.672,11,18,"Generalists"
"OTU12131",7,8.558,6,11,"NS"
"OTU1271",69,38.712,33,45,"Generalists"
"OTU716",76,53.26,47,59.525,"Generalists"
"OTU23",79,68.79,63,74,"Generalists"
"OTU6615",39,40.91,35,47,"NS"
"OTU77487",4,4.274,3,5,"NS"
"OTU401",38,44.364,38,50,"NS"
"OTU67528",77,61.686,56,68,"Generalists"
"OTU35255",24,35.958,31,42,"Specialists"
"OTU83",66,55.784,49.475,62,"Generalists"
"OTU5749",74,59.882,54,66,"Generalists"
"OTU31976",75,47.028,41,54,"Generalists"
"OTU1261",18,17.738,14,22,"NS"
"OTU5462",21,21.772,17,26,"NS"
"OTU2160",34,30.578,25,36,"NS"
"OTU21794",5,7.372,5,9,"NS"
"OTU1707",38,24.928,20,30,"Generalists"
"OTU3288",2,2.808,2,3,"NS"
"OTU1820",36,28.048,23,33,"Generalists"
"OTU14489",8,8.892,6,11,"NS"
"OTU166",75,64.18,58,70,"Generalists"
"OTU117",73,65.958,61,71,"Generalists"
"OTU230",78,64.83,59,70,"Generalists"
"OTU92",77,71.854,67,76,"Generalists"
"OTU12884",43,33.024,28,38.525,"Generalists"
"OTU62593",20,35.836,30.475,41,"Specialists"
"OTU5166",41,38.674,32,44,"NS"
"OTU29705",26,28.502,24,34,"NS"
"OTU1019",49,35.626,30,42,"Generalists"
"OTU302",58,54.856,48.475,61,"NS"
"OTU33907",5,6.814,5,9,"NS"
"OTU184",64,39.396,33,45,"Generalists"
"OTU196",62,57.502,51,64,"NS"
"OTU18990",33,24.112,19,30,"Generalists"
"OTU57515",76,66.614,60,72,"Generalists"
"OTU978",39,40.12,34,46,"NS"
"OTU9978",2,1.918,1,2,"NS"
"OTU158",53,40.914,35,46,"Generalists"
"OTU1061",35,22.982,18,28,"Generalists"
"OTU3150",9,7.402,5,9,"NS"
"OTU355",58,47.006,41,54,"Generalists"
"OTU376",48,34.274,28,40,"Generalists"
"OTU26181",3,4.306,3,5,"NS"
"OTU98",60,65.8,60,71,"NS"
"OTU35",77,74.718,70,78,"NS"
"OTU2438",39,27.926,22,33,"Generalists"
"OTU4988",51,38.548,33,45,"Generalists"
"OTU2262",19,16.386,12,20,"NS"
"OTU284",21,15.856,12,20,"Generalists"
"OTU1648",19,15.964,12,20,"NS"
"OTU879",11,9.916,7,13,"NS"
"OTU5217",10,7.412,5,9,"Generalists"
"OTU803",34,33.73,28,39,"NS"
"OTU371",69,43.736,38,50,"Generalists"
"OTU3291",7,11.178,8,14,"Specialists"
"OTU7360",61,50.248,44,57,"Generalists"
"OTU11373",63,40.858,35,47,"Generalists"
"OTU172",58,52.826,46.475,59.525,"NS"
"OTU48037",3,2.748,2,3,"NS"
"OTU1697",47,38.54,33,44,"Generalists"
"OTU88539",18,13.322,10,17,"Generalists"
"OTU981",54,33.95,28,39.525,"Generalists"
"OTU1085",10,29.198,24,35,"Specialists"
"OTU674",62,40.848,35,47,"Generalists"
"OTU354",77,71.888,67,76,"Generalists"
"OTU48233",39,24.564,20,30,"Generalists"
"OTU7416",6,5.538,4,7,"NS"
"OTU81",64,62.926,57,68.525,"NS"
"OTU1171",47,31.482,26,37,"Generalists"
"OTU1274",15,14.956,11,19,"NS"
"OTU544",77,60.43,55,67,"Generalists"
"OTU8072",43,43.28,37,50,"NS"
"OTU79182",53,35.294,30,41,"Generalists"
"OTU2880",33,21.276,17,26,"Generalists"
"OTU520",74,56.528,50,63,"Generalists"
"OTU656",42,29.278,24,35,"Generalists"
"OTU984",36,25.758,21,31,"Generalists"
"OTU8771",6,4.982,3,6,"NS"
"OTU2437",26,18.604,14,23,"Generalists"
"OTU1575",3,2.76,2,3,"NS"
"OTU3359",2,1.94,1,2,"NS"
"OTU13340",13,9.426,7,12,"Generalists"
"OTU2819",17,14.872,11,19,"NS"
"OTU192",79,65.434,60,71,"Generalists"
"OTU153",78,52.894,47,59,"Generalists"
"OTU22187",28,33.19,28,39,"NS"
"OTU1018",32,24.056,19.475,29,"Generalists"
"OTU938",50,35.034,30,41,"Generalists"
