"","SRR13801030","SRR13801029","SRR13801028","SRR13801031","SRR13801027","SRR13801026","SRR13801025","SRR13801024","SRR13801021","SRR13801020","SRR13801019","SRR13801193","SRR13801192","SRR13801191","SRR13801194","SRR13801190","SRR13801189","SRR13801188","SRR13801187","SRR13801184","SRR13801183","SRR13801182","SRR13801181","SRR13801365","SRR13801364","SRR13801366","SRR13801362","SRR13801361","SRR13801360","SRR13801358","SRR13801356","SRR13801355","SRR13801354","SRR13801472","SRR13801471","SRR13801470","SRR13801402","SRR13801469","SRR13801468","SRR13801466","SRR13801465","SRR13801464","SRR13801463","SRR13801461","SRR13801542","SRR13801541","SRR13801540","SRR13801543","SRR13801539","SRR13801538","SRR13801537","SRR13801535","SRR13801534","SRR13801533","SRR13801532","SRR13801531","SRR13801143","SRR13801142","SRR13801141","SRR13801144","SRR13801140","SRR13801139","SRR13801138","SRR13801136","SRR13801134","SRR13801133","SRR13801132","SRR13800991","SRR13800990","SRR13800989","SRR13800992","SRR13800988","SRR13800987","SRR13800986","SRR13800984","SRR13801271","SRR13801270","SRR13801269","SRR13801268"
"OTU4077",9.89511181476351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89511181476351e-05,0,9.88826263225551e-05,0,0.00019782393669634,0.000197863078749505,0.00019790223629527,0.000494559841740851,9.88630746416214e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89511181476351e-05,0,0,0.000395608742953219,0,0.00019782393669634,0,0,0.000395726157499011,0,0
"OTU5263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0,0,0.000494364247577615,0,0,9.89119683481701e-05,0,9.8960910440376e-05,0,0,9.89902989507028e-05,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0
"OTU2377",0,9.88826263225551e-05,0,9.88924050632911e-05,0,0,0,0,0,0.000197941409342835,0,0,0,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU3304",0,0,0,0,0,0,0,0,9.8941327792619e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00306718116157119,0,0,0,0.00197784810126582,0,0.000494608764467306,0,0,0,0,0.000494510928691524,0.000692589294548333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128649183572489,0,0,0,0.000296618548546569,0.000890119671644743,0,0,0,0,0.000197745699031046,0.000296970896852108,0.00168283508216195,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU2988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0.00197863078749505,0.00019790223629527,0,0,0.000593765462642256,0,0.000494510928691524,0,0.000494364247577615,0.000989021857383048,0,0,9.89021857383048e-05,0.00554181098466106,0,0.000395961195802811,0.000494951494753514,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU6150",0,9.88826263225551e-05,0,0.000197784810126582,0,0,0,0,0,0.00188044338875693,0.000197863078749505,0,0.00158337456704602,0,0,0.00019790223629527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019790223629527,0,0,0,0,9.89315393747527e-05,0.000989511181476351,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89902989507028e-05,0,0,0,0.000494755590738175,0,0.000791217485906439,9.89021857383048e-05,0,0.000890207715133531,9.8872849515523e-05,0,0.00267115156311832,0.00019780437147661,0
"OTU8565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0,0,0,0.0010878164556962,0.000197784810126582,9.89217528934613e-05,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000593471810089021,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU3630",0,9.88826263225551e-05,9.89119683481701e-05,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0.000692383778437191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU3513",0,0,0,0,0,0,0,0,9.8941327792619e-05,0.000197941409342835,0,0,9.8960910440376e-05,0,0,0,0,0,0,0,0,0,0,0,9.8872849515523e-05,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0.000197843505786923,0,0,0,0,0,0,0,0,0,9.8960910440376e-05,0,0,0,0,0,0,0,0,0,0,0,0.000296970896852108,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU5766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197745699031046,9.88924050632911e-05,0,0.00079137402314769,0,0,0,0,0,0,0.000692520775623269,0,0,0,0,0,9.8872849515523e-05,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,9.8960910440376e-05,0,0,0.000197921820880752,9.8872849515523e-05,0.00019780437147661,0,0.00029673590504451,9.89021857383048e-05,9.8960910440376e-05,0,9.89902989507028e-05,0,0.000395608742953219,0,0,0,0,0,0,0,0,0,0,0,0
