"","X1351_1949","X1351_1950","X1351_1951","X1351_1940","X1351_1941","X1351_1942","X1351_1943","X1351_1944","X1351_1945","X1351_1946","X1351_1947","X1351_1948","X1351_673","X1351_677","X1351_678","X1351_1375","X1351_680","X1351_681","X1351_682","X1351_683","X1351_684","X1351_700","X1351_701","X1351_702","X1351_703","X1351_1335","X1351_621","X1351_622","X1351_623","X1351_625","X1351_615","X1351_616","X1351_617","X1351_619","X1351_1339","X1351_627","X1351_628","X1351_630","X1351_695","X1351_1751","X1351_1752","X1351_1753","X1351_1754","X1351_1755","X1351_1756","X1351_632","X1351_633","X1351_634","X1351_635","X1351_636","X1351_637","X1351_691","X1351_692","X1351_693","X1351_694","X1351_1348","X1351_1350","X1351_639","X1351_640","X1351_641","X1351_642","X1351_643","X1351_645","X1351_646","X1351_647","X1351_648","X1351_649","X1351_652","X1351_705","X1351_706","X1351_707","X1351_708","X1351_709","X1351_1432","X1351_667"
"OTU539",0.000443213296398892,0.000221827861579414,0,0.00110803324099723,0.000332520505431168,0.000110840168477056,0.000221704910763773,0.00100022227161591,0.000111160515784793,0,0,0,0.000664893617021277,0.00066815144766147,0.00033311125916056,0.00033255736614566,0.000110840168477056,0.000222395196263761,0.000445980599843907,0.000332815620146439,0.000111049416990561,0,0.00011063170704724,0,0,0.000554446662231093,0.000221533008418254,0.000332963374028857,0.000554938956714761,0.000110901630253965,0.000333148250971682,0.000110827884295689,0.000664672648720505,0.00066423115244105,0.00033311125916056,0.000444345700955343,0.000221680336954112,0,0,0.00033255736614566,0.000554385186827808,0.0003341873677175,0.000111148160497944,0.000110778774786751,0,0.000221238938053097,0.000666370501999112,0.000998557638965938,0.00066511473229132,0.000664967305774133,0.00111049416990561,0.00265810167238897,0.0018899388549194,0.00144236103406191,0.00210666370994567,0.000111160515784793,0.000445186421814135,0.000555679039786619,0.000670316165791532,0.000782647584973166,0.00133407448582546,0.000780118132174301,0.00122685701539148,0.000558846540739913,0,0.000221729490022173,0.000443803395095972,0.000110680686220255,0.00143868968570164,0.00044296788482835,0.000997561516293505,0.00166131354524311,0.000777173309648051,0.000775193798449612,0.000110692937790569
"OTU1133",0.00254847645429363,0.00110913930789707,0.00110791048083315,0.000997229916897507,0.00121924185324762,0.00221680336954112,0.00144108191996453,0.00144476550344521,0.000666963094708759,0.00431654676258993,0.00188386524822695,0.0016627868307283,0.000664893617021277,0.00189309576837416,0.00122140795025539,0.00155193437534641,0.00121924185324762,0.00133437117758256,0.000445980599843907,0.000665631240292878,0.000777345918933926,0.00110668437361664,0.00143821219161412,0.00110656191213898,0.0011063170704724,0.0017742293191395,0.000664599025254763,0.000776914539400666,0.00188679245283019,0.00133081956304758,0.00155469183786785,0.00277069710739222,0.00132934529744101,0.0013284623048821,0.000444148345547413,0.000888691401910687,0.000443360673908224,0.00088662307436551,0.00132963988919668,0.00144108191996453,0.00277192593413904,0.00245070736326167,0.00100033344448149,0.00155090284701451,0.00132963988919668,0.00210176991150442,0.00122167925366504,0.000998557638965938,0.00221704910763773,0.00088662307436551,0.00133259300388673,0.00387639827223391,0.00166759310728182,0.000887606790191945,0.0014414014857523,0.000444642063139173,0.0013355592654424,0.00111135807957324,0.00122891297061781,0.00134168157423971,0.000667037242912729,0.000780118132174301,0.00100379210350212,0.00100592377333184,0.000443016945398161,0.000997782705099778,0.000998557638965938,0.00166021029330382,0.000442673749446658,0.00121816168327796,0.00243848370649523,0.00121829659984494,0.0013322971022538,0.00143964562569214,0.000996236440115121
"OTU61",0.00875346260387812,0.00499112688553682,0.00254819410591624,0.00166204986149584,0.00243848370649523,0.00266016404344935,0.0075379669659683,0.00444543231829295,0.000555802578923966,0.00841173215273935,0.000775709219858156,0.00232790156301962,0.0032136524822695,0.00567928730512249,0.00277592715967133,0.00387983593836603,0.00509864774994458,0.00311353274769265,0.00167242724941465,0.00321721766141558,0.00244308717379234,0.00365205843293493,0.00519969023122027,0.00309837335398916,0.00785485120035402,0.00454646263029497,0.00376606114311032,0.00366259711431742,0.0126526082130966,0.0146390151935233,0.00377568017767907,0.00410063171894049,0.00365569956796278,0.000885641536588066,0.000777259604707972,0.00199955565429904,0.00299268454888051,0.00144076249584395,0.011191135734072,0.00875734397516905,0.0111985807739217,0.00634955998663251,0.00477937090141158,0.00852996565857982,0.0107479224376731,0.0118362831858407,0.00499777876499334,0.00410518140463775,0.00443409821527547,0.0120802393882301,0.0031093836757357,0.00509469487207886,0.00700389105058366,0.00421613225341174,0.00454595853198802,0.000111160515784793,0.00389538119087368,0.00133362969548789,0.00391017763378393,0.0035778175313059,0.00622568093385214,0.000780118132174301,0.00457283069373188,0.00145300100592377,0.00332262709048621,0.00498891352549889,0.000665705092643959,0.00232429441062535,0.00697211155378486,0.0035437430786268,0.00188428286410995,0.00354413556318529,0.0017763961363384,0.0026578073089701,0.00110692937790569
"OTU957",0.000997229916897507,0.00232919254658385,0.00144028362508309,0.000332409972299169,0.000775881179339393,0.00055420084238528,0.00254960647378339,0.000555679039786619,0,0.000774764803541782,0.000997340425531915,0.00033255736614566,0.000221631205673759,0.000334075723830735,0.000111037086386853,0,0.000110840168477056,0.000333592794395641,0.00066897089976586,0.000332815620146439,0.000555247084952804,0.000442673749446658,0.000221263414094479,0.000442624764855594,0,0.000110889332446219,0,0.000332963374028857,0.000887902330743618,0.000332704890761894,0.000555247084952804,0.000110827884295689,0.000332336324360253,0,0.000111037086386853,0,0.000221680336954112,0.000332483652887066,0.000443213296398892,0.000443409821527547,0.00066526222419337,0.00211651999554417,0.000111148160497944,0.000553893873933754,0.000664819944598338,0.000553097345132743,0.000999555752998667,0.000776655941417952,0.00066511473229132,0.00121910672725258,0.000999444752915047,0.00188282201794219,0.00211228460255698,0.00310662376567181,0.000887016298924493,0,0.000445186421814135,0.000111135807957324,0.000223438721930511,0.000111806797853309,0.00233463035019455,0.000222890894906943,0.00011153245594468,0.000335307924443948,0.00011075423634954,0.000332594235033259,0.000776655941417952,0,0,0.00044296788482835,0.00055420084238528,0.00132905083619448,0.00011102475852115,0.000996677740863787,0
"OTU273",0.000110803324099723,0.000887311446317658,0.00022158209616663,0,0.000110840168477056,0,0.000775967187673207,0,0,0,0,0.00033255736614566,0.000110815602836879,0.00122494432071269,0.000222074172773706,0.000443409821527547,0.000221680336954112,0.000333592794395641,0.000557475749804884,0.000110938540048813,0.000999444752915047,0.000110668437361664,0.000221263414094479,0,0.000221263414094479,0.000887114659569749,0.00077536552946389,0.000443951165371809,0.000332963374028857,0.000443606521015859,0,0,0,0,0.000111037086386853,0.000555432126194179,0,0.000997450958661199,0.000332409972299169,0.00033255736614566,0.000887016298924493,0.000556978946195834,0.000444592641991775,0.000110778774786751,0.000997229916897507,0,0.000111061750333185,0,0,0.000332483652887066,0,0.00011075423634954,0.000333518621456365,0.00133141018528792,0,0.000111160515784793,0.000111296605453534,0,0.00111719360965255,0.000223613595706619,0.000444691495275153,0.000557227237267358,0.00011153245594468,0.000223538616295965,0,0.000554323725055432,0.000554754243869966,0.000221361372440509,0,0.000110741971207087,0,0.000443016945398161,0,0,0
"OTU4781",0.000443213296398892,0.000443655723158829,0.000110791048083315,0,0.000332520505431168,0,0,0.000444543231829295,0,0,0,0,0,0.000111358574610245,0,0.00033255736614566,0,0.000222395196263761,0.00066897089976586,0.000110938540048813,0.000333148250971682,0,0,0,0.00011063170704724,0.000332667997338656,0.000221533008418254,0.000221975582685905,0.000554938956714761,0.000443606521015859,0.000111049416990561,0,0,0.000221410384147017,0.000555185431934266,0,0.000665041010862337,0.000110827884295689,0.000110803324099723,0,0.000332631112096685,0,0.000444592641991775,0.00110778774786751,0,0,0.000777432252332297,0.000221901697547986,0.000443409821527547,0,0.000444197667962243,0.00011075423634954,0.000222345747637576,0.000443803395095972,0.000110877037365562,0,0.000111296605453534,0.000222271615914648,0.000111719360965255,0.000111806797853309,0.000555864369093941,0,0.00011153245594468,0.000223538616295965,0,0.000332594235033259,0.000110950848773993,0,0.000110668437361664,0,0.000221680336954112,0,0,0,0.000332078813371707
"OTU49",0.0165096952908587,0.00421472937000887,0.00653667183691558,0.00310249307479224,0.00709377078253159,0.00432276657060519,0.00576432767985811,0.00300066681484774,0.00289017341040462,0.00951853901494189,0.00299202127659574,0.00620773750138566,0.00343528368794326,0.0112472160356347,0.0190983788585388,0.00343642611683849,0.00775881179339393,0.00322473034582453,0.00657821384769763,0.00787663634346572,0.00555247084952804,0.00641876936697654,0.00232326584799203,0.0118402124598871,0.00630600730169267,0.0126413838988689,0.00398759415152858,0.002330743618202,0.00921198668146504,0.0113119662859044,0.00155469183786785,0.000775795190069822,0.00720062036113881,0.000885641536588066,0.00277592715967133,0.00166629637858254,0.00310352471735757,0.00354649229746204,0.00554016620498615,0.013745704467354,0.00543297483091252,0.00289629052021834,0.0201178170501278,0.00753295668549906,0.00831024930747922,0.0369469026548673,0.00899600177698801,0.00499278819482969,0.00521006540294868,0.00421145960323617,0.0051082731815658,0.00354413556318529,0.00222345747637576,0.00266282037057583,0.00399157334516022,0.0194530902623388,0.00300500834724541,0.012002667259391,0.00301642274606189,0.00245974955277281,0.00222345747637576,0.00557227237267358,0.00836493419585099,0.00570023471554711,0.0109646693986045,0.00476718403547672,0.00443803395095973,0.0140564471499723,0.00254537405931828,0.00598006644518272,0.0027710042119264,0.00243659319968989,0.00310869323859221,0.00431893687707641,0.00487048926278503
"OTU774",0.0067590027700831,0.00221827861579414,0.000775537336583204,0.000332409972299169,0.0017734426956329,0.000332520505431168,0.00144108191996453,0.000111135807957324,0.000111160515784793,0.000553403431101273,0.000664893617021277,0.000443409821527547,0.000775709219858156,0.00167037861915367,0.000444148345547413,0.0016627868307283,0.000221680336954112,0.00133437117758256,0.00312186419890735,0.000665631240292878,0.000666296501943365,0.000110668437361664,0,0.000995905720925086,0.000331895121141719,0.0017742293191395,0.000110766504209127,0.000221975582685905,0.00155382907880133,0.000443606521015859,0,0.000221655768591378,0,0.000110705192073508,0,0.000888691401910687,0,0.000221655768591378,0,0.000443409821527547,0.000554385186827808,0.000111395789239167,0.000444592641991775,0.000332336324360253,0.000332409972299169,0.000774336283185841,0.002998667258996,0.000443803395095972,0.00033255736614566,0.000997450958661199,0.000777345918933926,0.00221508472699081,0.00200111172873819,0.00188616442915788,0.000110877037365562,0.000889284126278346,0.000779076238174736,0.000666814847743943,0.00111719360965255,0.000447227191413238,0.000667037242912729,0.000445781789813886,0.00122685701539148,0.00044707723259193,0.00132905083619448,0.00210643015521064,0.00110950848773993,0.000885445489762036,0,0.000221483942414175,0.000221680336954112,0.000996788127145863,0.000333074275563451,0.000996677740863787,0
"OTU224",0.0115235457063712,0.00354924578527063,0.00155107467316641,0.00465373961218837,0.00354688539126579,0.00254932387497229,0.00310386875069283,0.00111135807957324,0.000555802578923966,0.000774764803541782,0.00166223404255319,0.00155193437534641,0.000332446808510638,0.00278396436525612,0.00155451920941594,0.00210619665225585,0.00155176235867879,0.00133437117758256,0.00211840784925856,0.000221877080097626,0.000333148250971682,0.00210270030987162,0.00132758048456688,0.00254509239791966,0.000221263414094479,0.00321579064094034,0.000553832521045636,0.000221975582685905,0.00455049944506104,0.00731950759676167,0.000444197667962243,0.000775795190069822,0,0,0.00666222518321119,0.00222172850477672,0.00476612724451341,0.00454394325612324,0.000221606648199446,0.000775967187673207,0.00210666370994567,0.00155954104934833,0.00322329665444037,0.000997008973080758,0.000886426592797784,0.00287610619469027,0.00366503776099511,0.000776655941417952,0,0.00288152499168791,0.000111049416990561,0.00254734743603943,0.0018899388549194,0.00510373904360368,0.000221754074731123,0,0.000111296605453534,0.000111135807957324,0.000223438721930511,0.00100626118067979,0.00389105058365759,0.000222890894906943,0.00022306491188936,0,0.00155055930889357,0.00332594235033259,0.00532564074115167,0.0085224128389596,0.00121735281097831,0.00210409745293466,0.00166260252715584,0.00653449994462288,0.0011102475852115,0.000775193798449612,0.000442771751162276
"OTU904",0.000775623268698061,0.000887311446317658,0.00110791048083315,0.000110803324099723,0.000221680336954112,0.000110840168477056,0.00033255736614566,0.000111135807957324,0.00255669186305024,0.0012174875484228,0,0,0.000221631205673759,0.0010022271714922,0,0.000221704910763773,0.00055420084238528,0.000667185588791282,0.00033448544988293,0.000110938540048813,0,0.000442673749446658,0.00199137072685032,0.00110656191213898,0.000553158535236199,0.000221778664892437,0.00177226406734603,0.000332963374028857,0.000110987791342952,0.00121991793279361,0,0.000110827884295689,0.000110778774786751,0,0.000222074172773706,0.00111086425238836,0.000110840168477056,0.000110827884295689,0.00132963988919668,0.00033255736614566,0.00110877037365562,0.000445583156956667,0.000778037123485606,0.000332336324360253,0.000221606648199446,0.000553097345132743,0.000333185250999556,0.000332852546321979,0.000221704910763773,0.000443311537182755,0.000111049416990561,0,0,0,0,0.000111160515784793,0,0.000444543231829295,0.000782035526756787,0.000111806797853309,0.000333518621456365,0.000111445447453472,0.0005576622797234,0.000111769308147983,0.0011075423634954,0.000665188470066519,0.00122045933651392,0.000996126175982291,0,0,0,0,0.000777173309648051,0,0.000110692937790569
"OTU77",0.00454293628808864,0.00709849157054126,0.00509638821183248,0.0120775623268698,0.00831301263577921,0.0115273775216138,0.00554262276909434,0.00522338297399422,0.00289017341040462,0.00143884892086331,0.00986258865248227,0.00421239330451169,0.00410017730496454,0.00189309576837416,0.00222074172773706,0.000443409821527547,0.000665041010862337,0.000555987990659402,0.00100345634964879,0.000776569780341691,0.000777345918933926,0.00099601593625498,0.0011063170704724,0.00143853048578068,0.000331895121141719,0.00609891328454203,0.00199379707576429,0.000332963374028857,0.00133185349611543,0.00199622934457137,0.00233203775680178,0.000775795190069822,0.000775451423507256,0.000885641536588066,0.00388629802353986,0.0015552099533437,0.00543116825537575,0.00487642690901031,0.000332409972299169,0.00033255736614566,0.0014414014857523,0.002005124206305,0.000333444481493831,0.000443115099147003,0.000443213296398892,0.00276548672566372,0.00177698800533096,0.00754465771663153,0.00210619665225585,0.00265986922309653,0.00155469183786785,0.00753128807176875,0.00822679266259033,0.00665705092643959,0.00676349927929926,0.000444642063139173,0.00255982192543127,0.00188930873527451,0.00279298402413138,0.000670840787119857,0.00522512506948305,0.00100300902708124,0.00122685701539148,0.00156477031407176,0.00143980507254402,0.00498891352549889,0.0105403306335293,0.00509131156613171,0.0135015493581231,0.0131782945736434,0.0109731766792286,0.00874958467161369,0.00954812923281892,0.00564784053156146,0.00110692937790569
"OTU83440",0.00299168975069252,0.00244010647737356,0.00243740305783293,0.00520775623268698,0.00243848370649523,0.00410108623365108,0.00210619665225585,0.00266725939097577,0.00389061805246776,0.00132816823464305,0.00675975177304965,0.00642944241214943,0.00310283687943262,0.00957683741648107,0.00699533644237175,0.00243875401840151,0.00332520505431168,0.00400311353274769,0.00423681569851711,0.00366097182161083,0.00333148250971682,0.00177069499778663,0.00210200243389755,0.00354099811884475,0.00221263414094479,0.00521179862497228,0.00177226406734603,0.00144284128745838,0.00521642619311876,0.00266163912609515,0.00655191560244309,0.004987254793306,0.00487426609061704,0.00498173364330787,0.00555185431934266,0.00688735836480782,0.00410108623365108,0.00554139421478444,0.00631578947368421,0.00232790156301962,0.00332631112096685,0.00412164420184917,0.00322329665444037,0.00221557549573502,0.00365650969529086,0.0043141592920354,0.00832963127498889,0.00432708310218573,0.00532091785833056,0.00321400864457497,0.00277623542476402,0.0046516779266807,0.00878265703168427,0.00377232885831577,0.00210666370994567,0.00477990217874611,0.00756816917084029,0.00388975327850633,0.00569768740922802,0.00178890876565295,0.00689271817676487,0.00278613618633679,0.00345750613428508,0.00324130993629149,0.00974637279875955,0.00698447893569845,0.00876511705314546,0.0105146651909242,0.00464807436918991,0.00310077519379845,0.00443360673908224,0.00299036438143759,0.00333074275563451,0.0102990033222591,0.000774850564533983
"OTU2301",0.000554016620498615,0.000332741792369122,0.000553955240416574,0.00121883656509695,0.000775881179339393,0.00133008202172467,0.00199534419687396,0.00255612358301845,0.00155624722098711,0.000332042058660764,0.00188386524822695,0.00299301629531094,0,0.000111358574610245,0.000111037086386853,0.000110852455381887,0,0.000222395196263761,0,0.000110938540048813,0.000222098833981122,0,0.000331895121141719,0,0,0.000554446662231093,0.000110766504209127,0,0.000221975582685905,0,0.000444197667962243,0.000554139421478444,0.000221557549573502,0.000110705192073508,0.000222074172773706,0,0,0,0,0,0.000332631112096685,0.000445583156956667,0.000111148160497944,0,0,0,0.000333185250999556,0.00133141018528792,0,0.000221655768591378,0.000333148250971682,0,0.000333518621456365,0.000443803395095972,0.000221754074731123,0,0.000111296605453534,0.000444543231829295,0.000335158082895766,0.000782647584973166,0.000555864369093941,0,0.00022306491188936,0.000335307924443948,0,0,0,0.000442722744881018,0.000442673749446658,0.000332225913621262,0.00110840168477056,0.000996788127145863,0.00266459420450761,0.0008859357696567,0.000110692937790569
"OTU8308",0.000110803324099723,0,0.000110791048083315,0.000221606648199446,0.000443360673908224,0.000110840168477056,0,0.000111135807957324,0,0,0,0,0,0,0,0,0,0,0.00033448544988293,0,0,0,0,0.000221312382427797,0,0,0,0,0,0,0,0,0,0,0.000111037086386853,0,0,0.000110827884295689,0.000110803324099723,0.000110852455381887,0.000554385186827808,0,0,0.000110778774786751,0.000110803324099723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110950848773993,0.000110680686220255,0,0.000110741971207087,0,0.00011075423634954,0,0.000332225913621262,0.000110692937790569
"OTU62369",0.00188365650969529,0.000443655723158829,0.000110791048083315,0.000110803324099723,0.000110840168477056,0.000110840168477056,0.000110852455381887,0,0,0.00177089097952407,0.000221631205673759,0,0.000110815602836879,0.00155902004454343,0.000666222518321119,0.000110852455381887,0,0.000555987990659402,0.00033448544988293,0.000221877080097626,0.000222098833981122,0.000110668437361664,0,0,0.00011063170704724,0.000221778664892437,0.000664599025254763,0.000110987791342952,0.00122086570477247,0.000776311411777753,0.000111049416990561,0,0,0,0,0.000111086425238836,0.000443360673908224,0.000554139421478444,0,0,0.000776139261558931,0.000556978946195834,0,0,0,0.000884955752212389,0.000888494002665482,0,0.000886819643055094,0.000110827884295689,0,0,0.000444691495275153,0.000665705092643959,0.00066526222419337,0.000222321031569586,0,0,0.000335158082895766,0.000782647584973166,0.000667037242912729,0.000891563579627772,0.00011153245594468,0.000223538616295965,0.0011075423634954,0.00133037694013304,0.000776655941417952,0.000885445489762036,0,0,0.000110840168477056,0,0,0,0.000110692937790569
