"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU6123",37,30.094,24,35,"Generalists"
"OTU170",113,84.494,77,93,"Generalists"
"OTU555",140,92.544,83,101,"Generalists"
"OTU2258",3,3.634,2,4,"NS"
"OTU845",44,33.356,28,39,"Generalists"
"OTU8318",3,2.778,2,3,"NS"
"OTU1132",62,35.174,30,41,"Generalists"
"OTU88",145,122.232,114.475,131,"Generalists"
"OTU571",8,16.086,12,20,"Specialists"
"OTU4",157,156.728,155,157,"NS"
"OTU712",72,37.824,32,44,"Generalists"
"OTU486",146,104.454,96,113,"Generalists"
"OTU100090",109,91.624,83,100,"Generalists"
"OTU1009",5,9.934,7,13,"Specialists"
"OTU724",85,59.754,52,67,"Generalists"
"OTU51",144,143.308,137,149,"NS"
"OTU6206",111,80.022,70.475,90,"Generalists"
"OTU161",126,83.64,75,93,"Generalists"
"OTU52424",56,33.536,27.475,39,"Generalists"
"OTU256",25,48.936,42,56,"Specialists"
"OTU100149",2,2.838,2,3,"NS"
"OTU15",144,142.836,137,149,"NS"
"OTU316",127,105.974,96.475,115,"Generalists"
"OTU42",70,74.434,66,84,"NS"
"OTU30",150,140.916,134,148,"Generalists"
"OTU8158",9,9.858,7,12,"NS"
"OTU660",95,60.576,52,68,"Generalists"
"OTU212",85,49.332,42,56,"Generalists"
"OTU205",117,94.084,84,103,"Generalists"
"OTU12222",68,46.526,39,54,"Generalists"
"OTU53725",150,137.356,130.475,144,"Generalists"
"OTU151",136,120.062,111,129,"Generalists"
"OTU579",65,50.88,43,59,"Generalists"
"OTU200",123,77.782,70,86,"Generalists"
"OTU2166",42,28.818,23,34.525,"Generalists"
"OTU633",71,51.78,44,58,"Generalists"
"OTU268",111,64.08,56,73,"Generalists"
"OTU67",6,5.06,3,6,"NS"
"OTU8959",13,18.42,14,23,"Specialists"
"OTU2621",24,22.242,18,27,"NS"
"OTU225",130,88.508,80,98,"Generalists"
"OTU211",153,119.36,110,127.525,"Generalists"
"OTU3741",4,4.41,3,5,"NS"
"OTU600",60,57.144,49,65.525,"NS"
"OTU2803",65,36.258,30,43.525,"Generalists"
"OTU11655",34,30.402,25,36,"NS"
"OTU480",13,34.772,29,41,"Specialists"
"OTU737",77,67.622,60,75,"Generalists"
"OTU29",153,148.752,144,153,"NS"
"OTU9686",50,60.978,54,69.525,"Specialists"
"OTU1299",82,55.442,47,63,"Generalists"
"OTU3021",24,18.338,14,22,"Generalists"
"OTU3734",41,25.692,21,31,"Generalists"
"OTU323",85,69.938,62,78,"Generalists"
"OTU2025",13,15.764,12,19,"NS"
"OTU26733",43,24.752,19.475,30,"Generalists"
"OTU696",50,38.922,33,45,"Generalists"
"OTU925",58,45.382,38,52.525,"Generalists"
"OTU62459",71,95.352,87,104,"Specialists"
"OTU542",120,84.236,76.475,93,"Generalists"
"OTU90705",87,92.528,84,101,"NS"
"OTU332",141,90.27,81,99,"Generalists"
"OTU713",28,25.716,21,31,"NS"
"OTU2762",15,13.538,10,16,"NS"
"OTU143",105,87.924,78.475,97.525,"Generalists"
"OTU2004",9,20.626,16,25,"Specialists"
"OTU61883",10,7.736,6,10,"NS"
"OTU21039",2,4.418,3,5,"Specialists"
"OTU410",132,117.594,109,126,"Generalists"
"OTU26",117,142.146,136,148,"Specialists"
"OTU1645",23,35.714,29.475,42,"Specialists"
"OTU22832",4,3.624,2.475,4,"NS"
"OTU5597",3,2.788,2,3,"NS"
"OTU56636",5,7.754,6,10,"Specialists"
"OTU3500",60,35.814,29,42,"Generalists"
"OTU596",43,47.63,41,54.525,"NS"
"OTU422",89,49.952,42,57,"Generalists"
"OTU8",134,146.136,140,152,"Specialists"
"OTU68",112,72.948,64,82,"Generalists"
"OTU10371",24,16.256,13,20,"Generalists"
"OTU229",125,119.614,110,128,"NS"
"OTU1426",33,18.392,14,23,"Generalists"
"OTU1151",84,69.858,62,78,"Generalists"
"OTU1403",52,41.438,35,48,"Generalists"
"OTU1423",14,25.856,21,31,"Specialists"
"OTU445",128,72.662,65,82,"Generalists"
"OTU612",83,51.214,44,59,"Generalists"
"OTU1702",30,27.744,23,34,"NS"
"OTU9679",50,34.188,28,40,"Generalists"
"OTU1452",41,41.384,35,48,"NS"
"OTU580",39,35.274,29,41,"NS"
"OTU4440",76,43.08,37,49.525,"Generalists"
"OTU2479",24,15.306,12,19,"Generalists"
"OTU83508",36,34.326,28,40,"NS"
"OTU278",89,66.918,59,75,"Generalists"
"OTU1293",19,23.364,18,28,"NS"
"OTU3507",18,15.012,12,19,"NS"
"OTU4251",8,8.358,6,10,"NS"
"OTU295",34,65.774,57.475,74,"Specialists"
"OTU27857",27,21.656,17,26,"Generalists"
"OTU235",113,67.934,59,76,"Generalists"
"OTU8917",20,19.562,15.475,24,"NS"
"OTU352",72,39.502,33,46,"Generalists"
"OTU3724",32,21.872,17,26,"Generalists"
"OTU34",156,149.012,143,154,"Generalists"
"OTU1258",71,48.436,41,55,"Generalists"
"OTU314",5,4.42,3,5,"NS"
"OTU5792",42,28.914,23.475,34,"Generalists"
"OTU2856",67,41.772,35,50,"Generalists"
"OTU131",127,84.166,76,93,"Generalists"
"OTU501",43,41.288,35,48,"NS"
"OTU3832",9,11.302,8,14,"NS"
"OTU1246",12,9.964,7,12,"NS"
"OTU3501",61,50.824,44,58,"Generalists"
"OTU198",135,109.028,101,118.525,"Generalists"
"OTU606",81,73.98,66,82,"NS"
"OTU781",120,73.358,65.475,82,"Generalists"
"OTU942",39,30.968,25,37,"Generalists"
"OTU4888",5,4.398,3,5,"NS"
"OTU38158",35,49.044,42,56,"Specialists"
"OTU540",99,75.858,68,83.525,"Generalists"
"OTU149",68,91.614,82.475,100,"Specialists"
"OTU5090",5,4.352,3,5,"NS"
"OTU55",76,74.156,65,83,"NS"
"OTU154",139,99.878,91,109,"Generalists"
"OTU7",157,155.972,153.475,157,"NS"
"OTU673",99,77.616,69,87,"Generalists"
"OTU6093",37,35.14,29,41,"NS"
"OTU202",111,99.944,91,109,"Generalists"
"OTU3970",14,21.942,17,27,"Specialists"
"OTU417",122,119.684,111,127.525,"NS"
"OTU25207",23,30.704,25,36,"Specialists"
"OTU1693",44,28.3,23,34,"Generalists"
"OTU1245",35,29.676,25,35,"NS"
"OTU27199",4,3.618,2,4,"NS"
"OTU317",43,26.956,22,32.525,"Generalists"
"OTU1027",67,47.272,40,55,"Generalists"
"OTU4459",1,1.918,1,2,"NS"
"OTU1231",66,48.084,42,55,"Generalists"
"OTU62474",92,55.03,47,63,"Generalists"
"OTU8767",24,20.108,16,25,"NS"
"OTU1852",111,51.24,44.475,58,"Generalists"
"OTU35215",49,34.126,28,40,"Generalists"
"OTU1601",11,10.864,8,13,"NS"
"OTU836",75,55.03,48,63,"Generalists"
"OTU1220",84,49.252,42,56.525,"Generalists"
"OTU37060",157,155.602,153,157,"NS"
"OTU761",28,19.74,15,24,"Generalists"
"OTU554",96,86.86,77.475,96,"NS"
"OTU868",92,52.474,45,59,"Generalists"
"OTU171",70,108.39,100,117,"Specialists"
"OTU69",136,126.394,118,134,"Generalists"
"OTU2304",12,18.896,14.475,23,"Specialists"
"OTU1276",155,120.806,112,130,"Generalists"
"OTU17671",25,19.338,15,24,"Generalists"
"OTU1749",31,22.442,18,27,"Generalists"
"OTU78",84,104.96,96,113,"Specialists"
"OTU4293",24,20.102,16,25,"NS"
"OTU4682",37,23.804,19,29,"Generalists"
"OTU558",98,73.66,66,82,"Generalists"
"OTU61538",4,4.334,3,5,"NS"
"OTU12821",3,2.8,2,3,"NS"
"OTU421",89,76.208,67.475,85,"Generalists"
"OTU574",133,90.526,82,99.525,"Generalists"
"OTU607",77,45.856,39,53,"Generalists"
"OTU59",150,121.172,112,130,"Generalists"
"OTU908",39,29.726,24,35,"Generalists"
"OTU51924",106,93.928,85,103,"Generalists"
