"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU2641",9,3.226,1,5,"Generalists"
"OTU8542",9,2.494,1,4,"Generalists"
"OTU2125",3,1.632,1,3,"NS"
"OTU12935",3,1.602,1,3,"NS"
"OTU73",14,3.698,2,6,"Generalists"
"OTU1642",20,5.532,3,8,"Generalists"
"OTU2285",12,3.266,1,6,"Generalists"
"OTU6345",10,4.476,2,7,"Generalists"
"OTU636",26,8.172,5,12,"Generalists"
"OTU6063",6,2.432,1,4,"Generalists"
"OTU154",5,22.046,17,28,"Specialists"
"OTU2642",14,3.836,2,6,"Generalists"
"OTU1815",20,5.128,3,8,"Generalists"
"OTU2794",27,6.63,4,10,"Generalists"
"OTU3523",15,5.792,3,9,"Generalists"
"OTU929",4,3.064,1,5,"NS"
"OTU3109",26,12.674,9,17,"Generalists"
"OTU1448",25,14.752,10,20,"Generalists"
"OTU422",22,26.446,21,33,"NS"
"OTU287",39,27.924,22,34,"Generalists"
"OTU1643",11,5.01,3,8,"Generalists"
"OTU1156",3,2.85,1,5,"NS"
"OTU7766",38,8.414,5,12,"Generalists"
"OTU148",2,2.142,1,3.52499999999998,"NS"
"OTU4217",1,1.32,1,2,"NS"
"OTU10931",26,6.506,4,10,"Generalists"
"OTU13030",9,2.74,1,5,"Generalists"
"OTU1809",3,1.63,1,3,"NS"
"OTU14",25,12.916,8.475,18,"Generalists"
"OTU176",4,1.768,1,3,"Generalists"
"OTU223",4,2.506,1,4,"NS"
"OTU12045",20,4.608,2,7,"Generalists"
"OTU520",16,3.304,1,5,"Generalists"
"OTU9",9,2.698,1,5,"Generalists"
"OTU2378",1,8.954,6,13,"Specialists"
"OTU1383",6,2.572,1,4,"Generalists"
"OTU143",15,13.428,9,18,"NS"
"OTU120",22,5.552,3,9,"Generalists"
"OTU163",7,2.752,1,5,"Generalists"
"OTU7840",11,4.018,2,6,"Generalists"
"OTU1284",15,14.168,10,19,"NS"
"OTU3988",2,2.572,1,4,"NS"
"OTU12189",21,4.874,2,8,"Generalists"
"OTU131",45,64.024,58,69.525,"Specialists"
"OTU476",10,21.756,17,28,"Specialists"
"OTU13013",8,2.694,1,5,"Generalists"
"OTU183",22,35.846,29.475,42,"Specialists"
"OTU9703",5,2.26,1,4,"Generalists"
"OTU3359",18,7.716,5,11,"Generalists"
"OTU7264",1,3.706,2,6,"Specialists"
"OTU5399",11,2.804,1,5,"Generalists"
"OTU11860",3,1.998,1,3.52499999999998,"NS"
"OTU5665",2,1.6,1,3,"NS"
"OTU115",4,2.022,1,4,"NS"
"OTU279",4,32.74,27,39,"Specialists"
"OTU4381",2,1.604,1,3,"NS"
"OTU364",19,38.688,32,45,"Specialists"
"OTU11196",2,1.362,1,2,"NS"
"OTU2521",11,5.772,3,9,"Generalists"
"OTU127",19,20.834,16,26,"NS"
"OTU933",1,1.364,1,2,"NS"
"OTU13039",28,5.438,3,8,"Generalists"
"OTU10922",6,2.46,1,4,"Generalists"
"OTU229",5,1.956,1,3,"Generalists"
"OTU51",8,3.136,1,5,"Generalists"
"OTU12561",14,4.29,2,7,"Generalists"
"OTU22",12,3.492,2,6,"Generalists"
"OTU129",3,1.822,1,3,"NS"
"OTU34",7,12.182,8,16,"Specialists"
"OTU5042",26,26.392,20.475,32,"NS"
