"Genus","Family","Order","Class","Phylum","Domain","global_relative_abundance","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","SFA","UHC","BLM_BOGR","BLM_SCSC","BNP_BOER","BNP_BOGR","CAD_ANGE","CAD_BOGR","CAD_BUDA","CAD_SCSC","CNF_BOER","CNF_BOGR","CNF_SCSC","CPR_BOER","CPR_BOGR_E","DMT_BOER","DMT_BOGR","DMT_SCSC","FCP_BOGR","FCP_BUDA","FCP_SCSC","FMT_BOER","FMT_BOGR","FSA_SCSC","GMT_BOER","GMT_BOGR","GNF_BOGR","GNF_SCSC","HAR_ANGE","HAR_BOCU_E","HAR_BOGR","HAR_BOGR_E","HAR_BUDA","HAR_BUDA_E","HAR_SCSC","HAR_SCSC_E","HPG_BOGR","HPG_BUDA","KAE_ANGE","KAE_BUDA","KAE_SCSC","KNZ_ANGE","KNZ_ANGE_E","KNZ_BOCU_E","KNZ_BOGR","KNZ_BUDA","KNZ_SCSC","KNZ_SCSC_E","LAR_ANGE","LAR_BOGR","LAR_SCSC","LBJ_ANGE","LBJ_BUDA","LBJ_SCSC","NWP_ANGE","NWP_SCSC","ONF_ANGE","ONF_SCSC","RNF_BOGR","SCP_ANGE","SCP_BOGR","SCP_SCSC","SEV_BOER","SEV_BOER_E_A","SEV_BOER_E_B","SEV_BOGR","SEV_BOGR_E_A","SFA_SCSC","UHC_ANGE","UHC_SCSC"
"uncl_Hypocreaceae","Hypocreaceae","Hypocreales","Sordariomycetes","Ascomycota","Fungi",0.425,0,0,0.87,0.069,0.254,0.26,0.245,0.491,0.604,0.003,0.138,0.879,0,0.012,0.046,0.014,0.059,1.475,0.001,0.154,0.625,1.86,0.064,0.101,0.986,0.948,0.821,0.521,0.018,0,0.119,1.595,0.774,0.419,0.005,0,0.495,0,0.002,0.007,0.762,1.103,0.894,0,0,0,0,0.034,0.099,0.004,0.067,0.022,0,0.059,1.517,1.424,0.01,0,0.065,0.085,0.003,0.053,0,0.394,0.598,0.01,0,0.853,3.571,0.091,2.128,0.012,0.193,0.006,0.004,0,0.002,0.08,0.208,0.012,0.032,1.433,0.629,0.928,0.966,0.93,0.956,0.709,0.521,0,0,0.044,0,0,0,0,0,0.119,1.578,1.61
"uncl_Agaricales","uncl_Agaricales","Agaricales","Agaricomycetes","Basidiomycota","Fungi",5.502,7.953,0.002,6.498,0.836,6.867,3.456,3.2,7.274,1.917,15.762,6.663,6.723,4.49,6.675,3.411,1.669,4.938,3.708,5.895,3.201,1.653,4.151,8.125,0.437,6.503,6.945,4.91,4.3,13.543,5.552,8.047,10.529,3.262,0.449,21.772,1.338,10.769,2.408,3.014,9.503,1.159,1.957,13.809,5.97,1.236,2.606,13.268,7.604,9.009,2.359,2.013,0.572,3.681,4.938,4.701,2.516,0.03,6.733,6.171,0.391,0.809,3.843,4.431,1.521,6.169,3.156,2.615,1.304,1.886,7.519,2.427,9.858,6.509,2.616,7.61,3.977,10.816,10.974,0.996,0,0.06,7.227,1.305,11.451,9.48,4.41,3.222,6.318,4.3,6.159,6.099,24.679,8.895,2.419,9.742,0,0.002,8.047,9.268,11.675
"uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","Ascomycota","Fungi",19.27,29.671,40.387,9.925,11.928,28.294,28.711,26.601,10.852,34.633,28.792,19.628,25.87,37.262,13.68,18.408,34.214,11.807,23.462,6.671,18.29,26.087,9.953,11.534,21.966,12.555,7.096,9.57,33.992,15.629,32.906,4.465,10.574,33.469,35.903,31.011,23.466,5.874,24.778,38.827,8.115,32.871,37.766,14.497,40.44,30.271,13.419,21.865,9.083,20.174,25.216,10.179,29.263,43.29,11.807,19.986,27.633,15.144,5.461,8.787,12.487,25.862,19.954,31.694,32.885,6.559,13.654,27.847,25.448,9.95,10.435,9.315,9.737,6.69,9.696,20.248,33.578,4.659,5.996,18.297,30.332,22.15,10.85,17.108,9.293,7.81,6.381,12.933,6.768,33.992,4.636,33.447,3.307,13.665,25.104,38.701,33.126,42.062,4.465,10.762,10.403
"Septobasidium","Septobasidiaceae","Septobasidiales","Pucciniomycetes","Basidiomycota","Fungi",0.049,0,0,0,0.112,0,0.219,0,0.005,1.236,0,0.013,0,0,0,0,0,0,0,0,0.031,0,0,0.003,0,0,0,0,0,0,0,0,0,2.368,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","Agaricomycetes","Basidiomycota","Fungi",1.431,2.033,0.156,1.923,0.881,0.979,1.426,1.671,1.339,5.941,0.941,0.232,0.707,0.373,1.07,2.531,0.544,0.418,0.773,0.019,1.313,0.059,1.381,2.192,0.727,1.431,2.705,1.363,0.046,0.688,1.467,0.613,1.028,6.22,5.636,0.004,3.189,0.133,0.025,0.208,0.513,0.019,0.034,1.618,0.47,0.158,0.465,1.771,1.374,1.722,4.877,0.34,0.829,0.021,0.418,0.697,0.865,0.138,0.001,0.5,0.925,6.478,0.477,0.035,0.151,3.692,1.268,0.017,0.074,0.218,2.793,0.92,3.091,3.236,0.706,1.117,2.293,3.566,0.584,1.649,0.196,0.026,1.388,2.33,0.493,3.491,1.92,2.878,0.101,0.046,0.089,1.631,0.044,0.094,0.02,3.711,0.633,0.046,0.613,1.738,0.382
"uncl_Diaporthaceae","Diaporthaceae","Diaporthales","Sordariomycetes","Ascomycota","Fungi",0.116,0,0,0.16,0.002,0.094,0.095,0.087,0.143,0.192,0,0.001,0.371,0.001,0.047,0.001,0,0.001,0.582,0,0.003,0.315,0,0.008,0,0.401,0.228,0.249,0.264,0.008,0,0,0.737,0.248,0.13,0,0,0.001,0,0,0.004,0.269,0.358,0.471,0.001,0,0,0,0.132,0,0,0.002,0,0,0.001,0.586,0.578,0,0,0.013,0.003,0,0.003,0,0,0,0.015,0.007,0.427,0,0,0,0.01,0.006,0,0.008,0.004,0.026,0.002,0,0,0,0.606,0.255,0.355,0.182,0.275,0.266,0.236,0.264,0,0.02,0,0,0,0,0,0,0,0.74,0.733
"uncl_Lindgomycetaceae","Lindgomycetaceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0.008,0,0,0,0.002,0,0.013,0,0.02,0.17,0,0,0,0.004,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0.137,0,0,0,0,0.068,0.281,0,0,0,0,0,0,0,0,0.001,0.001,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.003,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0,0,0,0,0,0,0,0,0,0,0
"Periconia","Periconiaceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",2.542,0.002,0.005,4.508,0.929,0.968,1.155,1.232,4.019,2.62,0.016,2.295,3.725,0.005,0.101,1.067,0.009,13.232,5.798,0.472,1.168,1.783,3.166,2.582,0.755,6.131,6.822,4.577,1.199,0.028,0.003,8.946,8.704,3.659,1.487,0.008,0.036,5.762,0.157,0.077,2.638,1.9,3.61,5.447,0.007,0,0.235,0,0.001,0.002,0.574,2.088,0.004,0.018,13.232,6.552,4.894,0,0.539,2.433,0.715,0.16,1.321,0.09,1.244,1.122,3.653,0.002,2.43,3.132,1.587,5.315,1.463,4.869,1.785,0.347,0.297,1.182,4.27,0.307,0.002,1.517,8.429,3.388,6.824,6.076,7.568,5.283,3.99,1.199,0.089,0.025,0,0,0.002,0.003,0.007,0.005,8.946,8.48,8.908
"Fusarium","Nectriaceae","Hypocreales","Sordariomycetes","Ascomycota","Fungi",5.599,4.173,0.031,9.042,1.378,5.028,3.947,4.003,6.239,8.562,2.547,1.601,11.558,1.369,1.738,1.02,1.707,7.221,17.068,0.194,1.699,8.677,9.714,2.108,6.601,13.37,10.528,9.899,6.29,2.675,2.923,6.93,18.755,10.132,6.849,1.349,5.421,2.164,0.521,1.351,2.038,9.84,13.484,12.331,1.364,1.378,0.288,4.089,2.068,0.55,0.643,1.645,2.061,1.059,7.221,17.745,16.256,0.109,0.206,6.122,1.46,0.956,0.95,0.199,0.992,2.005,1.372,2.867,10.789,16.65,7.934,3.609,1.732,5.552,1.054,1.139,0.927,0.466,1.222,6.823,1.012,8.707,17.526,8.361,14.681,9.19,11.865,10.367,9.51,6.29,8.699,0.193,2.145,1.046,0.167,7.184,0.122,0.01,6.93,18.803,18.712
"Lophiostoma","Lophiostomataceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0.059,0,0,0.052,0,0.028,0.151,0.025,0.042,0.062,0,0.003,0.101,0,0,0.562,0,0,0.187,0,0.005,0.057,0,0,0.001,0.129,0.063,0.073,0.03,0,0,0,0.271,0.075,0.049,0,0,0.002,0.001,0.009,0,0.068,0.17,0.103,0,0,0,0,0,3.147,0,0,0,0,0,0.188,0.186,0,0,0,0,0,0.001,0,0.043,0,0.002,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0.204,0.073,0.115,0.05,0.075,0.082,0.065,0.03,0,0,0,0,0,0,0,0,0,0.256,0.284
