"","Genus","Family","Order","Class","Phylum","Domain","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","UHC","SFA","BLM_BOGR","BLM_SCSC","BNP_BOER","BNP_BOGR","CAD_ANGE","CAD_BOGR","CAD_BUDA","CAD_SCSC","CNF_BOER","CNF_BOGR","CNF_SCSC","CPR_BOER","CPR_BOGR_E","DMT_BOER","DMT_BOGR","DMT_SCSC","FCP_BOGR","FCP_BUDA","FCP_SCSC","FMT_BOER","FMT_BOGR","FSA_SCSC","GMT_BOER","GMT_BOGR","GNF_BOGR","GNF_SCSC","HAR_ANGE","HAR_BOCU_E","HAR_BOGR","HAR_BOGR_E","HAR_BUDA","HAR_BUDA_E","HAR_SCSC","HAR_SCSC_E","HPG_BOGR","HPG_BUDA","KAE_ANGE","KAE_BUDA","KAE_SCSC","KNZ_ANGE","KNZ_ANGE_E","KNZ_BOCU_E","KNZ_BOGR","KNZ_BUDA","KNZ_SCSC","KNZ_SCSC_E","LAR_ANGE","LAR_BOGR","LAR_SCSC","LBJ_ANGE","LBJ_BUDA","LBJ_SCSC","NWP_ANGE","NWP_SCSC","ONF_ANGE","ONF_SCSC","RNF_BOGR","SCP_ANGE","SCP_BOGR","SCP_SCSC","SEV_BOER","SEV_BOER_E_A","SEV_BOER_E_B","SEV_BOGR","SEV_BOGR_E_A","UHC_ANGE","UHC_SCSC","SFA_SCSC"
"354","uncl_Apiosporaceae","Apiosporaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.0871559633027523,NA,NA,0.169491525423729,0.2,0,0.0153846153846154,0.0444444444444444,0.140540540540541,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0,0,0,0.197802197802198,0,0.15625,0.0337078651685393,0.482758620689655,0.0882352941176471,0,0.0909090909090909,0,0,0,0.142857142857143,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.363636363636364,0,0,0,0,0,0,0,0.4,0.25,0,0.05,0,0.1,0.454545454545455,0.5,0,0,0.181818181818182,0.25,0,0,0,0,0.111111111111111,0,0.0833333333333333,0.05,0.833333333333333,0,0.333333333333333,0,0,0.272727272727273,0,0,0.1,0.0833333333333333,0,0,0,0,0,0,0,0,0,0.3,0,0.333333333333333
"356","Microdochium","Amphisphaeriaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.00458715596330275,NA,NA,0.00847457627118644,0,0,0.00769230769230769,0,0.00540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224719101123595,0,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.111111111111111,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"366","uncl_Hyponectriaceae","Hyponectriaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.00917431192660551,NA,NA,0.0169491525423729,0,0,0,0.0222222222222222,0.0108108108108108,0,0,0.025,0,0,0,0,0,0,0,0,0.010989010989011,0,0.0625,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.0909090909090909,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"381","Monosporascus","Diatrypaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.00611620795107034,0.027027027027027,0,0,0,0.00943396226415094,0.0153846153846154,0.0111111111111111,0,0,0,0,0.0357142857142857,0,0,0.0357142857142857,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188679245283019,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.0833333333333333,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
"473","Biscogniauxia","Graphostromataceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.00917431192660551,NA,NA,0.0338983050847458,0,0,0,0,0.0108108108108108,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0.03125,0,0,0,0.15,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"560","Eutypella","Diatrypaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.00152905198776758,NA,NA,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010989010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"596","Hypoxylon","Hypoxylaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.00458715596330275,0.027027027027027,0,0.0169491525423729,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.0188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0
"609","Apiospora","Apiosporaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.0168195718654434,NA,NA,0.0254237288135593,0,0,0,0.0444444444444444,0.0216216216216216,0,0,0,0,0,0,0,0,0,0,0,0.010989010989011,0,0.0625,0,0.0344827586206897,0.176470588235294,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0.0909090909090909,0.166666666666667,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"630","uncl_Amphisphaeriaceae","Amphisphaeriaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.018348623853211,0,0.0625,0.00847457627118644,0,0,0.0384615384615385,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123595505617978,0,0,0,0,0,0,0.0188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0.444444444444444,0.545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0
"661","Anthostomella","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.00305810397553517,NA,NA,0,0,0,0,0,0.0108108108108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112359550561798,0,0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0
"682","uncl_Bartaliniaceae","Bartaliniaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.00305810397553517,NA,NA,0,0,0,0,0,0.0108108108108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
