"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU12222",46,40.588,34,47.525,"NS"
"OTU53725",82,71.542,65,78,"Generalists"
"OTU151",87,78.06,71.475,84,"Generalists"
"OTU579",23,24.694,20,29.525,"NS"
"OTU200",68,49.952,43,56,"Generalists"
"OTU2166",21,16.11,12,20,"Generalists"
"OTU633",45,26.144,20,32,"Generalists"
"OTU268",48,29.056,24,35,"Generalists"
"OTU67",3,2.682,2,3,"NS"
"OTU8959",10,16.912,13,21,"Specialists"
"OTU2621",2,1.902,1,2,"NS"
"OTU225",73,48.152,41,55,"Generalists"
"OTU211",90,72.404,66,79,"Generalists"
"OTU600",19,27.046,21,32.525,"Specialists"
"OTU2803",24,21.588,17,26.525,"NS"
"OTU11655",13,11.926,9,15,"NS"
"OTU480",2,17.984,14,22,"Specialists"
"OTU737",25,14.162,10,18,"Generalists"
"OTU29",93,90.78,86.475,94,"NS"
"OTU9686",16,17.202,13,21,"NS"
"OTU1299",40,23.77,18.475,29,"Generalists"
"OTU3734",24,17.256,13,21,"Generalists"
"OTU323",41,38.816,33,45,"NS"
"OTU2025",1,1.9,1,2,"NS"
"OTU26733",17,11.846,8,15,"Generalists"
"OTU28009",2,1.91,1,2,"NS"
"OTU696",17,22.81,18,28.525,"Specialists"
"OTU925",23,21.216,16.475,26,"NS"
"OTU62459",35,35.388,30,41.525,"NS"
"OTU542",56,37.908,31.475,44,"Generalists"
"OTU90705",31,37.12,31,44,"NS"
"OTU332",84,60.016,52.475,67,"Generalists"
"OTU713",24,21.508,17,26,"NS"
"OTU2762",6,5.368,3,7,"NS"
"OTU143",55,45.884,39.475,52,"Generalists"
"OTU2004",7,8.352,6,11,"NS"
"OTU61883",3,2.698,2,3,"NS"
"OTU410",68,64.866,59,71,"NS"
"OTU26",79,87.228,82,92,"Specialists"
"OTU1645",7,6.976,5,9,"NS"
"OTU22832",2,1.88,1,2,"NS"
"OTU3500",19,16.514,13,21,"NS"
"OTU596",19,22.614,18,27,"NS"
"OTU422",58,30.472,24.475,36,"Generalists"
"OTU8",79,90.08,86,94,"Specialists"
"OTU68",58,38.632,32.475,46,"Generalists"
"OTU10371",11,7.892,5,10,"Generalists"
"OTU229",64,59.212,52,66.525,"NS"
"OTU1426",8,6.584,4,9,"NS"
"OTU1151",52,53.218,47,60,"NS"
"OTU1403",19,15.322,11,19,"NS"
"OTU1423",6,4.826,3,6,"NS"
"OTU445",72,40.578,34,47,"Generalists"
"OTU612",41,23.87,19,29,"Generalists"
"OTU1702",10,8.394,6,11,"NS"
"OTU9679",29,28.774,23,35,"NS"
"OTU1452",11,9.27,6,12,"NS"
"OTU580",13,13.528,10,17,"NS"
"OTU4440",36,19.776,16,24,"Generalists"
"OTU2479",16,11.706,9,15,"Generalists"
"OTU83508",18,25.024,20,30,"Specialists"
"OTU278",39,30.286,25,36,"Generalists"
"OTU1293",3,2.72,2,3,"NS"
"OTU3507",15,13.67,10,17,"NS"
"OTU4251",5,6.992,5,9,"NS"
"OTU295",11,9.908,7,13,"NS"
"OTU27857",4,3.418,2,4,"NS"
"OTU235",69,41.16,35,48,"Generalists"
"OTU8917",6,5.934,4,8,"NS"
"OTU352",44,29.772,24,35.525,"Generalists"
"OTU3724",13,10.632,8,14,"NS"
"OTU34",94,88.844,84,93,"Generalists"
"OTU1258",23,19.544,15,24,"NS"
"OTU314",2,3.464,2,4,"NS"
"OTU5792",21,18.094,14,22.525,"NS"
"OTU2856",38,26.382,21,32,"Generalists"
"OTU131",65,43.33,37,50.525,"Generalists"
"OTU501",9,18.822,15,23.525,"Specialists"
"OTU3832",2,1.918,1,2,"NS"
"OTU1246",6,4.73,3,6,"NS"
"OTU3501",29,27.432,21,33,"NS"
"OTU198",75,60.162,53,67,"Generalists"
"OTU606",46,35.76,29,42,"Generalists"
"OTU781",58,37.56,31,44,"Generalists"
"OTU942",17,16.418,13,20.525,"NS"
"OTU38158",16,19.598,15,24,"NS"
"OTU540",55,47.28,41,54,"Generalists"
"OTU149",37,43.088,37,49,"NS"
"OTU55",36,31.514,26,37,"NS"
"OTU154",84,54.828,48,62,"Generalists"
"OTU7",95,94.476,93,95,"NS"
"OTU673",66,45.894,39,53,"Generalists"
"OTU6093",41,30.644,25,36,"Generalists"
"OTU202",62,51.908,45,58,"Generalists"
"OTU3970",13,13.462,10,17,"NS"
"OTU417",69,72.154,65,79,"NS"
"OTU1693",27,19.238,15,24,"Generalists"
"OTU1245",7,7.47,5,10,"NS"
"OTU317",31,18.57,14,23,"Generalists"
"OTU1027",56,32.346,27.475,38,"Generalists"
"OTU1231",27,18.19,14,22.525,"Generalists"
"OTU62474",60,35.85,29,42,"Generalists"
"OTU8767",9,24.898,20,30,"Specialists"
"OTU1852",63,32.366,27,38,"Generalists"
"OTU35215",22,22.354,18,27,"NS"
"OTU1601",8,7.422,5,10,"NS"
"OTU836",23,20.632,16,26,"NS"
"OTU1220",42,26.94,22,32,"Generalists"
"OTU37060",95,94.004,92,95,"NS"
"OTU761",9,10.938,8,14,"NS"
"OTU554",50,63.218,56,70,"Specialists"
"OTU868",57,28.848,24,35,"Generalists"
"OTU171",32,48.582,42,55,"Specialists"
"OTU69",72,65.72,59,73,"NS"
"OTU2304",1,1.902,1,2,"NS"
"OTU1276",95,73.71,67,80,"Generalists"
"OTU17671",7,5.33,4,7,"NS"
"OTU1749",18,13.988,11,18,"NS"
"OTU78",34,44.97,39,51,"Specialists"
"OTU4293",13,9.014,6.475,12,"Generalists"
"OTU4682",13,10.044,7,13,"NS"
"OTU558",41,39.364,33,45,"NS"
"OTU61538",2,1.914,1,2,"NS"
"OTU12821",1,1.9,1,2,"NS"
"OTU421",55,45.244,38,52,"Generalists"
"OTU574",71,63.658,57,70,"Generalists"
"OTU607",62,33.898,28,40,"Generalists"
"OTU59",91,68.846,62.475,75,"Generalists"
"OTU908",16,14.502,11,18,"NS"
"OTU51924",66,41.166,35,47,"Generalists"
"OTU236",24,32.586,27,39.525,"Specialists"
"OTU3894",10,31.972,26,37.525,"Specialists"
"OTU3434",4,4.758,3,6,"NS"
"OTU8598",2,3.484,2,4,"NS"
"OTU13173",8,5.996,4,8,"NS"
"OTU2125",24,24.004,19,29,"NS"
"OTU221",37,31.57,26,37,"NS"
"OTU60311",5,9.852,7,13,"Specialists"
"OTU1326",7,7.496,5,10,"NS"
"OTU36",91,86.654,82,91,"NS"
"OTU179",52,62.762,56,69,"Specialists"
"OTU2620",28,25.33,20,31,"NS"
"OTU215",44,56.848,50,64,"Specialists"
"OTU647",21,20.794,16,25,"NS"
