OTU,observed,mean.simulated,lowCI,uppCI,Sign
OTU4416,95,65.19,57,74,Generalists
OTU32647,3,3.91,3,4,NS
OTU3611,77,50.76,42,57.525,Generalists
OTU5484,8,10.54,8,12,NS
OTU39160,2,1.97,1.475,2,NS
OTU2093,311,152.83,139,166.05,Generalists
OTU32314,22,18.53,14.475,22.525,NS
OTU1472,52,44.01,37.475,50,Generalists
OTU46991,2,1.99,2,2,NS
OTU1043,121,145.69,133,162.525,Specialists
OTU3214,104,68.66,61,76,Generalists
OTU1561,111,97.75,89,106.525,Generalists
OTU234,255,264.44,250.475,278,NS
OTU7790,11,11.92,10,14,NS
OTU5234,40,36.09,30.475,41.525,NS
OTU6223,49,54.58,47,62.525,NS
OTU8953,6,11.29,9,13,Specialists
OTU40826,5,5.6,4,6,NS
OTU6970,16,16.75,14,19,NS
OTU3936,48,42.96,37.475,47.525,Generalists
OTU4036,66,74.84,67,83.525,Specialists
OTU5735,25,23.96,19,27.525,NS
OTU2623,65,44.27,37.475,51,Generalists
OTU24946,40,45.39,39.475,52.525,NS
OTU57867,76,86.55,78,96,Specialists
OTU33510,4,3.85,3,4,NS
OTU4360,9,8.94,7,10,NS
OTU7392,29,22.39,18.475,26.525,Generalists
OTU11016,11,9.62,7,11,NS
OTU63943,6,10.6,8,12,Specialists
OTU13060,42,31.09,25.475,35.525,Generalists
OTU5298,61,40.13,35,46,Generalists
OTU620,99,71.1,64,78,Generalists
OTU3924,261,170.55,156.475,183,Generalists
OTU7706,8,11.18,8.475,13,Specialists
OTU32880,2,1.97,1.475,2,NS
OTU4103,13,17.88,14.475,21,Specialists
OTU4443,102,89.14,80.475,98.525,Generalists
OTU6053,13,14.03,11,16,NS
OTU41681,52,52.59,43.95,61,NS
OTU14930,17,25.05,21.475,29,Specialists
OTU4621,82,51.09,44.475,57,Generalists
OTU6350,24,21.04,18,24.525,NS
OTU2054,45,50.3,44.475,58,NS
OTU44873,29,23.11,20,27,Generalists
OTU1459,106,74.62,67,83.525,Generalists
OTU13421,36,32.44,26.475,38,NS
OTU57498,15,18.38,16,21,Specialists
OTU54401,4,3.82,3,4,NS
OTU42412,41,29.82,25,35,Generalists
OTU2682,64,71.27,63,81,NS
OTU47,451,349.37,335,367.05,Generalists
OTU3856,26,36.1,30.475,43.05,Specialists
OTU5118,12,30.43,24.475,36,Specialists
OTU5790,14,16.69,14,19.525,NS
OTU9865,2,2.95,2,3,NS
OTU10092,9,8.2,6,9,NS
OTU10413,18,15.31,12.475,18,NS
