OTU,observed,mean.simulated,lowCI,uppCI,Sign
OTU17,297,435.59,420.95,445,Specialists
OTU1139,134,101.64,90.425,112.05,Generalists
OTU539,395,223.46,207.425,237,Generalists
OTU14859,129,195.76,184,207,Specialists
OTU1133,447,274.99,259.475,294.525,Generalists
OTU5,484,483.79,482.475,484,NS
OTU177,233,208.18,193,222.525,Generalists
OTU88563,12,31.88,27,36.525,Specialists
OTU31,482,481.37,478,484,NS
OTU843,129,119.07,108.475,128,Generalists
OTU71,428,404.84,392,416.525,Generalists
OTU61,440,401.63,385.95,415.525,Generalists
OTU957,335,219.9,208,234.575,Generalists
OTU273,348,236.9,222,249.525,Generalists
OTU3,471,483.17,481.475,484,Specialists
OTU4781,276,152.48,140,165,Generalists
OTU49,484,445.78,434.475,456,Generalists
OTU5652,49,178.08,166.475,194.05,Specialists
OTU774,447,312.14,295.475,329,Generalists
OTU3092,90,83.52,74.475,91.525,NS
OTU43,442,453.19,443.475,462,Specialists
OTU224,390,302.7,289,317,Generalists
OTU4878,160,120.75,109.475,130.05,Generalists
OTU138,295,305.33,287.475,321.525,NS
OTU904,279,173.63,160.475,186.525,Generalists
OTU77,422,366.57,351,381.575,Generalists
OTU29389,437,457.64,449,465.525,Specialists
OTU614,113,131.43,117.475,145.05,Specialists
OTU83440,483,415.84,402.95,430.525,Generalists
OTU2301,272,151.59,138.9,165,Generalists
OTU86477,58,49.32,41.95,55.575,Generalists
OTU8308,87,64.45,56.95,71.525,Generalists
OTU94,331,284.37,268.95,304.575,Generalists
OTU13,430,447.51,435.95,455.525,Specialists
OTU62369,347,207.28,196.475,223.525,Generalists
OTU1294,129,79.19,69.475,87.525,Generalists
OTU3698,10,17.94,15,21,Specialists
OTU846,241,146.03,134,162.05,Generalists
OTU22643,27,22.23,18,26,Generalists
OTU46,475,447.46,437.475,457.525,Generalists
OTU53,480,443.86,434.475,452.525,Generalists
OTU164,305,303.05,289.95,319.625,NS
OTU395,83,150.38,139.475,161.525,Specialists
OTU250,286,308.16,290.95,324.575,Specialists
OTU3570,10,17.95,15,21,Specialists
OTU6537,9,14.74,12,17,Specialists
OTU5806,41,45.64,40,53,NS
OTU116,382,280.55,266,298,Generalists
OTU189,418,340.75,327,358.525,Generalists
OTU12,442,469.88,464,477,Specialists
OTU321,470,354.68,338.475,367.525,Generalists
OTU623,464,381.73,366.425,396,Generalists
OTU451,166,151.5,138.475,163.525,Generalists
OTU36547,478,352.05,337.9,368.575,Generalists
OTU97132,107,121.71,109.425,134,Specialists
OTU586,305,182.5,171.475,195.05,Generalists
OTU73992,64,73.87,66,81,Specialists
OTU552,377,234.76,221,249,Generalists
OTU3783,31,42.69,35.475,50,Specialists
OTU79,371,374.84,361.475,388,NS
OTU28,474,451.15,440.475,461,Generalists
OTU4061,202,123.69,113,136,Generalists
OTU10038,73,57.77,49.475,65,Generalists
OTU718,128,135.07,123,148.05,NS
OTU515,64,147.13,134.475,159.525,Specialists
OTU553,299,199.72,184.95,216,Generalists
OTU65,233,311.2,298,327.525,Specialists
OTU76,469,406.8,393.95,416,Generalists
OTU683,355,194.97,179.475,210.05,Generalists
OTU124,261,200.26,183.95,215.525,Generalists
OTU1114,170,90.77,80,100,Generalists
OTU252,415,387.48,374,400.05,Generalists
OTU16425,23,33.96,29.475,39,Specialists
OTU285,158,193.81,179.475,210.575,Specialists
OTU1691,232,181.24,167.475,195.525,Generalists
OTU25369,483,439.78,430,451,Generalists
OTU27622,419,384.3,367.95,400.525,Generalists
OTU88016,256,287.67,272,302.525,Specialists
OTU62,282,342.86,328.95,356.525,Specialists
OTU573,304,158.24,145.475,171,Generalists
OTU7460,89,56.87,50,63,Generalists
OTU54,399,388.5,374.475,405,NS
OTU16078,86,141.14,127.475,152.525,Specialists
OTU1953,256,168.85,157,182.05,Generalists
OTU296,342,258.72,244.475,276,Generalists
OTU56102,352,282.71,266.95,297,Generalists
OTU183,260,216.28,201.95,230.05,Generalists
OTU10,461,452.85,443.475,462.525,NS
OTU180,333,313.08,300.425,327.525,Generalists
OTU55727,73,61.21,53.475,69,Generalists
OTU107,372,329.16,311.9,348,Generalists
OTU832,49,58.54,53,66,Specialists
OTU56182,172,111.54,101,122,Generalists
OTU12389,185,173.05,161,185.625,NS
OTU643,60,74,65.475,82.525,Specialists
OTU108,448,340.01,326,358.05,Generalists
OTU1971,110,95.97,87.475,106.525,Generalists
OTU60,406,340.63,327.475,353.525,Generalists
OTU21,444,451.64,441.475,460.525,NS
OTU2223,156,107.45,93.95,118.525,Generalists
OTU881,131,148.19,134.425,161.525,Specialists
OTU41,465,358.75,344,373,Generalists
OTU29992,147,218.52,205.475,233.05,Specialists
OTU408,197,166.3,153.95,182,Generalists
OTU37,473,415.34,402,427.525,Generalists
OTU24,433,435.31,426,446.525,NS
OTU3873,297,154.69,143,167,Generalists
OTU4256,95,58.38,50.95,66,Generalists
OTU450,360,269.28,255.95,285.575,Generalists
OTU3060,165,104.6,93,116.525,Generalists
OTU137,263,240.76,228,257,Generalists
OTU82,388,339.34,323,357.05,Generalists
OTU2577,259,250.58,235.95,263.525,NS
OTU178,291,268.92,253.475,285,Generalists
OTU20504,32,28,22.475,32,NS
OTU498,286,227.86,212.475,243.525,Generalists
OTU209,338,270.66,257,284,Generalists
OTU19494,449,457.2,449.475,466,Specialists
OTU3797,52,45.49,39.475,51,Generalists
OTU1057,143,128.71,114.95,142.05,Generalists
OTU6123,88,84.56,76.475,94.525,NS
OTU170,295,227.71,216,245,Generalists
OTU555,356,231.18,215.9,245.525,Generalists
OTU2258,46,59.68,53,66.525,Specialists
OTU845,157,96.77,88,106,Generalists
OTU8318,23,32.33,26,36.525,Specialists
OTU1132,179,112.12,101.475,121.525,Generalists
OTU88,449,356.88,341.425,370,Generalists
OTU571,34,88.3,79,100,Specialists
OTU4,484,481.93,478.475,484,NS
OTU712,215,118.65,106.425,129,Generalists
OTU486,459,304.7,290,319.1,Generalists
OTU100090,361,344.95,329.475,357,Generalists
OTU1009,66,83.74,75,92,Specialists
OTU724,323,213.97,198.475,229.05,Generalists
OTU51,466,435.45,424.475,449.525,Generalists
OTU6206,370,253.28,237.95,267.525,Generalists
OTU161,426,294.48,276.475,309.525,Generalists
OTU52424,129,90.39,81.475,99,Generalists
OTU256,94,170.24,158,189.575,Specialists
OTU100149,16,14.75,12,17,NS
OTU15,452,420.16,406,433.525,Generalists
OTU316,413,339.79,321.9,353,Generalists
OTU42,301,385.23,373,398.05,Specialists
OTU30,459,421.05,405.95,432,Generalists
OTU8158,27,24.71,21,28.525,NS
OTU660,314,204.41,190.475,220.1,Generalists
OTU212,275,175.49,160.375,189.525,Generalists
OTU205,318,255.2,240,275.575,Generalists
OTU12222,195,140.65,129,153.05,Generalists
OTU53725,463,395.79,382.475,412,Generalists
OTU151,384,340.18,326.475,353,Generalists
OTU579,260,167.08,154.475,180,Generalists
OTU200,350,218,203.475,234.05,Generalists
OTU2166,124,82.45,73.475,92,Generalists
OTU633,205,127.24,118.475,139.1,Generalists
OTU268,355,189.17,177.475,203.05,Generalists
OTU67,77,257.61,244,276,Specialists
OTU8959,55,72.79,65.475,81.525,Specialists
OTU2621,82,69.4,60,78,Generalists
OTU225,431,319.47,304.475,336.575,Generalists
OTU211,475,380.68,368,399,Generalists
OTU3741,34,31.62,27,37,NS
OTU600,202,175.74,161,188.525,Generalists
OTU2803,153,96.59,84.475,110.525,Generalists
OTU11655,81,68.92,59.95,80,Generalists
OTU480,48,119.27,109,131,Specialists
OTU737,226,210.12,196.475,224.525,Generalists
OTU29,447,443.44,433.95,452,NS
OTU9686,222,271.99,257.475,288.05,Specialists
OTU1299,213,138.14,125.475,151.05,Generalists
OTU3021,101,75.87,67.475,86,Generalists
OTU3734,100,64.65,57.475,72,Generalists
OTU323,207,168.89,157.475,179.525,Generalists
OTU2025,113,105.45,95,117.525,NS
OTU26733,109,64.21,57,70.525,Generalists
OTU28009,7,6.5,5,7,NS
OTU696,184,142.54,128.95,156.05,Generalists
OTU925,277,201.58,189,213.525,Generalists
OTU62459,158,200.91,185.9,215,Specialists
OTU542,384,268.37,254,284.05,Generalists
OTU90705,281,269.09,253.475,284,NS
OTU332,442,264.95,251.475,279,Generalists
OTU713,121,121.36,110,132.05,NS
OTU2762,38,36.1,32,41,NS
OTU143,235,206.06,191.475,220,Generalists
OTU2004,35,52.46,44.475,60,Specialists
OTU61883,28,23.32,19,27.525,Generalists
OTU21039,15,15.05,12.475,17,NS
OTU410,411,311.17,295,328,Generalists
OTU26,281,380.6,366.475,394.05,Specialists
OTU1645,97,129.96,117.475,141.05,Specialists
OTU22832,11,10.35,8,12,NS
OTU5597,7,7.25,6,8,NS
OTU56636,33,34.39,29.475,40,NS
OTU3500,203,107.21,96.475,119.525,Generalists
OTU596,164,157.42,147,171.525,NS
OTU422,319,181.05,171,194.525,Generalists
OTU8,422,476.02,471.475,480.525,Specialists
OTU68,393,289.73,276,301,Generalists
OTU10371,69,46.38,40,52,Generalists
OTU229,406,367.93,352,381.525,Generalists
OTU1426,117,65.61,58,73.525,Generalists
OTU1151,192,180.32,166.425,192,NS
OTU1403,126,98.81,88.475,109.525,Generalists
OTU1423,64,112.82,102,125.525,Specialists
OTU445,361,212.65,200.95,227.525,Generalists
OTU612,294,152.26,138.475,162,Generalists
OTU1702,122,101.88,93,113.05,Generalists
OTU9679,117,92.85,84,102.525,Generalists
OTU1452,143,125.55,115,135.05,Generalists
OTU580,193,128.25,116.475,141.525,Generalists
OTU4440,199,113.92,103.95,126,Generalists
OTU2479,119,65.38,57.95,72.525,Generalists
OTU83508,85,101.94,91,111,Specialists
OTU278,342,247.88,232,261,Generalists
OTU1293,76,72.86,65.475,81,NS
OTU3507,68,52.97,46,59,Generalists
OTU4251,79,63.64,55.95,71.525,Generalists
OTU295,103,180.46,167,194.525,Specialists
OTU27857,115,99.63,91,111.525,Generalists
OTU235,308,195.21,182.475,210,Generalists
OTU8917,104,101.35,91,112,NS
OTU352,284,203.6,189.95,215.525,Generalists
OTU3724,76,50.78,44.475,57.525,Generalists
OTU34,482,452.46,443,463,Generalists
OTU1258,224,129.06,118,141,Generalists
OTU9731,10,10.53,8,12,NS
OTU314,58,167.11,155.475,181.05,Specialists
OTU5792,166,114.87,103.475,127,Generalists
OTU2856,245,138.74,126,151.525,Generalists
OTU131,413,277.72,263.95,291,Generalists
OTU501,145,156.66,146,168,Specialists
OTU3832,59,57.03,49.475,65.525,NS
OTU1246,125,100.54,92.475,112.525,Generalists
OTU3501,179,181.59,168.425,193.05,NS
OTU45058,3,3.79,3,4,NS
OTU198,418,285.73,269.475,302.575,Generalists
OTU606,290,202.58,189,215.525,Generalists
OTU781,317,184.12,171.425,198.525,Generalists
OTU942,149,114.92,104.475,126,Generalists
OTU4888,59,45.27,38.475,53,Generalists
OTU38158,87,113.18,102.95,123,Specialists
OTU540,351,227.71,214,246.15,Generalists
OTU149,192,216.99,203.475,234.525,Specialists
OTU5090,24,37.97,33,44,Specialists
OTU55,306,330.62,315.475,347.525,Specialists
OTU154,453,321.85,304.95,335.525,Generalists
OTU7,464,476.65,470.475,482,Specialists
OTU673,246,185.21,168.85,196.525,Generalists
OTU6093,94,90.33,83,99.05,NS
OTU202,365,259.4,245.475,274,Generalists
OTU3970,119,178.82,166,192.525,Specialists
OTU417,312,325.29,312,342.575,NS
OTU25207,195,210.31,194.475,224.525,NS
OTU1693,114,72.29,64.475,81.525,Generalists
OTU1245,105,80.95,72.475,91.05,Generalists
OTU27199,11,11.28,9,13,NS
OTU317,192,131.26,119.475,143.05,Generalists
OTU1027,201,133.66,123,145.05,Generalists
OTU4459,12,11.06,8.475,13,NS
OTU1231,263,185.48,172.475,196.525,Generalists
OTU62474,266,154.25,142.475,167.525,Generalists
OTU8767,50,62.32,53.95,71.575,Specialists
OTU1852,359,152.23,139,163.575,Generalists
OTU35215,170,119.46,109.475,129.525,Generalists
OTU1601,37,38.54,33.475,45,NS
OTU836,252,195.34,182.95,212.1,Generalists
OTU1220,238,142.85,131.475,154,Generalists
OTU37060,484,476.86,473,481,Generalists
OTU761,161,112.19,102,123,Generalists
OTU554,253,220.68,204,235.1,Generalists
OTU868,317,159.26,147,175.525,Generalists
OTU171,226,288.46,272.95,301.525,Specialists
OTU69,433,369.62,353,383.05,Generalists
OTU2304,26,37.5,32,43,Specialists
OTU1276,473,330.6,317,345.525,Generalists
OTU17671,133,78.78,69.95,87.525,Generalists
OTU1749,100,63.72,57,71,Generalists
OTU78,273,292.49,278.95,305.525,Specialists
OTU4293,110,68.02,58.475,77,Generalists
OTU4682,109,62.96,54,72,Generalists
OTU558,292,215.56,199.95,226,Generalists
OTU61538,11,10.41,8.475,12,NS
OTU12821,11,11.28,9,13,NS
OTU421,295,199.86,187,212.625,Generalists
OTU574,398,315.17,302,331,Generalists
OTU607,243,137,122.95,147.575,Generalists
OTU59,426,306.04,292,323.525,Generalists
OTU908,149,114.72,105.475,123.525,Generalists
OTU51924,342,225.88,213.475,238.525,Generalists
OTU236,179,185.34,171.475,199.05,NS
OTU3894,162,151.04,137.95,163,NS
OTU3434,76,60.97,54,69,Generalists
OTU8598,55,90.88,81.475,100.525,Specialists
OTU13173,144,107.21,97,118.525,Generalists
OTU1775,25,41.68,35,47,Specialists
OTU2125,163,108.1,96.475,117,Generalists
OTU221,222,243.81,232.475,255.525,Specialists
OTU1932,38,52.38,44.95,59,Specialists
OTU60311,109,90.55,82,101.525,Generalists
OTU1326,86,78.89,69.475,88,NS
OTU36,475,445.76,435.475,456.05,Generalists
OTU179,360,302.59,290,318.05,Generalists
OTU2443,26,35.17,30,40,Specialists
OTU2620,228,171.26,159,184,Generalists
OTU215,292,263.35,249.475,277.525,Generalists
OTU647,238,141.9,130,155,Generalists
OTU10921,42,49.87,43.475,57,Specialists
OTU56476,75,103.24,93,113.05,Specialists
OTU1817,203,113.93,101.95,124.525,Generalists
OTU148,295,320.76,304,339,Specialists
OTU384,294,217.59,201.9,235.1,Generalists
OTU419,232,129.79,116.475,139.525,Generalists
OTU48121,251,143.38,132,158,Generalists
OTU3433,23,30.31,26,35,Specialists
OTU2956,63,51.65,45.475,58.525,Generalists
OTU51482,431,442.82,430,453,NS
OTU84915,106,65.5,58,73.525,Generalists
OTU12131,33,29.36,25,34,NS
OTU1271,351,170.63,157.95,181.525,Generalists
OTU2187,19,30.41,26,34.525,Specialists
OTU6078,9,9.02,7,10,NS
OTU716,381,225.81,210.425,240.575,Generalists
OTU23,480,375.76,359.95,388.05,Generalists
OTU6615,222,173.31,160.475,187,Generalists
OTU77487,15,17.74,14,20.525,NS
OTU401,203,165.55,155.475,177.525,Generalists
OTU67528,471,364.01,352,379.05,Generalists
OTU35255,117,220.72,206.475,233.525,Specialists
OTU83,412,330.11,318.475,346.05,Generalists
OTU2319,24,44.49,38,49.525,Specialists
OTU5749,442,313.67,299.475,330.575,Generalists
OTU31976,342,208.68,191.95,221.525,Generalists
OTU1261,93,75.22,66,83.525,Generalists
OTU5462,106,86.37,75.475,94,Generalists
OTU2160,153,119.85,109.475,132,Generalists
OTU2751,26,49.19,42.475,56,Specialists
OTU21794,50,60.25,53,68.525,Specialists
OTU1707,163,103.23,92.95,113.05,Generalists
OTU3288,38,39.23,32.475,45.525,NS
OTU1820,182,131.83,119,144.05,Generalists
OTU14489,38,36.28,31,42,NS
OTU166,399,345.17,328.95,358,Generalists
OTU117,354,358.67,344.475,373,NS
OTU230,386,323.98,309.95,340.1,Generalists
OTU92,386,364.82,349,379.525,Generalists
OTU12884,230,136.87,127.475,149,Generalists
OTU62593,89,123.86,114,134,Specialists
OTU14339,2,1.95,1,2,NS
OTU5166,252,204.4,190.425,220.05,Generalists
OTU29705,154,219.55,205,231.525,Specialists
OTU1019,195,133.76,118.95,147.05,Generalists
OTU302,263,189.7,179,201,Generalists
OTU33907,71,51.79,46,59.575,Generalists
OTU184,398,219.09,205.475,236,Generalists
OTU196,275,261.5,250,275.525,NS
OTU18990,198,122.65,114,133.525,Generalists
OTU57515,412,347.88,333,360.525,Generalists
OTU978,136,140.38,131,151.525,NS
OTU9978,25,29.89,25,34,NS
OTU158,337,249.94,235,268.1,Generalists
OTU1061,167,118.99,108,130.525,Generalists
OTU6835,7,17.5,15,20.525,Specialists
OTU3150,86,58.53,51.475,65,Generalists
OTU355,253,176.57,163,191,Generalists
OTU376,248,142.23,130,157,Generalists
OTU26181,17,22.02,18,26,Specialists
OTU98,295,314.01,299.9,329.05,Specialists
OTU35,393,428.13,414.95,439.575,Specialists
OTU2438,238,145.77,135.475,157,Generalists
OTU4988,254,171.43,158,184,Generalists
OTU2262,105,74.66,66,83.525,Generalists
OTU284,163,151.33,136.9,163.525,NS
OTU1648,128,71.4,62,80,Generalists
OTU879,60,71.91,63.475,82,Specialists
OTU5217,56,40.12,33,46,Generalists
OTU803,148,120.65,111,131.525,Generalists
OTU371,273,176.99,165,191.05,Generalists
OTU3291,39,42.24,36,47,NS
OTU7360,230,173.68,159,186.525,Generalists
OTU11373,358,186.63,175,201,Generalists
OTU172,277,266.24,254,284,NS
OTU71514,3,5.69,5,6,Specialists
OTU14681,3,3.86,3,4,NS
OTU48037,22,19.83,17,23,NS
OTU1697,195,144.46,131.95,158,Generalists
OTU88539,137,100.32,90,110,Generalists
OTU981,262,133.17,121.475,144.525,Generalists
OTU1085,71,102.9,92.95,114.525,Specialists
OTU674,277,146.26,133.95,160.525,Generalists
OTU354,330,284.53,273.475,296.525,Generalists
OTU48233,225,105.08,95.475,115.525,Generalists
OTU2268,20,84.29,76,93.525,Specialists
OTU7416,10,11.16,9,13,NS
OTU81,364,310.44,297.475,325,Generalists
OTU1171,235,120.13,110.475,132.05,Generalists
OTU1274,58,48.5,42,54,Generalists
OTU544,392,279.49,263.425,296.525,Generalists
OTU8072,221,221.13,205,233.525,NS
OTU79182,328,165.09,153.95,177.525,Generalists
OTU2880,164,94.09,85,105,Generalists
OTU520,334,220.79,208.475,237.05,Generalists
OTU656,193,124.17,114,136,Generalists
OTU984,155,139.3,127.475,150.525,Generalists
OTU8771,33,28.92,24.475,34.05,NS
OTU2437,148,88.48,80,98.525,Generalists
OTU1575,56,43.43,36,49,Generalists
OTU3359,32,36.52,31.475,41,NS
OTU13340,117,75.01,67,82.525,Generalists
OTU2819,83,67.56,61,74.525,Generalists
OTU192,370,293.87,279.475,308.525,Generalists
OTU153,464,274.99,260.375,289.05,Generalists
OTU22187,114,103.23,93,114,NS
OTU1018,195,109.37,100,120.525,Generalists
OTU938,182,115.66,103.95,126.05,Generalists
OTU3765,6,8.09,6,9,NS
OTU5162,25,25.73,20.95,30.525,NS
OTU1176,227,144.34,132.425,157.525,Generalists
OTU921,316,170,159,186.525,Generalists
OTU22167,170,172.63,159,184.05,NS
OTU430,160,195.12,182.475,208.525,Specialists
OTU73,461,451.81,441.95,461,NS
OTU374,128,153.57,139.475,166.525,Specialists
OTU1341,183,133.36,122.475,144.525,Generalists
OTU15809,267,179,166.475,191,Generalists
OTU220,220,186.2,173.95,197.525,Generalists
OTU1360,86,72.44,63.475,80,Generalists
OTU1477,136,75.13,63.95,83.525,Generalists
OTU3509,61,45.45,40,52.575,Generalists
OTU22652,27,50.6,44,57.525,Specialists
OTU968,161,99.76,88.475,109,Generalists
OTU691,217,153.71,139.425,166.05,Generalists
OTU848,362,172.62,160,185.05,Generalists
OTU16209,177,125.1,113.95,140.525,Generalists
OTU1901,85,72.08,65.475,80,Generalists
OTU4097,52,39.04,33,45,Generalists
OTU649,148,98.61,88.475,107,Generalists
OTU8396,25,29.15,25,34,NS
OTU70293,122,81.07,71.475,90,Generalists
OTU1402,245,180.23,167.475,192.525,Generalists
OTU87,482,458.27,448,467,Generalists
OTU44,454,395.81,379.475,412.525,Generalists
OTU3583,257,161.72,148.475,176,Generalists
OTU3575,109,65.88,58,74.525,Generalists
OTU1216,378,194.62,182.475,208.525,Generalists
OTU3931,113,71.94,63.475,80,Generalists
OTU967,154,109.82,101,120.525,Generalists
OTU330,307,140.26,127.475,155,Generalists
OTU1690,164,138.94,123.85,151,Generalists
OTU1782,197,100.35,89,114.575,Generalists
OTU546,391,241.6,226.475,253.525,Generalists
OTU21967,60,43.26,37,49,Generalists
OTU56655,32,40.35,33.475,48.525,Specialists
OTU2060,126,83.66,75,94.525,Generalists
OTU927,274,173.44,160.475,185.525,Generalists
OTU973,167,121.36,110.475,131.05,Generalists
OTU990,209,148.74,137,159,Generalists
OTU7334,185,181.82,168,195.525,NS
OTU750,460,381.77,366.475,394.525,Generalists
OTU435,383,274.27,258.85,288,Generalists
OTU11580,286,153.46,139.475,165,Generalists
OTU14444,45,39.33,33,45,NS
OTU442,449,325.12,310.475,339,Generalists
OTU562,245,129.02,118.95,138,Generalists
OTU49620,400,291.15,275.95,308.525,Generalists
OTU11272,5,4.81,4,5,NS
OTU1050,174,139.03,127,150.525,Generalists
OTU502,272,154.78,142.475,166.05,Generalists
OTU19479,391,239.7,225.475,252,Generalists
OTU1084,124,93.81,83.475,102.525,Generalists
OTU5535,17,23.07,19,27,Specialists
OTU8191,255,146.51,135,159,Generalists
OTU66749,5,5.76,4.475,6,NS
OTU5258,50,58.9,51.475,67,Specialists
OTU4770,77,52.22,44.475,60,Generalists
OTU9845,24,20.98,17.475,24,NS
OTU97829,392,300.59,284,315,Generalists
OTU1711,41,64.14,57,72,Specialists
OTU8249,10,16.99,14,20.525,Specialists
OTU6176,152,89.53,79.475,98.525,Generalists
OTU1995,418,258.58,245.95,273.525,Generalists
OTU12738,8,8.21,7,9,NS
OTU3103,261,156.79,143,170,Generalists
OTU2544,65,83.23,75.475,93,Specialists
OTU28925,384,250.71,235,266.575,Generalists
OTU253,225,183.28,170.475,197.525,Generalists
OTU399,275,235.11,222,248,Generalists
OTU17978,4,3.78,3,4,NS
OTU6487,45,40.14,34,47,NS
OTU72,463,424.13,414,437.525,Generalists
OTU6664,20,55.22,48,62.525,Specialists
OTU2081,70,60.31,53.475,68.05,Generalists
OTU3759,159,131.09,119.475,142.525,Generalists
OTU1029,105,93.16,84.475,102.525,Generalists
OTU10041,10,9.06,7,10,NS
OTU810,174,132.88,120,144,Generalists
OTU289,241,170.27,156.425,184.05,Generalists
OTU15897,90,66.52,58,76.525,Generalists
OTU2532,241,142,132.475,153,Generalists
OTU5388,25,24.49,20.475,28,NS
OTU22046,196,146.74,136,160,Generalists
OTU3203,56,51.74,46,60,NS
OTU1039,215,116.8,105.475,127.525,Generalists
OTU1338,97,69.32,61,78.05,Generalists
OTU40272,105,58.47,52,66,Generalists
OTU356,301,198.99,186.475,211.525,Generalists
OTU9690,55,43.11,37,50,Generalists
OTU155,227,195.35,183.475,207.05,Generalists
OTU1568,77,115.31,106,126.05,Specialists
OTU2634,55,75.55,65,86.05,Specialists
OTU1547,126,134.96,124.475,144.525,NS
OTU4106,42,35.5,29.475,41,Generalists
OTU3708,28,25.37,22,30.525,NS
OTU130,304,288.02,276,303.1,Generalists
OTU991,259,116.55,104.475,127.525,Generalists
OTU711,260,146.4,133.425,159.05,Generalists
OTU462,330,206.33,193.475,222.625,Generalists
OTU514,304,286.56,269,300.525,Generalists
OTU118,301,290.62,273.9,306.625,NS
OTU8415,12,11.28,9,13,NS
OTU39408,133,78.76,69,87.525,Generalists
OTU630,305,213.71,199.475,227,Generalists
OTU487,278,151.87,141,164,Generalists
OTU56,321,325.46,308.95,342.525,NS
OTU1177,202,138.56,127.475,151,Generalists
OTU4510,135,71.28,63,80.525,Generalists
OTU1107,132,79.54,72,89.05,Generalists
OTU2693,65,48.25,42.475,55,Generalists
OTU89,293,254.31,241,273.625,Generalists
OTU14,441,432.53,420,445,NS
OTU1923,23,37.23,31,43,Specialists
OTU2446,13,18.59,15,22,Specialists
OTU974,298,184.16,170.375,195.525,Generalists
OTU3121,60,43.12,37,48,Generalists
OTU695,232,160.61,148,174,Generalists
OTU3622,32,28.53,24,33.525,NS
OTU83489,47,35.1,29,41,Generalists
OTU56811,93,142.53,129,157,Specialists
OTU449,406,247.83,233,264,Generalists
OTU288,134,205.97,189.475,221.525,Specialists
OTU7233,49,48.18,43,55,NS
OTU6217,52,136.81,124.475,148,Specialists
OTU10058,1,3.81,3,4,Specialists
OTU52323,279,231.46,219,247.525,Generalists
OTU5139,36,39.56,34,44,NS
OTU11832,10,11.26,9,13,NS
OTU3165,76,60.82,52.475,68,Generalists
OTU69171,225,132.09,118.475,143.05,Generalists
OTU535,196,178.51,162.95,192.525,Generalists
OTU2828,12,22.74,18,27.525,Specialists
OTU4949,37,36.47,31.475,42.525,NS
OTU4568,74,50.65,44.475,57.525,Generalists
OTU389,331,278.74,266,293,Generalists
OTU1885,35,33.66,30,37.525,NS
OTU60216,19,38.06,33,44,Specialists
OTU112,409,378.81,366.475,393,Generalists
OTU2916,256,149.25,137,160.525,Generalists
OTU10919,135,184.26,168,197.525,Specialists
OTU1616,207,103.68,94,114.525,Generalists
OTU126,211,315.92,299.95,330.525,Specialists
OTU379,258,202.61,186.475,218.05,Generalists
OTU6578,45,39.03,34,44.525,Generalists
OTU63,300,235.91,222,250,Generalists
OTU2696,67,50.74,44,56.525,Generalists
OTU4869,9,8.18,6,9,NS
OTU2769,115,89.29,82,98.525,Generalists
OTU44620,169,110.8,100.475,121.525,Generalists
OTU1445,204,108.16,98.475,116,Generalists
OTU1659,250,146.71,132.95,158.525,Generalists
OTU14751,26,43.03,37,48.525,Specialists
OTU6055,98,81.85,73.475,89.525,Generalists
OTU4380,93,75.12,65.475,84,Generalists
OTU2132,124,75.18,66.475,86,Generalists
OTU45281,11,10.51,8,12,NS
OTU2044,77,48.13,42,56,Generalists
OTU833,19,51.69,43.475,59.525,Specialists
OTU25570,270,180.94,167.95,195.525,Generalists
OTU2804,19,33.85,29,38,Specialists
OTU35141,2,2.91,2,3,NS
OTU1200,114,86.35,77.475,95,Generalists
OTU10070,23,23.19,19,26.525,NS
OTU1975,75,111.75,102.475,122.525,Specialists
OTU145,318,251.11,237,267.525,Generalists
OTU1663,77,58.5,51.475,65,Generalists
OTU725,117,126.31,116,137.525,NS
OTU1319,107,107.82,96.475,117.525,NS
OTU18,205,424.35,410.95,437,Specialists
OTU429,213,133.6,120.475,146,Generalists
OTU144,433,303.16,287,316.525,Generalists
OTU361,310,190.3,177.475,205.525,Generalists
OTU21464,19,16.59,13.475,19,NS
OTU10508,48,37.6,31.475,43.525,Generalists
OTU18682,17,18.68,15,22,NS
OTU1649,133,91.83,82,103,Generalists
OTU18652,3,2.93,2,3,NS
OTU24738,11,11.28,9,13,NS
OTU20150,24,24.61,21,28.525,NS
OTU3328,219,123.83,112,134.525,Generalists
OTU5452,44,33.04,27,38,Generalists
OTU45500,174,127.15,116,140.525,Generalists
OTU6077,148,122.43,112,136,Generalists
OTU2259,97,105.88,94.475,114,NS
OTU240,328,285.16,272.475,298.575,Generalists
OTU246,226,242.88,229.475,258,Specialists
OTU621,293,197.92,186,213.05,Generalists
OTU11790,30,25.95,21.95,29.525,Generalists
OTU96808,151,98.12,87.9,107,Generalists
OTU1798,262,149.71,138.475,161.525,Generalists
OTU397,280,186.25,171.425,199.525,Generalists
OTU267,249,252.03,239.475,263.525,NS
OTU1188,193,122.66,109.95,135.05,Generalists
OTU2292,111,89.69,79.475,98,Generalists
OTU8655,79,54.8,45.95,61,Generalists
OTU1433,89,73.13,64.475,80,Generalists
OTU83546,159,84.39,75.475,94.05,Generalists
OTU8861,161,176.76,164,191.05,Specialists
OTU80511,119,96.01,85.475,105,Generalists
OTU1357,186,112.63,102,124,Generalists
OTU2724,53,58.33,52,67,NS
OTU1395,114,92.54,83,100.525,Generalists
OTU7368,67,52.51,46,60.525,Generalists
OTU50,366,330.31,314.475,345.625,Generalists
OTU22976,82,67.46,59.95,74,Generalists
