"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SEV","SFA","UHC"
"4263","OTU2156","Fungi","Basidiomycota","Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes",0.00413223140495868,0,0,0.0105263157894737,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0476190476190476
"4264","OTU2129","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Ramariopsis","uncl_Ramariopsis",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"4265","OTU2365","Fungi","Ascomycota","Sordariomycetes","Hypocreales","uncl_Hypocreales","uncl_Hypocreales","uncl_Hypocreales",0.0144628099173554,0,0,0.0315789473684211,0,0,0,0.0254777070063694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.285714285714286
"4266","OTU9617","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Sparassis","uncl_Sparassis",0.00413223140495868,0,0,0.0105263157894737,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0.1,0
"4267","OTU1304","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales",0.00826446280991736,0,0,0.0105263157894737,0,0,0.0126582278481013,0.0127388535031847,0,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0,0,0.0294117647058824,0.05,0,0,0,0.1,0
"4268","OTU1636","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae","uncl_Halosphaeriaceae","uncl_Halosphaeriaceae",0.00619834710743802,0,0,0,0,0,0,0.0191082802547771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
"4269","OTU3690","Fungi","Ascomycota","Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes",0.00826446280991736,0,0,0.0105263157894737,0,0,0,0.0191082802547771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0.2,0.0476190476190476
"4270","OTU740","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","uncl_Fomitopsidaceae","uncl_Fomitopsidaceae",0.00826446280991736,0,0,0.0315789473684211,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0.0294117647058824,0,0,0,0,0.1,0
"4271","OTU1613","Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes",0.0309917355371901,0,0,0.0736842105263158,0,0,0,0.0509554140127389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.666666666666667
"4272","OTU2323","Fungi","Ascomycota","Sordariomycetes","Hypocreales","uncl_Hypocreales","uncl_Hypocreales","uncl_Hypocreales",0.0227272727272727,0,0,0.0526315789473684,0,0,0.0126582278481013,0.0318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647058823529,0,0,0,0,0.2,0.238095238095238
"4273","OTU8260","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae",0.00619834710743802,0,0,0,0,0,0,0.0191082802547771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0
"4274","OTU4709","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales",0.00826446280991736,0,0,0,0,0,0,0.0254777070063694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0476190476190476
"4275","OTU4544","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales",0.00413223140495868,0,0,0,0,0,0,0.0127388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0476190476190476
"4276","OTU5414","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"4277","OTU6004","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","uncl_Herpotrichiellaceae","uncl_Herpotrichiellaceae",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"4278","OTU3708","Fungi","Ascomycota","Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes",0.00619834710743802,0,0,0.0105263157894737,0,0,0,0.0127388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0952380952380952
"4279","OTU12690","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales",0.00413223140495868,0,0,0,0,0,0,0.0127388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0476190476190476
"4280","OTU4405","Fungi","Ascomycota","Sordariomycetes","Pisorisporiales","Pisorisporiales_fam._incertae_sedis","Brocchiosphaera","uncl_Brocchiosphaera",0.00826446280991736,0,0,0.0210526315789474,0,0,0,0.0127388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.142857142857143
"4281","OTU11859","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Tetraplosphaeriaceae","Tetraploa","uncl_Tetraploa",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"4282","OTU3846","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","uncl_Serendipita",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"4283","OTU3942","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes",0.0103305785123967,0,0,0.0210526315789474,0,0,0,0.0191082802547771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.19047619047619
"4284","OTU11818","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"4285","OTU2807","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes",0.00413223140495868,0,0,0.0105263157894737,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0476190476190476
"4286","OTU8120","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"4287","OTU12866","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Sparassis","uncl_Sparassis",0.00413223140495868,0,0,0.0105263157894737,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0.1,0
"4288","OTU7311","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus_intraradices",0.00619834710743802,0,0,0.0210526315789474,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0
"4289","OTU3318","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes",0.00413223140495868,0,0,0,0,0,0,0.0127388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0
"4290","OTU5054","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","uncl_Herpotrichiellaceae","uncl_Herpotrichiellaceae",0.00619834710743802,0,0,0,0,0,0.0253164556962025,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0.0294117647058824,0,0,0,0,0.1,0
"4291","OTU12869","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Sparassis","uncl_Sparassis",0.00413223140495868,0,0,0.0105263157894737,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0.1,0
"4292","OTU284","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales",0.0103305785123967,0,0,0.0105263157894737,0,0,0,0.0254777070063694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0.1,0.0952380952380952
"4293","OTU12545","Fungi","Ascomycota","Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes",0.00619834710743802,0,0,0,0,0,0.0253164556962025,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0.1,0
"4294","OTU4498","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae",0.0165289256198347,0,0,0.0105263157894737,0,0.0266666666666667,0,0.0318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259259259259259,0,0,0,0,0,0.1,0
