"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SEV","SFA","UHC"
"1880","OTU1089","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00826446280991736,0,0,0.0315789473684211,0.0128205128205128,0,0,0,0,0,0.0526315789473684,0,0,0,0,0,0.0526315789473684,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0
"1904","OTU9392","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00413223140495868,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982","OTU7249","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Xenoanthostomella","uncl_Xenoanthostomella",0.00826446280991736,0,0,0.0105263157894737,0,0,0,0.0191082802547771,0,0,0.0789473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
"2082","OTU6533","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae",0.00413223140495868,0,0,0,0.0128205128205128,0,0.0126582278481013,0,0,0,0.0263157894736842,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2148","OTU11697","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00206611570247934,0,0,0.0105263157894737,0,0,0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2386","OTU10347","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00826446280991736,0,0,0,0,0.0266666666666667,0.0253164556962025,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0.133333333333333,0.03125,0,0,0,0,0,0,0,0,0
"2587","OTU2185","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.012396694214876,0,0,0,0,0.0133333333333333,0.0253164556962025,0.0191082802547771,0,0,0.0263157894736842,0,0,0,0.0740740740740741,0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0.1,0
"2590","OTU6016","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00619834710743802,0,0,0.0105263157894737,0,0,0.0126582278481013,0.00636942675159236,0,0,0.0263157894736842,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0
"2607","OTU5597","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Fusidium","uncl_Fusidium",0.0144628099173554,0,0,0.0315789473684211,0,0.0133333333333333,0,0.0191082802547771,0,0,0.0263157894736842,0,0,0.0384615384615385,0,0,0,0,0,0,0,0.0238095238095238,0,0,0.15,0,0,0,0,0.0476190476190476
"2646","OTU33","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.0289256198347107,0,0,0.0105263157894737,0,0,0.0379746835443038,0.0636942675159236,0,0,0.0263157894736842,0,0,0,0.0740740740740741,0,0,0.285714285714286,0.0810810810810811,0.0666666666666667,0,0.119047619047619,0,0,0,0,0,0,0,0
