"","X1351_1710","X1351_1711","X1351_1712","X1351_1701","X1351_1702","X1351_1703","X1351_1704","X1351_1705","X1351_1707","X1351_1708","X1351_1709","X1351_1451","X1351_1452","X1351_1453","X1351_1442","X1351_1443","X1351_1444","X1351_1445","X1351_1446","X1351_1447","X1351_1448","X1351_1449","X1351_1450","X1351_1511","X1351_1512","X1351_1502","X1351_1503","X1351_1504","X1351_1505","X1351_1506","X1351_1508","X1351_1509","X1351_1510","X1351_1736","X1351_1737","X1351_1738","X1351_1725","X1351_1726","X1351_1727","X1351_1731","X1351_1732","X1351_1733","X1351_1734","X1351_1735","X1351_1674","X1351_1675","X1351_1676","X1351_1665","X1351_1666","X1351_1667","X1351_1668","X1351_1669","X1351_1670","X1351_1671","X1351_1672","X1351_1673","X1351_1573","X1351_1574","X1351_1575","X1351_1564","X1351_1565","X1351_1566","X1351_1567","X1351_1569","X1351_1570","X1351_1571","X1351_1572","X1351_1840","X1351_1841","X1351_1842","X1351_1831","X1351_1832","X1351_1833","X1351_1834","X1351_1835","X1351_1836","X1351_1837","X1351_1838","X1351_1839"
"OTU539",0.000111395789239167,0.000334075723830735,0.000111074086415639,0.000776225327123531,0,0.000555802578923966,0.00122059476253884,0.000333555703802535,0.00122127234373265,0.000667779632721202,0.000332667997338656,0.00033311125916056,0.000111148160497944,0.000665631240292878,0.000221533008418254,0.000332631112096685,0.000777000777000777,0.000222074172773706,0.000887213042031718,0.00022158209616663,0.000333296300411065,0.000332299512627382,0.000221778664892437,0.000775193798449612,0.00088662307436551,0.000553771181747702,0.000221557549573502,0.00121816168327796,0.000442526828188959,0.00110803324099723,0.000221483942414175,0.00121816168327796,0.000221557549573502,0.00210479672094827,0.000997229916897507,0.00155193437534641,0,0.00143948621415126,0.00122018857459789,0.000886524822695035,0.000775451423507256,0.000887213042031718,0.000553955240416574,0.00155313956068338,0.000667185588791282,0.000222271615914648,0.000558659217877095,0.00066577896138482,0.00222940586333742,0.000779596837064261,0.00133481646273637,0.000887606790191945,0.000777345918933926,0.00088997663811325,0.00022237046920169,0.00033255736614566,0.00111061750333185,0.00100055586436909,0.00122549019607843,0.00155538273525164,0.000556049822064057,0.00111074086415639,0.000554692700244065,0.000444345700955343,0.000447127207690588,0.000111308993766696,0.000557289344627731,0.00122154358689617,0.000445087348392122,0.000555247084952804,0.000778210116731518,0.000667037242912729,0.000110827884295689,0.000111074086415639,0.000443311537182755,0.000665926748057714,0.000443754160195252,0.000777173309648051,0.000221827861579414
"OTU1133",0.000111395789239167,0.000556792873051225,0.000666444518493835,0.00110889332446219,0.000776053215077605,0.00155624722098711,0.000776742121615624,0.00088948187680676,0,0.0010016694490818,0.000332667997338656,0.000888296691094826,0.00244525953095476,0.000554692700244065,0.000886132033673017,0.00121964741102118,0.000555000555000555,0.000111037086386853,0.00177442608406344,0.000553955240416574,0.000666592600822131,0.000886132033673017,0.000554446662231093,0.000996677740863787,0.000775795190069822,0.00121829659984494,0.000110778774786751,0.000664451827242525,0.00011063170704724,0.0014404432132964,0.0008859357696567,0.000332225913621262,0.000110778774786751,0.00132934529744101,0.00210526315789474,0.00221704910763773,0.000332299512627382,0.00132875650537039,0.00166389351081531,0.00177304964539007,0.00132934529744101,0.00110901630253965,0.00166186572124972,0.00122032394053694,0.000778383186923162,0.000889086463658591,0.00145251396648045,0.00066577896138482,0.00111470293166871,0.000556854883617329,0.00211345939933259,0.000665705092643959,0.000222098833981122,0.00144621203693403,0.00111185234600845,0.000886819643055094,0.000666370501999112,0.00111172873818788,0.00100267379679144,0.00133318520164426,0.0010008896797153,0.000333222259246918,0.00210783226092745,0.0015552099533437,0.00122959982114912,0.000556544968833482,0.00122603655818101,0.000333148250971682,0.000778902859686213,0.00210993892282066,0.00122290161200667,0.000555864369093941,0.000110827884295689,0.000333222259246918,0.000221655768591378,0.000443951165371809,0.000221877080097626,0.0002220495170423,0.000998225377107365
"OTU177",0,0.000334075723830735,0.000111074086415639,0.000221778664892437,0,0.000778123610493553,0,0.00022237046920169,0.0015543466192961,0,0,0,0.000111148160497944,0.000443754160195252,0.000110766504209127,0,0.000111000111000111,0.000111037086386853,0,0,0,0,0,0.000110741971207087,0.000221655768591378,0,0,0.00321151716500554,0.000442526828188959,0,0,0,0,0.000886230198294007,0,0,0,0,0,0,0,0,0.00155107467316641,0.000554692700244065,0.000333592794395641,0.000111135807957324,0,0,0.000668821759001226,0.000445483906893863,0.000111234705228031,0.000887606790191945,0.000777345918933926,0,0.000111185234600845,0,0.000777432252332297,0.000222345747637576,0.000445632798573975,0.000111098766803688,0.000222419928825623,0.000777518604909475,0.000554692700244065,0.000555432126194179,0,0.000222617987533393,0.000222915737851092,0.000222098833981122,0.000222543674196061,0,0.000889382990550306,0.000555864369093941,0.000332483652887066,0.000777518604909475,0.000110827884295689,0,0.000110938540048813,0.0002220495170423,0
"OTU61",0.00256210315250084,0.00779510022271715,0.00444296345662557,0.00499001996007984,0.000221729490022173,0.00400177856825256,0.00632490013315579,0.00945074494107183,0.0105473520595093,0.00879243183082916,0.00343756930583278,0.00233177881412392,0.00111148160497944,0.00188595518082982,0.00376606114311032,0.0174076948663932,0.00310800310800311,0.00033311125916056,0.00321614727736498,0.00166186572124972,0.000777691367625819,0.0024368630926008,0.00144156132180084,0.00498338870431894,0.00487642690901031,0.00564846605382656,0.00210479672094827,0.0120708748615725,0.00387210974665339,0.0057617728531856,0.00110741971207087,0.00310077519379845,0.000997008973080758,0.00432037221668328,0.00753462603878116,0.0109743930828068,0.00276916260522818,0.0105193223341823,0.00621186910704382,0.00631648936170213,0.0069790628115653,0.00521237662193634,0.016175493020164,0.00499223430219658,0.00155676637384632,0.00589019782173816,0.00536312849162011,0.00133155792276964,0.00122617322483558,0.00133645172068159,0.000333704115684093,0.00332852546321979,0.000666296501943365,0.00133496495716987,0.00211251945741606,0.000110852455381887,0.00199911150599733,0.00366870483602001,0.00200534759358289,0.00199977780246639,0.00177935943060498,0.0025547039875597,0.00144220102063457,0.00166629637858254,0.0035770176615247,0.000556544968833482,0.00167186803388319,0.00399777901166019,0.00300433960164682,0.00188784008883953,0.00644802668148972,0.0137854363535297,0.00243821345450515,0.00555370432078196,0.00875540285935941,0.00321864594894562,0.00110938540048813,0.000444099034084601,0.00732031943212067
"OTU957",0.000222791578478334,0.000111358574610245,0.000555370432078196,0.000221778664892437,0.000443458980044346,0.000555802578923966,0.00066577896138482,0.00066711140760507,0.0002220495170423,0.0010016694490818,0.000110889332446219,0,0.000333444481493831,0.000110938540048813,0.000553832521045636,0.000332631112096685,0.000777000777000777,0.000444148345547413,0.000332704890761894,0.000664746288499889,0,0.000332299512627382,0,0.00243632336655592,0.00110827884295689,0.000886033890796323,0.000775451423507256,0.00132890365448505,0.000331895121141719,0.00110803324099723,0,0.000332225913621262,0.000332336324360253,0.00110778774786751,0.0014404432132964,0.00133022946458264,0.000110766504209127,0.000332189126342598,0.00244037714919578,0.00188386524822695,0.00132934529744101,0.00454696684041255,0.00553955240416574,0.00443754160195252,0.00122317357945068,0.000111135807957324,0,0.00033288948069241,0.000780292052168097,0.000222741953446932,0.000222469410456062,0.00122045933651392,0.000666296501943365,0.000222494159528312,0.000111185234600845,0.000110852455381887,0.00022212350066637,0.000333518621456365,0,0.000666592600822131,0.000444839857651246,0.000444296345662557,0,0.000333259275716507,0.000223563603845294,0,0.000222915737851092,0.000111049416990561,0.000333815511294091,0,0.00100055586436909,0.000111172873818788,0.000443311537182755,0,0.000110827884295689,0.000776914539400666,0.000110938540048813,0.000444099034084601,0.000221827861579414
"OTU273",0,0.00122494432071269,0.000666444518493835,0.000554446662231093,0.000332594235033259,0.00033348154735438,0.000110963160230803,0.000111185234600845,0.00011102475852115,0.00200333889816361,0.000221778664892437,0.000666222518321119,0.00133377792597533,0,0.000443066016836509,0.00155227852311786,0.000888000888000888,0.000222074172773706,0.000332704890761894,0.00022158209616663,0.000555493834018442,0.000221533008418254,0,0.000996677740863787,0.000332483652887066,0.00011075423634954,0,0.000221483942414175,0,0,0,0,0.000110778774786751,0.000110778774786751,0,0,0,0.000332189126342598,0.000110926234054354,0.000110815602836879,0,0.00144172119330154,0.00132949257699978,0.000221877080097626,0.000889580785055043,0.000222271615914648,0.00189944134078212,0.000443852640923213,0.0026752870360049,0.000445483906893863,0.000111234705228031,0.00133141018528792,0.000555247084952804,0.000444988319056625,0,0.000221704910763773,0.000666370501999112,0.000444691495275153,0.000222816399286988,0.000333296300411065,0.00189056939501779,0.000555370432078196,0.000221877080097626,0.000888691401910687,0,0.000890471950133571,0.000222915737851092,0.000333148250971682,0.00222543674196061,0,0.00144524735964425,0.000111172873818788,0.000332483652887066,0.0031100744196379,0.000332483652887066,0.000776914539400666,0.000110938540048813,0,0.000221827861579414
"OTU4781",0.000111395789239167,0.000334075723830735,0,0.000110889332446219,0.000221729490022173,0.00111160515784793,0.000554815801154017,0.00044474093840338,0,0.000111296605453534,0.000332667997338656,0,0.00100033344448149,0.000110938540048813,0.000553832521045636,0.000110877037365562,0.000333000333000333,0.000444148345547413,0.000110901630253965,0,0,0,0,0.00121816168327796,0.000221655768591378,0.000332262709048621,0,0.000775193798449612,0.00011063170704724,0,0,0.000221483942414175,0.000110778774786751,0.000332336324360253,0.000110803324099723,0,0,0.000110729708780866,0.000110926234054354,0.000110815602836879,0,0.000887213042031718,0.000443164192333259,0.000110938540048813,0.000889580785055043,0.000111135807957324,0.000111731843575419,0.000221926320461607,0.00100323263850184,0.000222741953446932,0.000444938820912125,0.000665705092643959,0.000333148250971682,0.000111247079764156,0.000111185234600845,0,0,0,0.000334224598930481,0.000666592600822131,0.000222419928825623,0.000111074086415639,0,0.000111086425238836,0,0,0.000111457868925546,0,0.00011127183709803,0.000111049416990561,0.00111172873818788,0,0.000110827884295689,0.000333222259246918,0.000110827884295689,0.000332963374028857,0.000221877080097626,0.00011102475852115,0.000221827861579414
"OTU49",0.00155954104934833,0.00523385300668151,0.0025547039875597,0.00255045464626303,0.00465631929046563,0.00444642063139173,0.00443852640923214,0.0034467422726262,0.00399689130676141,0.00612131329994435,0.00255045464626303,0.0206528980679547,0.00922529732132933,0.00210783226092745,0.00155073105892778,0.0066526222419337,0.00222000222000222,0.000999333777481679,0.00621049129422203,0.00332373144249945,0.0096655927119209,0.0036552946389012,0.000887114659569749,0.00132890365448505,0.00476559902471462,0.00863883043526415,0.00354492079317603,0.00254706533776301,0.00199137072685032,0.00565096952908587,0.016500553709856,0.00254706533776301,0.00221557549573502,0.00121856652265426,0.00664819944598338,0.00521006540294868,0.0145104120513957,0.00143948621415126,0.00366056572379368,0.00598404255319149,0.00520660241497729,0.0056559831429522,0.00587192554841569,0.010095407144442,0.00500389191593462,0.00411202489442098,0.00815642458100559,0.00210830004438526,0.00312116820867239,0.000779596837064261,0.00433815350389321,0.00244091867302785,0.00155469183786785,0.00656357770608522,0.00155659328441183,0.00266045892916528,0.00255442025766326,0.000778210116731518,0.0053475935828877,0.00122208643484057,0.00111209964412811,0.00166611129623459,0.00898602174395385,0.0043323705843146,0.00301810865191147,0.00189225289403384,0.00479268836379848,0.00210993892282066,0.00122399020807834,0.00210993892282066,0.00211228460255698,0.00322401334074486,0.00121910672725258,0.000888592691325114,0.000775795190069822,0.00122086570477247,0.00155313956068338,0.0011102475852115,0.000887311446317658
"OTU774",0.0003341873677175,0.00189309576837416,0.00199933355548151,0.00199600798403194,0.00332594235033259,0.00300133392618942,0.00099866844207723,0.00266844563042028,0.00277561896302876,0.00200333889816361,0.000998003992015968,0.0016655562958028,0.00144492608647327,0.000332815620146439,0.000443066016836509,0.00066526222419337,0.000555000555000555,0.000444148345547413,0.000776311411777753,0.000664746288499889,0.000555493834018442,0,0.000332667997338656,0.00243632336655592,0.00088662307436551,0.000775279654446783,0.000332336324360253,0.00254706533776301,0.000331895121141719,0.000332409972299169,0.000332225913621262,0.000996677740863787,0.000886230198294007,0.000886230198294007,0.000554016620498615,0.000110852455381887,0.000110766504209127,0.000332189126342598,0.000554631170271769,0.00110815602836879,0.000221557549573502,0.00299434401685705,0.00398847773099934,0.00188595518082982,0.00122317357945068,0.00122249388753056,0.00189944134078212,0.00066577896138482,0.00156058410433619,0.000779596837064261,0.00122358175750834,0.000554754243869966,0.000555247084952804,0.00133496495716987,0.000778296642205915,0.00066511473229132,0.00133274100399822,0.00100055586436909,0.000334224598930481,0.00133318520164426,0.00478202846975089,0.000666444518493835,0.000443754160195252,0.000555432126194179,0.00212385423653029,0.00256010685663402,0.000780205082478823,0.000444197667962243,0.00011127183709803,0.000222098833981122,0.000333518621456365,0.000889382990550306,0.00088662307436551,0.000111074086415639,0.000775795190069822,0.000554938956714761,0,0.0002220495170423,0.000221827861579414
"OTU224",0.000668374735435001,0.00434298440979955,0.00833055648117294,0.000998003992015968,0.00365853658536585,0.00266785237883504,0.00166444740346205,0.00400266844563042,0.00122127234373265,0.00345019476905954,0.00388112663561765,0.00199866755496336,0.00300100033344448,0.00188595518082982,0.00155073105892778,0.00299368000887016,0.00244200244200244,0.00433044636908728,0.0041033603193967,0.00409926877908265,0.000888790134429508,0.000332299512627382,0.000998003992015968,0.00199335548172757,0.000110827884295689,0.00243659319968989,0.000997008973080758,0.000221483942414175,0.00011063170704724,0.000221606648199446,0.000664451827242525,0.00110741971207087,0.000221557549573502,0.00365569956796278,0.00332409972299169,0.00155193437534641,0.00376606114311032,0.00132875650537039,0.00155296727676095,0.00310283687943262,0.00177246039658801,0.00155262282355551,0.00498559716374917,0.00155313956068338,0.000555987990659402,0.00244498777506112,0.00379888268156425,0.00099866844207723,0.00178352469066994,0.000556854883617329,0.000222469410456062,0.00277377121934983,0.00266518600777346,0,0.00022237046920169,0.00266045892916528,0.000333185250999556,0.000444691495275153,0.000557040998217469,0.000222197533607377,0,0.000111074086415639,0.000332815620146439,0.000333259275716507,0.000782472613458529,0.000333926981300089,0.000668747213553277,0.000555247084952804,0.00133526204517637,0.000555247084952804,0.00433574207893274,0.00555864369093941,0.00243821345450515,0.00188825946906587,0.00531973844619306,0.000332963374028857,0.000221877080097626,0.000999222826690352,0.00133096716947649
