"","X1351_1662","X1351_1663","X1351_1664","X1351_1653","X1351_1654","X1351_1655","X1351_1656","X1351_1657","X1351_1658","X1351_1659","X1351_1660","X1351_1661","X1351_1911","X1351_1912","X1351_1913","X1351_1902","X1351_1904","X1351_1905","X1351_1906","X1351_1907","X1351_1908","X1351_1909","X1351_1910","X1351_1722","X1351_1723","X1351_1724","X1351_1713","X1351_1714","X1351_1716","X1351_1717","X1351_1718","X1351_1719","X1351_1720","X1351_1721","X1351_1487","X1351_1488","X1351_1489","X1351_1478","X1351_1479","X1351_1480","X1351_1481","X1351_1482","X1351_1483","X1351_1484","X1351_1485","X1351_1486","X1351_1499","X1351_1501","X1351_1490","X1351_1491","X1351_1492","X1351_1493","X1351_1494","X1351_1495","X1351_1496","X1351_1497","X1351_1498","X1351_1748","X1351_1749","X1351_1750","X1351_1739","X1351_1740","X1351_1741","X1351_1742","X1351_1743","X1351_1744","X1351_1745","X1351_1746","X1351_1747","X1351_1609","X1351_1610","X1351_1611","X1351_1600","X1351_1602","X1351_1604","X1351_1605","X1351_1606","X1351_1607"
"OTU1139",0,0,0,0.000110778774786751,0,0,0,0,0,0,0,0.000222222222222222,0,0,0.000221803260507929,0.000110680686220255,0.000221729490022173,0.000221877080097626,0,0.000332483652887066,0.00011102475852115,0.000553893873933754,0,0,0,0,0,0,0,0,0,0,0,0,0.000110852455381887,0,0,0,0,0.000221778664892437,0.000110766504209127,0,0.000442820768294033,0,0,0.000110815602836879,0,0,0.000110791048083315,0,0,0,0,0,0,0.000110864745011086,0,0,0.000110668437361664,0,0,0,0,0,0,0.000221729490022173,0,0.000110901630253965,0,0,0.000110692937790569,0.000110570544007077,0,0,0,0,0.000221533008418254,0
"OTU539",0.000333074275563451,0.000110938540048813,0.000443458980044346,0.000443115099147003,0,0.000221655768591378,0,0,0.000332704890761894,0,0.000221680336954112,0.000222222222222222,0.000332483652887066,0,0,0,0.000332594235033259,0.000221877080097626,0.000110840168477056,0,0,0.000110778774786751,0.000221680336954112,0,0,0,0.000221361372440509,0.00022212350066637,0.000111172873818788,0.000111074086415639,0,0.000111037086386853,0.000110938540048813,0,0.000443409821527547,0.000664599025254763,0.000665705092643959,0.000221606648199446,0.000221385875581138,0.000221778664892437,0.000221533008418254,0.000443213296398892,0,0.000110729708780866,0.000332078813371707,0.000443262411347518,0,0.000554938956714761,0,0.000221803260507929,0.00033215234720992,0.000221729490022173,0.000443262411347518,0,0,0.000221729490022173,0.00033288948069241,0.000333000333000333,0.000442673749446658,0,0.000111074086415639,0.000111135807957324,0.000888395335924486,0.00044296788482835,0,0,0.000111111111111111,0,0.000110901630253965,0.000221434898139947,0.000110692937790569,0.00033171163202123,0.00033178500331785,0.00066386368665634,0,0.00011075423634954,0.000443066016836509,0.000221385875581138
"OTU1133",0.0002220495170423,0.000554692700244065,0.000665188470066519,0.00155090284701451,0.00144172119330154,0.00155159038013964,0.00310524564711101,0.000888691401910687,0.000998114672285683,0.00077536552946389,0.00055420084238528,0.000666666666666667,0.00221655768591378,0.000996126175982291,0.00110901630253965,0.0024349750968456,0.00232815964523282,0.00155313956068338,0.00254932387497229,0.00166241826443533,0.00122127234373265,0.000553893873933754,0.000997561516293505,0,0,0.000779857397504456,0.000553403431101273,0.000555308751665926,0.000444691495275153,0.00111074086415639,0.000110889332446219,0.00155451920941594,0.000665631240292878,0.000332704890761894,0.000886819643055094,0.000443066016836509,0.000554754243869966,0.0014404432132964,0.000885543502324552,0.000554446662231093,0.00077536552946389,0.000775623268698061,0.00199269345732315,0.000442918835123464,0.000553464688952845,0.000886524822695035,0.000110778774786751,0.000887902330743618,0.000332373144249945,0,0.000221434898139947,0.000665188470066519,0.000221631205673759,0.000333074275563451,0.000110778774786751,0.000554323725055432,0.000443852640923213,0.000888000888000888,0.00243470562195662,0.00110963160230803,0.000888592691325114,0.00166703711935986,0.00144364242087729,0.00221483942414175,0.00199711527793188,0.00133037694013304,0.00155555555555556,0.000554508151269824,0.00243983586558722,0.0033215234720992,0.0032100951959265,0.000663423264042459,0.0017695200176952,0.000221287895552113,0.000221312382427797,0.00132905083619448,0.000553832521045636,0.00110692937790569
"OTU843",0.00011102475852115,0,0,0,0,0,0,0,0,0,0,0,0.000221655768591378,0.000553403431101273,0.000332704890761894,0,0.000221729490022173,0.000110938540048813,0.000221680336954112,0.000221655768591378,0.00011102475852115,0,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0.000110852455381887,0,0.000110950848773993,0,0,0,0,0,0,0,0.000110692937790569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110901630253965,0.000110717449069973,0.000110692937790569,0,0.00011059500110595,0.00033193184332817,0,0,0,0
"OTU957",0,0,0.000221729490022173,0.000443115099147003,0.000110901630253965,0.000110827884295689,0,0.000222172850477672,0.000110901630253965,0,0.000110840168477056,0,0.00110827884295689,0.000553403431101273,0.00177442608406344,0.000442722744881018,0.000886917960088692,0.00177501664078101,0.000443360673908224,0.00121910672725258,0.00266459420450761,0.000664672648720505,0.000221680336954112,0,0,0,0,0,0,0,0,0,0,0,0.00066511473229132,0.000221533008418254,0.000332852546321979,0.000110803324099723,0.000110692937790569,0.000221778664892437,0.000110766504209127,0.000110803324099723,0.000332115576220525,0,0.000110692937790569,0.000110815602836879,0,0.000110987791342952,0,0,0,0.000110864745011086,0,0,0.000110778774786751,0,0,0.00210900210900211,0.00254537405931828,0.00288504216600089,0.00155503720981895,0.00322293843076239,0.00177679067184897,0.000996677740863787,0.00221901697547986,0.000665188470066519,0.000888888888888889,0.00221803260507929,0.00166352445380947,0.000442869796279894,0,0.000221141088014153,0.0002211900022119,0.000221287895552113,0,0,0.000110766504209127,0
"OTU273",0.0002220495170423,0.000221877080097626,0.00188470066518847,0.000997008973080758,0.00121991793279361,0.000443311537182755,0.00343795053787291,0.000111086425238836,0.000665409781523788,0,0.00055420084238528,0,0.000332483652887066,0.000221361372440509,0.000221803260507929,0.000221361372440509,0.000110864745011086,0.00232970934102507,0.000221680336954112,0.000554139421478444,0.000777173309648051,0.000110778774786751,0.000110840168477056,0,0,0,0,0,0,0,0,0,0,0,0.000775967187673207,0,0.000221901697547986,0.000110803324099723,0,0.000110889332446219,0.000221533008418254,0.000221606648199446,0,0.000221459417561732,0,0.000775709219858156,0,0,0,0.000332704890761894,0.000110717449069973,0,0.000554078014184397,0,0,0,0,0.00177600177600178,0.000332005312084993,0.000554815801154017,0.00133288903698767,0.000777950655701267,0.000333148250971682,0.000332225913621262,0.00133141018528792,0.00144124168514412,0.00266666666666667,0.000332704890761894,0.00166352445380947,0,0.000110692937790569,0.00033171163202123,0,0,0,0,0,0
"OTU4781",0.000777173309648051,0.000443754160195252,0.00155210643015521,0.00144012407222776,0.000221803260507929,0.000221655768591378,0.00121991793279361,0,0.000443606521015859,0,0.000886721347816449,0.000111111111111111,0.000110827884295689,0.000774764803541782,0.00110901630253965,0.000221361372440509,0.000221729490022173,0.000554692700244065,0.000110840168477056,0.000443311537182755,0.00011102475852115,0.000443115099147003,0.000332520505431168,0,0,0,0,0.000111061750333185,0,0,0,0,0,0,0.00066511473229132,0.000443066016836509,0.000332852546321979,0.000332409972299169,0.000110692937790569,0.000110889332446219,0.000664599025254763,0.000664819944598338,0.000885641536588066,0.000332189126342598,0.000110692937790569,0.000443262411347518,0.000221557549573502,0.000221975582685905,0,0.000665409781523788,0,0.000332594235033259,0.000886524822695035,0,0,0.000221729490022173,0.000221926320461607,0.000555000555000555,0.000332005312084993,0.00066577896138482,0.000444296345662557,0.000333407423871972,0.00111049416990561,0,0.000110950848773993,0.000554323725055432,0.000111111111111111,0.000110901630253965,0.000221803260507929,0.000110717449069973,0.000221385875581138,0.00132684652808492,0.0002211900022119,0,0,0,0,0
"OTU774",0.00011102475852115,0.000110938540048813,0.000776053215077605,0.000664672648720505,0.000998114672285683,0.000110827884295689,0.000554508151269824,0.000111086425238836,0.000221803260507929,0.000110766504209127,0,0.000111111111111111,0.00144076249584395,0.00343110127282789,0.000332704890761894,0.000442722744881018,0.000443458980044346,0.00310627912136676,0.00055420084238528,0.00155159038013964,0.00643943599422671,0.000997008973080758,0,0.000111037086386853,0.000110950848773993,0,0,0.000111061750333185,0,0.000111074086415639,0.000110889332446219,0,0.000221877080097626,0.000110901630253965,0.00033255736614566,0,0.000443803395095972,0.000110803324099723,0,0.000110889332446219,0.000221533008418254,0,0.000221410384147017,0,0,0.000332446808510638,0,0,0.000110791048083315,0.000332704890761894,0.000110717449069973,0,0.000332446808510638,0,0,0,0,0.00166500166500167,0.000332005312084993,0.000110963160230803,0.000666444518493835,0.000111135807957324,0.000333148250971682,0.000332225913621262,0.000110950848773993,0.000110864745011086,0.000333333333333333,0,0.000776311411777753,0.000221434898139947,0.000110692937790569,0.000442282176028306,0.00011059500110595,0.00099579552998451,0.000110656191213898,0.000332262709048621,0.00077536552946389,0.000110692937790569
"OTU3092",0.0002220495170423,0,0,0.000110778774786751,0,0.000221655768591378,0,0.000333259275716507,0,0,0,0,0,0.000221361372440509,0.000887213042031718,0,0,0.000110938540048813,0,0,0,0.000110778774786751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000886132033673017,0.000776655941417952,0.000443213296398892,0.000221385875581138,0.000998003992015968,0.00077536552946389,0.000443213296398892,0.000553525960367541,0.00110729708780866,0.000110692937790569,0,0.000553893873933754,0,0,0.000554508151269824,0.000110717449069973,0.000886917960088692,0.000775709219858156,0,0.00221557549573502,0.000110864745011086,0.00066577896138482,0,0,0.000443852640923213,0.000222148172831278,0.000111135807957324,0.000222098833981122,0,0,0,0,0.000110901630253965,0.000221803260507929,0,0.000110692937790569,0,0.0008847600088476,0.000553219738880283,0,0,0.000221533008418254,0.000110692937790569
"OTU224",0.00011102475852115,0.000221877080097626,0.00210643015521064,0.000443115099147003,0.00199622934457137,0.00155159038013964,0.00121991793279361,0.00188846922906021,0.00144172119330154,0,0.000110840168477056,0,0.00354649229746204,0.00221361372440509,0.00121991793279361,0.0024349750968456,0.00121951219512195,0.00321721766141558,0.00232764353801818,0.00254904133880084,0.00344176751415566,0.00155090284701451,0.00110840168477056,0,0.000110950848773993,0,0,0,0.000111172873818788,0.000222148172831278,0.000110889332446219,0.000111037086386853,0,0,0.00099767209843698,0.00132919805050953,0.000110950848773993,0.0057617728531856,0.000221385875581138,0.000443557329784875,0.000110766504209127,0.000664819944598338,0.00154987268902912,0.000110729708780866,0.000110692937790569,0.000443262411347518,0.000443115099147003,0.000776914539400666,0.000110791048083315,0.00144172119330154,0.000110717449069973,0.000332594235033259,0.00121897163120567,0,0,0.000554323725055432,0,0.00166500166500167,0.00099601593625498,0.000221926320461607,0.000777518604909475,0.00100022227161591,0.00155469183786785,0.000221483942414175,0.00244091867302785,0.000776053215077605,0.00166666666666667,0.000554508151269824,0.00221803260507929,0.000553587245349867,0.000664157626743414,0.00199026979212738,0,0.00099579552998451,0,0,0.00077536552946389,0
