"","SRR13800962","SRR13800927","SRR13800916","SRR13800973","SRR13801586","SRR13801575","SRR13801170","SRR13801159","SRR13801370","SRR13801359","SRR13801423","SRR13801412","SRR13801346","SRR13801345","SRR13801344","SRR13801347","SRR13801342","SRR13801341","SRR13801340","SRR13801339","SRR13801338","SRR13801337","SRR13801336","SRR13801307","SRR13801306","SRR13801305","SRR13801308","SRR13801304","SRR13801302","SRR13801301","SRR13801299","SRR13801298","SRR13801297","SRR13801296","SRR13801294","SRR13801293","SRR13801292","SRR13801295","SRR13801291","SRR13801290","SRR13801288","SRR13801287","SRR13801286","SRR13801285","SRR13801284","SRR13801283","SRR13801118","SRR13801116","SRR13801119","SRR13801114","SRR13801113","SRR13801112","SRR13801111","SRR13801110","SRR13801109","SRR13801108","SRR13801107","SRR13800971","SRR13800970","SRR13800969","SRR13800972","SRR13800968","SRR13800967","SRR13800966","SRR13800965","SRR13800964","SRR13800963","SRR13800961","SRR13800960","SRR13801565","SRR13801564","SRR13801563","SRR13801566","SRR13801561","SRR13801559","SRR13801558","SRR13801556","SRR13801555"
"OTU7554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8941327792619e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,9.88924050632911e-05,0,9.89217528934613e-05,0,0,0,9.88630746416214e-05,0,0,0,0,0,0,0,0,0,0
"OTU4",0.000494364247577615,0.000395530505290221,0,0,0,0,9.88630746416214e-05,0,0,0,0,0.000494462025316456,0,0,0.00019776525264511,9.8941327792619e-05,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0.000197784810126582,0,9.88630746416214e-05,0,0,0.000395491398062092,0,0,0,0,0,0,9.88630746416214e-05,0,0,0,0,0.00039564787339268,0,0.000494364247577615,9.8872849515523e-05,0,0.00029673590504451,0,0,9.88924050632911e-05,0.000296618548546569,0,0,0,0,0,0,0,0,0,0,0.00019776525264511,0,0,0.000593354430379747,0
"OTU6",0,0,0,0,0,0,0,0,0,0,0,0,9.8872849515523e-05,0.00019780437147661,0,0,0,0,9.89021857383048e-05,0.000197863078749505,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000494462025316456,0.000593471810089021,0.000692178384257886,9.89511181476351e-05,0.000494462025316456,0.000197745699031046,0.000197843505786923,9.8872849515523e-05,0.000395491398062092,9.89021857383048e-05,0.000296589223924864,9.88630746416214e-05,0,0,0,0,0,0,0,0,0
"OTU7274",0,0,0,0,0,0,0,0,0,0,0,0,0.000395491398062092,9.89021857383048e-05,0.00019776525264511,9.8941327792619e-05,0.000197784810126582,9.88826263225551e-05,9.89021857383048e-05,0.000197863078749505,0,0.00019776525264511,0.000494364247577615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0.000197784810126582,0,0.000197843505786923,0,0.000197745699031046,9.89021857383048e-05,0.000395452298566485,0.000197726149283243,0,0,0,0,0,0,0,0,0
"OTU339",0,9.88826263225551e-05,0,0,0,0,0.000395452298566485,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0.000197726149283243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197745699031046,0,0,0,0,9.88924050632911e-05,0,0.000197726149283243
"OTU4123",0,0,9.88924050632911e-05,9.89119683481701e-05,9.88826263225551e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,9.88630746416214e-05,0,0,0.000296618548546569,0,0,0,0.000197784810126582,0.000197784810126582,0,0
"OTU3450",9.8872849515523e-05,0,0,0,0.00128547414219322,0.000197784810126582,0,0.000197784810126582,9.8872849515523e-05,0,0.000296618548546569,0,0,0,0,0,0,0,0,0,0.000197843505786923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00613011666996243,0,0,0,0,0,0,0.0156234549589637,0,0.000296589223924864,0.000395452298566485,9.88533017002768e-05,0,0,0,0.000296647878967665,9.8872849515523e-05,9.8872849515523e-05,0,0,0,0,0,0,9.89217528934613e-05,0,0,0,0,0.000988630746416213,0,0,9.88924050632911e-05,0,0,0,0,0,0
"OTU2635",0,0,0,0.00039564787339268,9.88826263225551e-05,0,0,0,0.000296618548546569,0,0,0,0,0.00168133715755118,0.00138435676851577,0,0,9.88826263225551e-05,0,0,0.000197843505786923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000692246835443038,0,0.000197784810126582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108803165182987,0.000296647878967665,0,0,0,0.000197843505786923,0,0,0,0,0,0,0,0,0,0,0,0,0.000296677215189873,0
"OTU28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0.000197863078749505,0,0,0.000197745699031046,0,0,0,0,0,0,0,0,0,0,0,0.000197784810126582,0,0,9.88826263225551e-05,0.000296589223924864,0,0,0,0,0,0,0,0,0,0,0,0,9.8872849515523e-05,0.000494559841740851,0,0,0,0,0,0,0.00019776525264511,9.89511181476351e-05,0,0,9.89217528934613e-05,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0
"OTU281",0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,9.89119683481701e-05,0,9.89511181476351e-05,9.88924050632911e-05,0,9.89217528934613e-05,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0
"OTU11980",0,0,0,0,0,0,0,0,0,0,0,0,9.8872849515523e-05,9.89021857383048e-05,9.88826263225551e-05,0,0,0.000296647878967665,0.000296706557214914,9.89315393747527e-05,0,9.88826263225551e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000494462025316456,9.89119683481701e-05,0.000395530505290221,0.00019790223629527,9.88924050632911e-05,0.000197745699031046,0.000296765258680384,0,0.000494364247577615,0.00019780437147661,0.000197726149283243,0,0,0,0,0,0,0,0,0,0
"OTU12225",0,0,0,0,0,0,0,0,0,0,0,0,9.8872849515523e-05,0,0,9.8941327792619e-05,0,0,0,0,0,0,0.000197745699031046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,9.89119683481701e-05,0.000296647878967665,9.89511181476351e-05,0,0,0,0,0,0.000494510928691524,9.88630746416214e-05,0.000296589223924864,0,0,0,0,0,0,0,0,0
"OTU27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0,0,9.88924050632911e-05,0,0.000197843505786923,0,0,9.89021857383048e-05,9.88630746416214e-05,9.88630746416214e-05,0,0,0,0,0,0,0,0,0
"OTU188",0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0.000197882655585238,0,0,0,0,0,9.88826263225551e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0,0,0,9.8872849515523e-05,0,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0
"OTU2782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019776525264511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,9.88826263225551e-05,0,0,0,9.89217528934613e-05,9.8872849515523e-05,0,0,0,9.88630746416214e-05,0,0,0,0,0,0,0,0,0
"OTU29",0,0,0,0,0,0,0,0,0,0.000296618548546569,0,0,9.8872849515523e-05,9.89021857383048e-05,0,9.8941327792619e-05,0.000494462025316456,0.00019776525264511,9.89021857383048e-05,9.89315393747527e-05,9.89217528934613e-05,0.00019776525264511,9.8872849515523e-05,0,0,0,0,0,9.89217528934613e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395569620253165,9.89119683481701e-05,9.88826263225551e-05,0,0,0,0.000197843505786923,0,9.8872849515523e-05,0.00019780437147661,0,0,0,0,0,0,0,0,0,0,0
"OTU841",9.8872849515523e-05,0.00019776525264511,0,0.00029673590504451,0.000494413131612776,9.88924050632911e-05,9.88630746416214e-05,9.88924050632911e-05,9.8872849515523e-05,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89217528934613e-05,0,0,0,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000692315300168134,0,0.0010878164556962,0,0.000395530505290221,0.00138449367088608,0,0,0.000197726149283243
"OTU5998",0,0,0,0,0,0,0,0,0,0,0,0,0.000197745699031046,0.00019780437147661,0,9.8941327792619e-05,9.88924050632911e-05,0,9.89021857383048e-05,0,9.89217528934613e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,9.8872849515523e-05,0,9.8872849515523e-05,0.000197745699031046,0,9.88630746416214e-05,0,0,0,0,0,0,0,0,0,0
"OTU8872",9.8872849515523e-05,0.00425195293186987,0.000197784810126582,0,0,0,0,0,0,0,0.00197745699031046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00830696202531645,9.88826263225551e-05,0,0,0,0.000593237097093138,0.000988630746416213,0,0,0,0.0124604430379747,0.00375716828158988,0,0,0,0,0,0,0,0,0,0.00168083844176389,0,0,0,0,9.89511181476351e-05,0.000791139240506329,0.000889855645639707,0,0,0,0.000890119671644743,0.000494315373208107,9.88630746416214e-05,0,0,0,0.00356012658227848,0,0,0,0,0
"OTU638",0,0,0,0,0,0,0,0,0,0,0,0,0.000197745699031046,9.89021857383048e-05,9.88826263225551e-05,0,0,0.00019776525264511,0,0,0,9.88826263225551e-05,0.000296618548546569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197784810126582,0,0.000593295757935331,9.89511181476351e-05,9.88924050632911e-05,9.8872849515523e-05,0,0.000296618548546569,9.8872849515523e-05,9.89021857383048e-05,0.000197726149283243,0.000197726149283243,0,0,0,0,0,0,0,0,0
"OTU565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,9.88924050632911e-05,9.8872849515523e-05,0,0,0,0,9.88630746416214e-05,0,0,0,0,0,0,0,0,0,0
"OTU303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8872849515523e-05,9.89021857383048e-05,9.88630746416214e-05,0,0,0,0,0,0,0,0,0,0
"OTU8516",0,0,0,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0.00177988727380599,0,0,0,0.00365938087231728,0,9.89217528934613e-05,0.000791061010580441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296647878967665,0,0,0,0,0,0.0140399446312043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000494413131612776,9.89511181476351e-05,0,0.000296618548546569,9.89217528934613e-05,0.000395491398062092,0,9.89021857383048e-05,0,0,0.00138463060033627,0,0,0,0,0,0,0,0
"OTU4005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8941327792619e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,9.88826263225551e-05,0,0,0,0,9.8872849515523e-05,0.000197745699031046,0,9.88630746416214e-05,0.000197726149283243,0,0,0,0,0,0,0,0,0
"OTU62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8872849515523e-05,0,9.88924050632911e-05,0,0,9.89511181476351e-05,0,0,0,9.8872849515523e-05,0,0,9.88630746416214e-05,0,9.89021857383048e-05,0,0,0,0,0,0,0,0
"OTU4107",0.000296618548546569,0,0,0.00019782393669634,0.00019776525264511,0.0033623417721519,0,0,9.8872849515523e-05,0,0.000395491398062092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197745699031046,0,0.000692452270254229,0,0,0.000296677215189873,0.00019776525264511,0,0.000692109946608661,0,0,0,0,0,9.8872849515523e-05,0,0,0,0.00405338606030648,0.00177935943060498,9.8872849515523e-05,0.000593471810089021,0,0,0.000296618548546569,0,0,0,0,0,9.88924050632911e-05,0.00098872849515523,0.000395687011573845,0,0,0,0,0,0,0.000197745699031046,0,0,0,0,0,0,0
"OTU12247",0,0,0,0,0,0,0,0,0,0,0,0,0.000197745699031046,0,9.88826263225551e-05,0,0.000296677215189873,9.88826263225551e-05,0,0,9.89217528934613e-05,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0
