"","SRR13800962","SRR13800927","SRR13800916","SRR13800973","SRR13801586","SRR13801575","SRR13801170","SRR13801159","SRR13801370","SRR13801359","SRR13801423","SRR13801412","SRR13801346","SRR13801345","SRR13801344","SRR13801347","SRR13801342","SRR13801341","SRR13801340","SRR13801339","SRR13801338","SRR13801337","SRR13801336","SRR13801307","SRR13801306","SRR13801305","SRR13801308","SRR13801304","SRR13801302","SRR13801301","SRR13801299","SRR13801298","SRR13801297","SRR13801296","SRR13801294","SRR13801293","SRR13801292","SRR13801295","SRR13801291","SRR13801290","SRR13801288","SRR13801287","SRR13801286","SRR13801285","SRR13801284","SRR13801283","SRR13801118","SRR13801116","SRR13801119","SRR13801114","SRR13801113","SRR13801112","SRR13801111","SRR13801110","SRR13801109","SRR13801108","SRR13801107","SRR13800971","SRR13800970","SRR13800969","SRR13800972","SRR13800968","SRR13800967","SRR13800966","SRR13800965","SRR13800964","SRR13800963","SRR13800961","SRR13800960","SRR13801565","SRR13801564","SRR13801563","SRR13801566","SRR13801561","SRR13801559","SRR13801558","SRR13801556","SRR13801555"
"OTU4689",0,0,0,0,0,0,0,0,0,9.8872849515523e-05,0,0,0,0,0,9.8941327792619e-05,9.88924050632911e-05,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0.00138435676851577,9.89511181476351e-05,0.00089003164556962,0,9.89217528934613e-05,0,9.8872849515523e-05,0.00019780437147661,0,0,0,0,0,0,0,0,0,0,0
"OTU2410",0,0,0.000494462025316456,0,0.00533966182141798,0,0,0.00514240506329114,0.00444927822819854,0.000197745699031046,0,0,0,0,0,0,0,0.00227430040541877,0,0,0,0.00128547414219322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217498764211567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0.00217606330365974,0,9.89511181476351e-05,0.000197784810126582,0.000197745699031046,0.000890295776041151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU10199",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296706557214914,0.00019776525264511,9.8941327792619e-05,0,0.000296647878967665,0,0,0.000197843505786923,9.88826263225551e-05,0.000197745699031046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395569620253165,0.00019782393669634,0.00019776525264511,0.00019790223629527,0.000395569620253165,9.8872849515523e-05,0.000197843505786923,0.000395491398062092,9.8872849515523e-05,0.00019780437147661,0.000395452298566485,0.000197726149283243,0,0,0,0,0,0,0,0,0
"OTU3071",0,0,0,0,0,0,0,0.00306566455696203,0,0.000395491398062092,0,0.000197784810126582,9.8872849515523e-05,0,0,9.8941327792619e-05,0.00128560126582278,0,0.00019780437147661,0.00929956470122675,0,0.00108770888954811,0.000593237097093138,0,0,0,0,0,0,0,0,0,0,0,0.00118670886075949,0,0,0,9.88630746416214e-05,0,0,0,0,0,0.0010878164556962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0,0,0,0,0,0.000494510928691524,0,0,0,0,0,0,0,0,0,0,0
"OTU117",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296706557214914,9.88826263225551e-05,0,9.88924050632911e-05,9.88826263225551e-05,0.00019780437147661,0,9.89217528934613e-05,9.88826263225551e-05,0,0.000395608742953219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000692246835443038,9.89119683481701e-05,0.00019776525264511,0.00019790223629527,0.000197784810126582,0.000197745699031046,0.000296765258680384,0,0.000296618548546569,9.89021857383048e-05,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0
"OTU3004",0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,9.89021857383048e-05,0,0.000890295776041151,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0,0,9.88533017002768e-05,0,0,0,0,0,0.000197745699031046,0,0,0,0,0,0,0,0,0,0,0,0.000197726149283243,9.89021857383048e-05,0,0,0.000692246835443038,0.00217541777909621,0,0.000692246835443038,0,0.000296589223924864
"OTU3180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0,9.89217528934613e-05,0,9.89021857383048e-05,0,0,0,9.89217528934613e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU2543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,9.88826263225551e-05,0,9.88924050632911e-05,0,0,0.000296618548546569,9.8872849515523e-05,0,9.88630746416214e-05,9.88630746416214e-05,0,0,0,0,0,0,0,0,0
"OTU192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0.000197784810126582,0,0,0.00019780437147661,0,9.8872849515523e-05,9.89119683481701e-05,9.89217528934613e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU5893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0,0,9.88826263225551e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,9.89021857383048e-05,9.88630746416214e-05,9.88630746416214e-05,0,0,0,0,0,0,0,0,0
