"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","UHC","SFA"
"516","OTU5998","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.117737003058104,NA,NA,0.194915254237288,0,0.10377358490566,0.0923076923076923,0.133333333333333,0.102702702702703,0.217391304347826,0,0.025,0.464285714285714,0,0,0.0357142857142857,0.0588235294117647,0,0.454545454545455,0,0,0.266666666666667,0,0,0,0.558823529411765,0.2,0.227272727272727,0,0,0,0.666666666666667,0
"537","OTU1572","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Hypocopra","uncl_Hypocopra",0.0305810397553517,NA,NA,0.0169491525423729,0.04,0,0.00769230769230769,0.0222222222222222,0.0756756756756757,0,0,0,0.0357142857142857,0,0,0,0,1,0,0,0.021978021978022,0,0,0,0,0.147058823529412,0.1,0,0,0,0,0,1
"592","OTU43","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0275229357798165,0.027027027027027,0.0625,0.0169491525423729,0.04,0.00943396226415094,0.0384615384615385,0.0444444444444444,0.027027027027027,0.0434782608695652,0,0.025,0.107142857142857,0,0,0,0,0,0,0,0.0659340659340659,0.2,0,0.0224719101123595,0,0,0,0,0,0,0.0377358490566038,0,0
"793","OTU321","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","uncl_Xylaria",0.0214067278287462,NA,NA,0.0338983050847458,0,0,0,0.0111111111111111,0.0486486486486487,0,0,0.125,0,0,0,0.0714285714285714,0,0,0,0,0,0,0.0625,0.0112359550561798,0,0,0.1,0,0,0,0,0.0952380952380952,0
"805","OTU1306","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0107033639143731,NA,NA,0.00847457627118644,0,0,0.00769230769230769,0.0111111111111111,0.0216216216216216,0,0,0,0.142857142857143,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0.0344827586206897,0,0.05,0,0,0,0,0,0
"844","OTU10771","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Ascotricha","Ascotricha_erinacea",0.00458715596330275,NA,NA,0.00847457627118644,0,0,0,0,0.0108108108108108,0,0,0.05,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"862","OTU174","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00458715596330275,NA,NA,0,0,0,0,0,0.0162162162162162,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0.0112359550561798,0,0,0,0.0454545454545455,0,0,0,0,0
"1190","OTU4201","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0198776758409786,0.216216216216216,0,0,0,0.0849056603773585,0.0230769230769231,0,0.00540540540540541,0.0434782608695652,0,0,0.0714285714285714,0,0.0357142857142857,0,0,0,0,0,0.010989010989011,0,0,0,0,0,0,0,0,0,0.150943396226415,0,0
"1199","OTU10114","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00917431192660551,0.0540540540540541,0.0625,0,0,0.0283018867924528,0.0153846153846154,0,0.00540540540540541,0.0434782608695652,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566037735849057,0,0
"1200","OTU11109","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0137614678899083,0.135135135135135,0,0,0,0.0660377358490566,0.0153846153846154,0,0,0,0,0,0.107142857142857,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943396226415094,0,0
"1206","OTU4594","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0107033639143731,0.0810810810810811,0,0,0,0.0377358490566038,0.0153846153846154,0,0.00540540540540541,0.0434782608695652,0,0,0.0714285714285714,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566037735849057,0,0
