"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","UHC","SFA"
"330","OTU7431","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","uncl_Darksidea",0.00611620795107034,NA,NA,0,0,0.0188679245283019,0.00769230769230769,0,0.00540540540540541,0.0869565217391304,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"488","OTU9749","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","uncl_Darksidea",0.114678899082569,0.027027027027027,0,0.0254237288135593,0.44,0.0377358490566038,0.230769230769231,0.2,0.0486486486486487,0.173913043478261,0,0.025,0,0.1875,0,0.0357142857142857,0.0588235294117647,0,0.0454545454545455,0,0.516483516483517,0.266666666666667,0,0.0898876404494382,0,0,0,0.0454545454545455,0.333333333333333,0.2,0.0188679245283019,0,0
"615","OTU5613","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","uncl_Darksidea",0.14525993883792,0.432432432432432,0.5625,0.00847457627118644,0.16,0.283018867924528,0.253846153846154,0.211111111111111,0.0432432432432432,0.304347826086957,0,0,0.321428571428571,0.25,0.0714285714285714,0.178571428571429,0.0588235294117647,0,0.136363636363636,0,0.197802197802198,0.866666666666667,0,0.0449438202247191,0,0.0294117647058824,0,0,0.5,0,0.471698113207547,0,0
