"","Domain","Sign","Phylum","Class","Order","Family","Genus","X1351_667"
"OTU4","Bacteria","NS","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","0.0111626878868258"
"OTU486","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","uncl_Sphingomonadaceae","0.0002210433244916"
"OTU100090","Bacteria","Generalists","Acidobacteria","Vicinamibacteria","uncl_Vicinamibacteria","uncl_Vicinamibacteria","uncl_Vicinamibacteria","0.0013262599469496"
"OTU1009","Bacteria","Specialists","Proteobacteria","Deltaproteobacteria","Myxococcales","Kofleriaceae","Kofleria","0.0013262599469496"
"OTU724","Bacteria","Generalists","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","uncl_Cystobacteraceae","0.0001105216622458"
"OTU51","Bacteria","Generalists","Actinobacteria","Actinobacteria","Propionibacteriales","Kribbellaceae","Kribbella","0.00994694960212202"
"OTU6206","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncl_Rhizobiales","uncl_Rhizobiales","0.000331564986737401"
"OTU161","Bacteria","Generalists","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","0.000663129973474801"
"OTU256","Bacteria","Specialists","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus","0.0001105216622458"
"OTU15","Bacteria","Generalists","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium","0.000331564986737401"
"OTU316","Bacteria","Generalists","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Virgisporangium","0.0017683465959328"
"OTU42","Bacteria","Specialists","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Kibdelosporangium","0.00342617152961981"
"OTU30","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","0.0002210433244916"
"OTU660","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncl_Rhizobiales","uncl_Rhizobiales","0.0002210433244916"
"OTU212","Bacteria","Generalists","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Actinomarinicola","0.000442086648983201"
"OTU205","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","uncl_Hyphomicrobiaceae","0.0002210433244916"
"OTU53725","Bacteria","Generalists","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","uncl_Micromonosporaceae","0.000773651635720601"
"OTU579","Bacteria","Generalists","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","0.000552608311229001"
"OTU633","Bacteria","Generalists","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","0.0001105216622458"
"OTU268","Bacteria","Generalists","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","0.0001105216622458"
"OTU67","Bacteria","Specialists","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea","0.0001105216622458"
"OTU225","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","Gp3","0.0020999115826702"
"OTU211","Bacteria","Generalists","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","0.00508399646330681"
"OTU600","Bacteria","Generalists","Proteobacteria","Gammaproteobacteria","Nevskiales","Steroidobacteraceae","uncl_Steroidobacteraceae","0.0001105216622458"
"OTU737","Bacteria","Generalists","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","uncl_Chitinophagaceae","0.000331564986737401"
"OTU9686","Bacteria","Specialists","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharothrix","0.0196728558797524"
"OTU3021","Bacteria","Generalists","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","uncl_Chitinophagaceae","0.0001105216622458"
"OTU2025","Bacteria","NS","Actinobacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","0.000442086648983201"
"OTU542","Bacteria","Generalists","Actinobacteria","Thermoleophilia","Solirubrobacterales","Parviterribacteraceae","uncl_Parviterribacteraceae","0.0017683465959328"
"OTU90705","Bacteria","NS","Proteobacteria","Deltaproteobacteria","Myxococcales","uncl_Myxococcales","uncl_Myxococcales","0.001105216622458"
"OTU410","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","0.000552608311229001"
"OTU1645","Bacteria","Specialists","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","0.0001105216622458"
"OTU422","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncl_Rhizobiales","uncl_Rhizobiales","0.0001105216622458"
"OTU8","Bacteria","Specialists","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","0.0751547303271441"
"OTU68","Bacteria","Generalists","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncl_Acidimicrobiales","uncl_Acidimicrobiales","0.00342617152961981"
"OTU229","Bacteria","Generalists","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","uncl_Gammaproteobacteria_incertae_sedis","Acidibacter","0.00696286472148541"
"OTU445","Bacteria","Generalists","Actinobacteria","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium","0.000331564986737401"
"OTU612","Bacteria","Generalists","Proteobacteria","Deltaproteobacteria","Myxococcales","uncl_Myxococcales","uncl_Myxococcales","0.0002210433244916"
"OTU1452","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6","0.000552608311229001"
"OTU278","Bacteria","Generalists","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Flavitalea","0.0001105216622458"
"OTU34","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","0.0024314765694076"
"OTU1258","Bacteria","Generalists","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","0.0001105216622458"
"OTU131","Bacteria","Generalists","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","Aridibacter","0.000773651635720601"
"OTU501","Bacteria","Specialists","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6","0.000331564986737401"
"OTU1246","Bacteria","Generalists","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","uncl_Rhodanobacteraceae","0.000663129973474801"
"OTU606","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp10","uncl_Acidobacteria_Gp10","uncl_Acidobacteria_Gp10","Gp10","0.000773651635720601"
"OTU4888","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp16","uncl_Acidobacteria_Gp16","uncl_Acidobacteria_Gp16","Gp16","0.0001105216622458"
"OTU540","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","uncl_Erythrobacteraceae","0.0001105216622458"
"OTU55","Bacteria","Specialists","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","Saccharibacteria_genera_incertae_sedis","0.013815207780725"
"OTU154","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","uncl_Bradyrhizobiaceae","0.000884173297966401"
"OTU7","Bacteria","Specialists","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","0.000994694960212202"
"OTU202","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Pseudorhodoplanes","0.000552608311229001"
"OTU25207","Bacteria","NS","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","0.00419982316534041"
"OTU1245","Bacteria","Generalists","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","0.000442086648983201"
"OTU27199","Bacteria","NS","candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","WPS-1_genera_incertae_sedis","0.0001105216622458"
"OTU317","Bacteria","Generalists","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","0.000331564986737401"
"OTU1231","Bacteria","Generalists","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","uncl_Chitinophagaceae","0.000663129973474801"
"OTU1852","Bacteria","Generalists","Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","0.0002210433244916"
