"","Domain","Sign","Phylum","Class","Order","Family","Genus","X1351_1609","X1351_1610","X1351_1611","X1351_1600","X1351_1602","X1351_1604","X1351_1605","X1351_1606","X1351_1607","X1351_667"
"OTU2168","Bacteria","Generalists","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","0","0","0","0","0","0.0002210433244916","0","0.0001105216622458","0.000552608311229001","0"
"OTU159","Bacteria","Generalists","Actinobacteria","Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia","0.000552608311229001","0","0","0.0002210433244916","0.0002210433244916","0","0.0001105216622458","0","0.0001105216622458","0.0001105216622458"
"OTU4389","Bacteria","Generalists","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","uncl_Gemmatimonadales","uncl_Gemmatimonadales","0","0.0001105216622458","0","0.0001105216622458","0","0","0","0.0001105216622458","0","0"
"OTU5607","Bacteria","Generalists","Proteobacteria","Gammaproteobacteria","Nevskiales","Steroidobacteraceae","Steroidobacter","0","0.0001105216622458","0.0001105216622458","0","0","0","0","0","0","0"
"OTU2805","Bacteria","Generalists","Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","0","0","0","0","0.0001105216622458","0","0.0002210433244916","0","0","0"
"OTU1531","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncl_Rhodospirillales","uncl_Rhodospirillales","0.000331564986737401","0","0.0001105216622458","0.0002210433244916","0.0002210433244916","0","0","0","0","0"
"OTU51570","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","uncl_Sphingomonadaceae","0.0002210433244916","0","0","0","0","0","0","0","0","0"
"OTU5253","Bacteria","Generalists","Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","0","0","0.000331564986737401","0.000663129973474801","0.0001105216622458","0","0.001105216622458","0.000442086648983201","0.000552608311229001","0.0002210433244916"
"OTU3443","Bacteria","Generalists","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","uncl_Isosphaeraceae","0","0","0.0001105216622458","0","0","0","0","0","0","0"
"OTU23697","Bacteria","Generalists","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","uncl_Polyangiaceae","0.0001105216622458","0","0.0001105216622458","0.0001105216622458","0.0001105216622458","0","0","0.000773651635720601","0","0.0001105216622458"
"OTU2853","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","0.000331564986737401","0.0001105216622458","0.0001105216622458","0.000884173297966401","0.000442086648983201","0","0","0","0","0.0001105216622458"
"OTU2354","Bacteria","Generalists","Verrucomicrobia","Subdivision3","uncl_Subdivision3","uncl_Subdivision3","Subdivision3_genera_incertae_sedis","0","0","0","0","0.0001105216622458","0","0","0.0001105216622458","0","0"
"OTU2287","Bacteria","Generalists","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncl_Gemmatimonadaceae","0.0002210433244916","0.0001105216622458","0.0001105216622458","0","0","0.0001105216622458","0","0.0001105216622458","0.0002210433244916","0"
"OTU8401","Bacteria","Generalists","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","0","0","0","0","0","0","0","0.0001105216622458","0","0"
"OTU54177","Bacteria","Generalists","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora","0","0","0.000331564986737401","0","0","0","0","0","0","0"
"OTU6538","Bacteria","Specialists","Proteobacteria","Deltaproteobacteria","Myxococcales","uncl_Myxococcales","uncl_Myxococcales","0.0001105216622458","0","0","0","0","0","0","0","0","0"
