"","Taxa","Occurrence","Domain","Phylum","Class","Order","Family","Genus"
"OTU7183","OTU7183",0.186046511627907,"Bacteria","Verrucomicrobia","Terrimicrobia","Terrimicrobiales","uncl_Terrimicrobiales","uncl_Terrimicrobiales"
"OTU4182","OTU4182",0.0116279069767442,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Xanthomarina"
"OTU4868","OTU4868",0.244186046511628,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Alsobacteraceae","uncl_Alsobacteraceae"
"OTU1093","OTU1093",0.0581395348837209,"Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","Candidatus_Koribacter"
"OTU706","OTU706",1,"Bacteria","Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes"
"OTU13014","OTU13014",0.453488372093023,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles"
"OTU24204","OTU24204",0.174418604651163,"Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"OTU272","OTU272",0.244186046511628,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Azospirillum"
"OTU645","OTU645",0.290697674418605,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","uncl_Planococcaceae"
"OTU17904","OTU17904",0.104651162790698,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Byssovorax"
"OTU370","OTU370",0.186046511627907,"Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Ferrovibrio"
"OTU2660","OTU2660",0.0116279069767442,"Bacteria","candidate_division_WPS-2","uncl_candidate_division_WPS-2","uncl_candidate_division_WPS-2","uncl_candidate_division_WPS-2","WPS-2_genera_incertae_sedis"
"OTU29123","OTU29123",0.593023255813954,"Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Sphaerisporangium"
"OTU4484","OTU4484",0.0116279069767442,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Seohaeicola"
"OTU5642","OTU5642",0.0813953488372093,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","uncl_Beijerinckiaceae"
"OTU343","OTU343",0.36046511627907,"Bacteria","Verrucomicrobia","Terrimicrobia","uncl_Terrimicrobia","uncl_Terrimicrobia","uncl_Terrimicrobia"
"OTU6512","OTU6512",0.0465116279069767,"Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"OTU2934","OTU2934",0.523255813953488,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"OTU2279","OTU2279",0.0116279069767442,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"OTU883","OTU883",0.174418604651163,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Polyangium"
"OTU844","OTU844",0.593023255813954,"Bacteria","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3"
"OTU11074","OTU11074",0.418604651162791,"Bacteria","Acidobacteria","Acidobacteria_Gp5","uncl_Acidobacteria_Gp5","uncl_Acidobacteria_Gp5","Gp5"
"OTU10472","OTU10472",0.0116279069767442,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Rheinheimera"
"OTU102","OTU102",1,"Bacteria","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","Saccharibacteria_genera_incertae_sedis"
"OTU7709","OTU7709",0.0232558139534884,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Actinopolymorphaceae","Actinopolymorpha"
"OTU658","OTU658",0.104651162790698,"Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","Occallatibacter"
"OTU5099","OTU5099",0.127906976744186,"Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Oleiharenicola"
"OTU2194","OTU2194",0.0232558139534884,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Chiayiivirga"
"OTU9562","OTU9562",0.22093023255814,"Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","Gp1"
"OTU11127","OTU11127",0.0116279069767442,"Archaea","Euryarchaeota","uncl_Euryarchaeota","uncl_Euryarchaeota","uncl_Euryarchaeota","uncl_Euryarchaeota"
"OTU10259","OTU10259",0.116279069767442,"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","uncl_Armatimonadales","uncl_Armatimonadales"
"OTU438","OTU438",0.290697674418605,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Panacibacter"
"OTU3973","OTU3973",0.0930232558139535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"OTU524","OTU524",0.162790697674419,"Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","uncl_Ktedonobacterales","uncl_Ktedonobacterales"
"OTU1096","OTU1096",0.0930232558139535,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
"OTU12664","OTU12664",0.0116279069767442,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Psychrobacillus"
"OTU9703","OTU9703",0.0116279069767442,"Bacteria","Proteobacteria","Oligoflexia","Oligoflexales","Pseudobacteriovoracaceae","uncl_Pseudobacteriovoracaceae"
"OTU2334","OTU2334",0.0348837209302326,"Bacteria","Acidobacteria","Acidobacteria_Gp11","uncl_Acidobacteria_Gp11","uncl_Acidobacteria_Gp11","Gp11"
"OTU980","OTU980",0.244186046511628,"Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","Tepidisphaera"
"OTU13067","OTU13067",0.0116279069767442,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","Singulisphaera"
"OTU4516","OTU4516",0.27906976744186,"Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","uncl_Longimicrobiales","uncl_Longimicrobiales"
"OTU5822","OTU5822",0.0348837209302326,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Aquipuribacter"
"OTU23895","OTU23895",0.13953488372093,"Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Kutzneria"
"OTU1045","OTU1045",0.337209302325581,"Bacteria","Acidobacteria","Acidobacteria_Gp25","uncl_Acidobacteria_Gp25","uncl_Acidobacteria_Gp25","Gp25"
"OTU2417","OTU2417",0.0465116279069767,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingosinicellaceae","uncl_Sphingosinicellaceae"
"OTU12727","OTU12727",0.0232558139534884,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Telmatospirillum"
"OTU1838","OTU1838",0.0697674418604651,"Bacteria","Firmicutes","Bacilli","Bacillales","uncl_Bacillales","uncl_Bacillales"
"OTU35556","OTU35556",0.0232558139534884,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum"
"OTU17167","OTU17167",0.127906976744186,"Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","uncl_Chlamydiales","uncl_Chlamydiales"
"OTU3529","OTU3529",0.0348837209302326,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"OTU1506","OTU1506",0.116279069767442,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Beijerinckia"
"OTU747","OTU747",0.0930232558139535,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"OTU10159","OTU10159",0.0116279069767442,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia"
"OTU31549","OTU31549",0.0116279069767442,"Bacteria","Acidobacteria","Acidobacteria_Gp20","uncl_Acidobacteria_Gp20","uncl_Acidobacteria_Gp20","Gp20"
"OTU1673","OTU1673",0.255813953488372,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Sediminibacterium"
"OTU14854","OTU14854",0.244186046511628,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","uncl_Enterobacteriaceae"
"OTU11845","OTU11845",0.0697674418604651,"Bacteria","Rhodothermaeota","Rhodothermia","Rhodothermales","Rubricoccaceae","Rubrivirga"
"OTU13486","OTU13486",0.0465116279069767,"Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae_1","uncl_Thermoactinomycetaceae_1"
"OTU1162","OTU1162",0.0581395348837209,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Domibacillus"
"OTU3182","OTU3182",0.779069767441861,"Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Roseisolibacter"
"OTU3610","OTU3610",0.0348837209302326,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","uncl_Geobacteraceae"
"OTU1716","OTU1716",0.0930232558139535,"Bacteria","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora"
"OTU7433","OTU7433",0.0116279069767442,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter"
"OTU65528","OTU65528",0.0930232558139535,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Paraflavitalea"
"OTU1373","OTU1373",0.116279069767442,"Bacteria","Actinobacteria","Actinobacteria","Jiangellales","Jiangellaceae","Jiangella"
"OTU8921","OTU8921",0.0581395348837209,"Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae","uncl_Nevskiaceae"
"OTU8388","OTU8388",0.162790697674419,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Cohnella"
"OTU13191","OTU13191",0.0581395348837209,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium"
"OTU61067","OTU61067",0.127906976744186,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncl_Xanthobacteraceae"
"OTU635","OTU635",0.313953488372093,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
"OTU3669","OTU3669",0.0930232558139535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Caldovatus"
"OTU10597","OTU10597",0.0465116279069767,"Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","uncl_Rhodocyclales","uncl_Rhodocyclales"
"OTU4309","OTU4309",0.0116279069767442,"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","uncl_Micropepsales","uncl_Micropepsales"
"OTU4142","OTU4142",0.186046511627907,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","uncl_Hymenobacteraceae"
"OTU77923","OTU77923",0.151162790697674,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","uncl_Caulobacterales","uncl_Caulobacterales"
"OTU4043","OTU4043",0.0348837209302326,"Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosospira"
"OTU11758","OTU11758",0.0348837209302326,"Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas"
"OTU1745","OTU1745",0.0232558139534884,"Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae","Nevskia"
"OTU2870","OTU2870",0.13953488372093,"Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","uncl_Mycobacteriales","uncl_Mycobacteriales"
"OTU122","OTU122",0.174418604651163,"Bacteria","Acidobacteria","Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","Gp2"
"OTU5268","OTU5268",0.0813953488372093,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia"
"OTU4002","OTU4002",0.162790697674419,"Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","uncl_Methylophilaceae"
"OTU613","OTU613",0.0697674418604651,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus"
"OTU92016","OTU92016",0.0465116279069767,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Roseiarcaceae","uncl_Roseiarcaceae"
"OTU917","OTU917",0.0348837209302326,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"OTU13728","OTU13728",0.0348837209302326,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Flaviaesturariibacter"
"OTU50191","OTU50191",0.0116279069767442,"Bacteria","Abditibacteriota","Abditibacteria","uncl_Abditibacteria","uncl_Abditibacteria","uncl_Abditibacteria"
"OTU811","OTU811",0.0930232558139535,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria"
"OTU1033","OTU1033",0.604651162790698,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Fluviicola"
"OTU49250","OTU49250",0.0116279069767442,"Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_I","Aliterella"
"OTU45579","OTU45579",0.27906976744186,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","uncl_Bacillaceae_1"
"OTU94283","OTU94283",0.0232558139534884,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","Aquisphaera"
"OTU1063","OTU1063",0.0930232558139535,"Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","uncl_Chthonomonadaceae"
"OTU564","OTU564",0.0348837209302326,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Puia"
"OTU34544","OTU34544",0.0581395348837209,"Bacteria","BRC1","uncl_BRC1","uncl_BRC1","uncl_BRC1","uncl_BRC1"
"OTU3158","OTU3158",0.0930232558139535,"Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Hamadaea"
"OTU15956","OTU15956",0.0465116279069767,"Bacteria","Bacteroidetes","Flavobacteriia","uncl_Flavobacteriia","uncl_Flavobacteriia","uncl_Flavobacteriia"
"OTU13299","OTU13299",0.244186046511628,"Bacteria","Verrucomicrobia","Subdivision3","uncl_Subdivision3","uncl_Subdivision3","uncl_Subdivision3"
"OTU6270","OTU6270",0.0930232558139535,"Bacteria","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria"
"OTU51747","OTU51747",0.0116279069767442,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillales_incertae_sedis","Pseudohongiella"
"OTU2043","OTU2043",0.0581395348837209,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_2","Oxalophagus"
"OTU5770","OTU5770",0.0232558139534884,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"OTU3837","OTU3837",0.0232558139534884,"Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","Ktedonobacter"
"OTU2801","OTU2801",0.104651162790698,"Bacteria","Chloroflexi","Caldilineae","Caldilineales","uncl_Caldilineales","uncl_Caldilineales"
"OTU222","OTU222",0.0581395348837209,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"OTU6750","OTU6750",0.0348837209302326,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Diplorickettsia"
"OTU4522","OTU4522",0.0465116279069767,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Bogoriellaceae","Georgenia"
"OTU3517","OTU3517",0.0348837209302326,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Actinopolymorphaceae","Flindersiella"
"OTU5472","OTU5472",0.0232558139534884,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Arvibacter"
"OTU3778","OTU3778",0.0116279069767442,"Bacteria","Balneolaeota","Balneolia","Balneolales","Balneolaceae","Balneola"
"OTU1286","OTU1286",0.0232558139534884,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia"
"OTU17541","OTU17541",0.0116279069767442,"Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_I","Halotia"
"OTU17374","OTU17374",0.0116279069767442,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","uncl_Cryomorphaceae"
"OTU12616","OTU12616",0.0348837209302326,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Cnuella"
"OTU2058","OTU2058",0.0697674418604651,"Bacteria","Chloroflexi","Chloroflexia","uncl_Chloroflexia","uncl_Chloroflexia","uncl_Chloroflexia"
"OTU245","OTU245",0.0581395348837209,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella"
"OTU11348","OTU11348",0.0465116279069767,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina"
"OTU9271","OTU9271",0.0581395348837209,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Phragmitibacter"
"OTU3061","OTU3061",0.0813953488372093,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncl_Alcaligenaceae"
"OTU39872","OTU39872",0.0116279069767442,"Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","uncl_Entomoplasmatales","uncl_Entomoplasmatales"
"OTU28465","OTU28465",0.0116279069767442,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Latilactobacillus"
"OTU474","OTU474",0.0232558139534884,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Ancylobacter"
"OTU7853","OTU7853",0.0465116279069767,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Brevifollis"
"OTU1138","OTU1138",0.0116279069767442,"Bacteria","Actinobacteria","Actinobacteria","Catenulisporales","Actinospicaceae","Actinospica"
"OTU21220","OTU21220",0.0116279069767442,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermacoccaceae","Luteipulveratus"
"OTU3694","OTU3694",0.0116279069767442,"Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","Methylovorus"
"OTU17077","OTU17077",0.0581395348837209,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","uncl_Coxiellaceae"
"OTU1173","OTU1173",0.0581395348837209,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Tagaea"
"OTU69119","OTU69119",0.0581395348837209,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Mesobacillus"
"OTU1589","OTU1589",0.0232558139534884,"Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae","Hydrocarboniphaga"
"OTU3788","OTU3788",0.0465116279069767,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","Limnoglobus"
"OTU11377","OTU11377",0.0232558139534884,"Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Nocardiopsaceae","Nocardiopsis"
"OTU4578","OTU4578",0.0232558139534884,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_XII","Exiguobacterium"
"OTU342","OTU342",0.116279069767442,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Fictibacillus"
"OTU6715","OTU6715",0.0116279069767442,"Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Nocardiaceae","uncl_Nocardiaceae"
"OTU23870","OTU23870",0.0465116279069767,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","uncl_Rickettsiaceae"
"OTU80","OTU80",0.0116279069767442,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","Pleomorphomonas"
"OTU336","OTU336",0.651162790697674,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","uncl_Azospirillaceae"
"OTU3628","OTU3628",0.186046511627907,"Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus"
"OTU6293","OTU6293",0.116279069767442,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio"
"OTU19442","OTU19442",0.0232558139534884,"Bacteria","Rhodothermaeota","Rhodothermia","Rhodothermales","Rubricoccaceae","uncl_Rubricoccaceae"
"OTU2943","OTU2943",0.0930232558139535,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Brevibacillus"
"OTU13030","OTU13030",0.0232558139534884,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Paracnuella"
"OTU8967","OTU8967",0.255813953488372,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Oscillochloridaceae","uncl_Oscillochloridaceae"
"OTU4876","OTU4876",0.0116279069767442,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga"
"OTU23121","OTU23121",0.0116279069767442,"Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora"
"OTU13320","OTU13320",0.0348837209302326,"Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae_1","Shimazuella"
"OTU17437","OTU17437",0.104651162790698,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","uncl_Micrococcales","uncl_Micrococcales"
"OTU483","OTU483",0.0930232558139535,"Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","Methylophilus"
"OTU8817","OTU8817",0.0813953488372093,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter"
"OTU4105","OTU4105",0.0232558139534884,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter"
"OTU1267","OTU1267",0.0232558139534884,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Trinickia"
"OTU17827","OTU17827",0.0232558139534884,"Bacteria","Bacteroidetes","Saprospiria","uncl_Saprospiria","uncl_Saprospiria","uncl_Saprospiria"
"OTU9782","OTU9782",0.0697674418604651,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Emticicia"
"OTU1651","OTU1651",0.0581395348837209,"Bacteria","Proteobacteria","Oligoflexia","Oligoflexales","Oligoflexaceae","Oligoflexus"
"OTU29096","OTU29096",0.0232558139534884,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","uncl_Streptomycetaceae"
"OTU18216","OTU18216",0.0232558139534884,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_XI","Gemella"
"OTU2231","OTU2231",0.0116279069767442,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia"
"OTU4505","OTU4505",0.0697674418604651,"Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Dictyobacteraceae","uncl_Dictyobacteraceae"
"OTU4201","OTU4201",0.0116279069767442,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospirillum"
"OTU1948","OTU1948",0.0116279069767442,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionicimonas"
"OTU11930","OTU11930",0.0581395348837209,"Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","uncl_Nitrosomonadales","uncl_Nitrosomonadales"
"OTU18838","OTU18838",0.0116279069767442,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Rubritepida"
"OTU8340","OTU8340",0.0116279069767442,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Cloacibacterium"
"OTU4871","OTU4871",0.0348837209302326,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Anaeromyxobacteraceae","uncl_Anaeromyxobacteraceae"
"OTU74129","OTU74129",0.0116279069767442,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","uncl_Legionellaceae"
"OTU15539","OTU15539",0.0116279069767442,"Bacteria","Acidobacteria","Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7"
"OTU27117","OTU27117",0.0116279069767442,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","uncl_Hyphomonadaceae"
"OTU2866","OTU2866",0.186046511627907,"Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","uncl_Nevskiales","uncl_Nevskiales"
"OTU16984","OTU16984",0.0465116279069767,"Bacteria","Proteobacteria","Oligoflexia","Silvanigrellales","Silvanigrellaceae","Silvanigrella"
"OTU983","OTU983",0.104651162790698,"Bacteria","Chloroflexi","Ktedonobacteria","uncl_Ktedonobacteria","uncl_Ktedonobacteria","uncl_Ktedonobacteria"
"OTU3450","OTU3450",0.0232558139534884,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Lacibacter"
"OTU6057","OTU6057",0.0697674418604651,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Parasegetibacter"
"OTU2690","OTU2690",0.0813953488372093,"Bacteria","Latescibacteria","uncl_Latescibacteria","uncl_Latescibacteria","uncl_Latescibacteria","Latescibacteria_genera_incertae_sedis"
"OTU2273","OTU2273",0.174418604651163,"Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Arenimicrobiaceae","Brevitalea"
"OTU48946","OTU48946",0.0465116279069767,"Bacteria","Chloroflexi","Caldilineae","uncl_Caldilineae","uncl_Caldilineae","uncl_Caldilineae"
"OTU3926","OTU3926",0.0348837209302326,"Bacteria","Acidobacteria","Acidobacteria_Gp22","uncl_Acidobacteria_Gp22","uncl_Acidobacteria_Gp22","Gp22"
"OTU3070","OTU3070",0.0465116279069767,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus"
"OTU4767","OTU4767",0.0465116279069767,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Ancalomicrobiaceae","Prosthecomicrobium"
"OTU8824","OTU8824",0.0348837209302326,"Bacteria","Latescibacteria","uncl_Latescibacteria","uncl_Latescibacteria","uncl_Latescibacteria","uncl_Latescibacteria"
