"","Taxa","Occurrence","Domain","Phylum","Class","Order","Family","Genus"
"OTU2130","OTU2130",0.441860465116279,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter"
"OTU32297","OTU32297",0.325581395348837,"Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia"
"OTU13536","OTU13536",0.0232558139534884,"Bacteria","Deinococcus-Thermus","uncl_Deinococcus-Thermus","uncl_Deinococcus-Thermus","uncl_Deinococcus-Thermus","uncl_Deinococcus-Thermus"
"OTU398","OTU398",0.290697674418605,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Tahibacter"
"OTU1307","OTU1307",0.662790697674419,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","uncl_Myxococcaceae"
"OTU78971","OTU78971",0.0581395348837209,"Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Allocatelliglobosispora"
"OTU9469","OTU9469",0.0232558139534884,"Bacteria","Chloroflexi","Anaerolineae","uncl_Anaerolineae","uncl_Anaerolineae","uncl_Anaerolineae"
"OTU1539","OTU1539",0.255813953488372,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Novosphingobium"
"OTU85","OTU85",0.674418604651163,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"OTU214","OTU214",0.767441860465116,"Bacteria","Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes"
"OTU2715","OTU2715",0.569767441860465,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","uncl_Verrucomicrobiaceae"
"OTU2042","OTU2042",0.476744186046512,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Edaphobaculum"
"OTU2094","OTU2094",0.569767441860465,"Bacteria","Parcubacteria","uncl_Parcubacteria","uncl_Parcubacteria","uncl_Parcubacteria","Parcubacteria_genera_incertae_sedis"
"OTU2953","OTU2953",0.802325581395349,"Bacteria","Gemmatimonadetes","Gemmatimonadetes","uncl_Gemmatimonadetes","uncl_Gemmatimonadetes","uncl_Gemmatimonadetes"
"OTU3991","OTU3991",0.372093023255814,"Bacteria","Parcubacteria","uncl_Parcubacteria","uncl_Parcubacteria","uncl_Parcubacteria","uncl_Parcubacteria"
"OTU2570","OTU2570",0.209302325581395,"Bacteria","Gemmatimonadetes","Longimicrobia","uncl_Longimicrobia","uncl_Longimicrobia","uncl_Longimicrobia"
"OTU71768","OTU71768",0.523255813953488,"Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","uncl_Micromonosporales","uncl_Micromonosporales"
"OTU23769","OTU23769",0.116279069767442,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Larkinella"
"OTU22","OTU22",0.0697674418604651,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia"
"OTU3054","OTU3054",0.674418604651163,"Bacteria","Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia"
"OTU1317","OTU1317",0.372093023255814,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","uncl_Chloroflexales","uncl_Chloroflexales"
"OTU3059","OTU3059",0.127906976744186,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Chelatococcaceae","Chelatococcus"
"OTU2239","OTU2239",0.604651162790698,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","uncl_Iamiaceae"
"OTU38","OTU38",0.302325581395349,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Luteibacter"
"OTU572","OTU572",0.837209302325581,"Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas/Armatimonadetes_gp3"
"OTU146","OTU146",0.988372093023256,"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Niastella"
"OTU869","OTU869",0.372093023255814,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Oscillochloridaceae","Oscillochloris"
"OTU2932","OTU2932",0.13953488372093,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Patulibacteraceae","Patulibacter"
"OTU2263","OTU2263",0.372093023255814,"Bacteria","Planctomycetes","Phycisphaerae","uncl_Phycisphaerae","uncl_Phycisphaerae","uncl_Phycisphaerae"
"OTU325","OTU325",0.383720930232558,"Bacteria","Verrucomicrobia","Terrimicrobia","Terrimicrobiales","Terrimicrobiaceae","Terrimicrobium"
"OTU274","OTU274",0.581395348837209,"Bacteria","Acidobacteria","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacter"
"OTU10848","OTU10848",0.0697674418604651,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","uncl_Haliangiaceae"
"OTU8141","OTU8141",0.104651162790698,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","uncl_Bdellovibrionaceae"
"OTU13956","OTU13956",0.0465116279069767,"Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","uncl_Acidiferrobacteraceae"
"OTU459","OTU459",0.162790697674419,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","uncl_Promicromonosporaceae"
"OTU4975","OTU4975",0.36046511627907,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","uncl_Frankiales","uncl_Frankiales"
"OTU294","OTU294",0.976744186046512,"Bacteria","Acidobacteria","Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","Gp4"
"OTU310","OTU310",0.453488372093023,"Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Streptosporangium"
"OTU609","OTU609",0.174418604651163,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Psychroglaciecola"
"OTU4343","OTU4343",0.383720930232558,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter"
"OTU95492","OTU95492",0.0348837209302326,"Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Lacipirellulaceae","Bythopirellula"
"OTU21070","OTU21070",0.0232558139534884,"Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Lacipirellulaceae","uncl_Lacipirellulaceae"
"OTU4538","OTU4538",0.197674418604651,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","uncl_Cytophagaceae"
"OTU3960","OTU3960",0.395348837209302,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Blastochloridaceae","Blastochloris"
"OTU3251","OTU3251",0.209302325581395,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","uncl_Sandaracinaceae"
"OTU2368","OTU2368",0.13953488372093,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"OTU1106","OTU1106",0.720930232558139,"Bacteria","candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1"
"OTU243","OTU243",0.5,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"OTU25704","OTU25704",0.395348837209302,"Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","uncl_Streptosporangiales","uncl_Streptosporangiales"
"OTU4036","OTU4036",0.395348837209302,"Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","uncl_Blastocatellales","uncl_Blastocatellales"
"OTU7706","OTU7706",0.13953488372093,"Bacteria","Bacteroidetes","Chitinophagia","uncl_Chitinophagia","uncl_Chitinophagia","uncl_Chitinophagia"
"OTU47","OTU47",0.965116279069767,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Reyranellaceae","Reyranella"
"OTU1655","OTU1655",0.720930232558139,"Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria"
"OTU13468","OTU13468",0.302325581395349,"Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Lacunisphaera"
"OTU279","OTU279",0.965116279069767,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","uncl_Cytophagales","uncl_Cytophagales"
"OTU7325","OTU7325",0.0348837209302326,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas"
"OTU2118","OTU2118",0.232558139534884,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","uncl_Chromatiales","uncl_Chromatiales"
"OTU141","OTU141",0.395348837209302,"Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","uncl_Streptosporangiaceae"
"OTU96770","OTU96770",0.0465116279069767,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Nitratireductor"
"OTU1760","OTU1760",0.186046511627907,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","uncl_Kaistiaceae"
"OTU100459","OTU100459",0.267441860465116,"Bacteria","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","Candidatus_Solibacter"
"OTU121","OTU121",0.825581395348837,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus"
"OTU2797","OTU2797",0.325581395348837,"Bacteria","Acidobacteria","Acidobacteria_Gp10","uncl_Acidobacteria_Gp10","uncl_Acidobacteria_Gp10","uncl_Acidobacteria_Gp10"
"OTU16913","OTU16913",0.0116279069767442,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Haliea"
"OTU31345","OTU31345",0.534883720930233,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","uncl_Solirubrobacteraceae"
"OTU3114","OTU3114",0.0930232558139535,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus"
"OTU133","OTU133",0.488372093023256,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium"
"OTU47781","OTU47781",0.0930232558139535,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","uncl_Bdellovibrionales","uncl_Bdellovibrionales"
"OTU2913","OTU2913",0.569767441860465,"Bacteria","Proteobacteria","Oligoflexia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter"
"OTU481","OTU481",0.290697674418605,"Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus"
"OTU4574","OTU4574",0.0348837209302326,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Roseivirgaceae","Roseivirga"
"OTU504","OTU504",0.0348837209302326,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Roseiarcaceae","Roseiarcus"
"OTU2489","OTU2489",0.27906976744186,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Aquihabitans"
"OTU3410","OTU3410",0.372093023255814,"Bacteria","Microgenomates","uncl_Microgenomates","uncl_Microgenomates","uncl_Microgenomates","Microgenomates_genera_incertae_sedis"
"OTU3117","OTU3117",0.151162790697674,"Bacteria","Firmicutes","uncl_Firmicutes","uncl_Firmicutes","uncl_Firmicutes","uncl_Firmicutes"
"OTU103","OTU103",0.0930232558139535,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia"
"OTU2377","OTU2377",0.151162790697674,"Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","uncl_Rubrobacterales","uncl_Rubrobacterales"
"OTU70","OTU70",0.186046511627907,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Caballeronia"
"OTU223","OTU223",0.127906976744186,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"OTU1680","OTU1680",0.976744186046512,"Bacteria","Verrucomicrobia","Subdivision3","uncl_Subdivision3","uncl_Subdivision3","Subdivision3_genera_incertae_sedis"
"OTU1615","OTU1615",0.825581395348837,"Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","uncl_Pirellulales","uncl_Pirellulales"
"OTU41275","OTU41275",0.0116279069767442,"Bacteria","Acidobacteria","Acidobacteria_Gp15","uncl_Acidobacteria_Gp15","uncl_Acidobacteria_Gp15","Gp15"
"OTU1732","OTU1732",0.104651162790698,"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","uncl_Micropepsaceae"
"OTU386","OTU386",0.813953488372093,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"OTU2712","OTU2712",0.116279069767442,"Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Nocardiaceae","Rhodococcus"
"OTU1418","OTU1418",0.0465116279069767,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Cystobacter"
"OTU2217","OTU2217",0.0116279069767442,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas"
