"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU8225",7,5.244,3,7,"NS"
"OTU1965",9,16.536,13,20.525,"Specialists"
"OTU1342",7,7.986,6,10,"NS"
"OTU1483",15,19.486,15,24,"NS"
"OTU194",52,51.78,45,59,"NS"
"OTU18896",15,10.65,8,14,"Generalists"
"OTU2069",26,17.54,13,22,"Generalists"
"OTU19054",7,8.436,6,11,"NS"
"OTU934",54,28.06,23,33,"Generalists"
"OTU9391",4,5.854,4,8,"NS"
"OTU55580",6,5.728,4,8,"NS"
"OTU1263",48,25.308,21,30,"Generalists"
"OTU3554",7,5.242,3,7,"NS"
"OTU6341",36,28.602,23,34,"Generalists"
"OTU375",42,34.55,29,41,"Generalists"
"OTU4554",6,8.464,6,11,"NS"
"OTU44962",49,30.396,25,36,"Generalists"
"OTU1365",11,22.804,18,28,"Specialists"
"OTU1203",25,23.706,19,28,"NS"
"OTU30407",15,26.794,22,32,"Specialists"
"OTU6593",13,11.682,8,15,"NS"
"OTU3013",8,7.14,5,9,"NS"
"OTU7069",5,4.726,3,6,"NS"
"OTU4859",2,2.67,2,3,"NS"
"OTU4619",27,15.49,12,19,"Generalists"
"OTU9175",12,8.498,5.475,11,"Generalists"
"OTU5724",7,6.696,4,9,"NS"
"OTU2528",5,9.214,6,12,"Specialists"
"OTU1618",7,6.784,5,9,"NS"
"OTU3268",29,16.8,13,21,"Generalists"
"OTU3398",19,20.242,16,25,"NS"
"OTU1641",40,23.43,19,28.525,"Generalists"
"OTU7879",17,11.96,9,15,"Generalists"
"OTU7347",6,5.256,3,7,"NS"
"OTU1632",3,7.316,5,10,"Specialists"
"OTU5920",22,14.286,11,18,"Generalists"
"OTU6659",9,6.252,4,8,"Generalists"
"OTU2047",41,21.438,17,26,"Generalists"
"OTU529",31,20.45,16,25,"Generalists"
"OTU86",66,65.06,60,70,"NS"
"OTU52",34,37.71,33,44,"NS"
"OTU943",24,16.628,13,21,"Generalists"
"OTU249",32,40.89,35,47,"Specialists"
"OTU10335",3,2.674,2,3,"NS"
"OTU1646",21,13.32,10,17,"Generalists"
"OTU3972",20,15.278,12,19,"Generalists"
"OTU14094",3,2.724,2,3,"NS"
"OTU26531",8,5.81,4,8,"NS"
"OTU662",29,22.24,17.475,27,"Generalists"
"OTU8910",13,16.712,13,21,"NS"
"OTU664",21,16.074,12,20,"Generalists"
"OTU30887",19,12.532,9,16,"Generalists"
"OTU9445",15,13.294,10,17,"NS"
"OTU19",46,46.584,40,53,"NS"
"OTU1804",30,19.404,15,24,"Generalists"
"OTU7574",2,1.892,1,2,"NS"
"OTU2264",44,26.534,21.475,32,"Generalists"
"OTU5437",6,5.818,4,8,"NS"
"OTU3280",29,19.69,15,24,"Generalists"
"OTU2353",22,31.762,26,37,"Specialists"
"OTU2352",28,32.904,27,39,"NS"
"OTU5550",4,4.092,3,5,"NS"
"OTU280",58,36.83,31,43,"Generalists"
"OTU14293",7,5.806,4,7.52499999999998,"NS"
"OTU624",59,30.284,25,36,"Generalists"
"OTU722",32,22.718,18,28,"Generalists"
"OTU6112",22,15.542,12,20,"Generalists"
"OTU28632",42,36.468,31,43,"NS"
"OTU4263",2,1.884,1,2,"NS"
"OTU12342",6,7.25,5,10,"NS"
"OTU40714",11,8.454,6,11,"NS"
"OTU2423",21,18.112,14,22,"NS"
"OTU2825",21,15.174,11,19,"Generalists"
"OTU10769",9,9.85,7,13,"NS"
"OTU2555",4,4.072,3,5,"NS"
"OTU1284",12,10.218,8,13,"NS"
"OTU5666",15,13.082,10,17,"NS"
"OTU6351",8,6.824,5,9,"NS"
"OTU60941",12,11.996,8,15.525,"NS"
"OTU8315",5,4.07,3,5,"NS"
"OTU1488",13,11.27,8,15,"NS"
"OTU7113",6,5.722,4,8,"NS"
"OTU33626",31,21.62,17,27,"Generalists"
"OTU16578",13,15.804,12,20,"NS"
"OTU5760",22,18.816,14,23,"NS"
"OTU24194",9,6.31,4,8,"Generalists"
"OTU576",18,16.102,12,20,"NS"
"OTU3167",16,16.714,13,21,"NS"
"OTU3748",8,12.228,9,16,"Specialists"
"OTU76727",8,7.224,5,10,"NS"
"OTU3205",25,28.804,24,34,"NS"
"OTU4453",35,21.638,17,27,"Generalists"
"OTU1518",18,12.738,9,16,"Generalists"
"OTU331",36,21.476,17,26.525,"Generalists"
"OTU2513",35,25.7,21,30,"Generalists"
"OTU952",56,37.848,32,44,"Generalists"
"OTU56685",24,19.26,15,24,"NS"
"OTU3998",6,10.452,7,14,"Specialists"
"OTU1854",22,27.302,22,33,"NS"
"OTU312",37,37.678,32,44,"NS"
"OTU78726",25,18.718,14,23,"Generalists"
"OTU46149",9,6.418,4,8,"Generalists"
"OTU7053",2,2.684,2,3,"NS"
"OTU4943",3,2.652,2,3,"NS"
"OTU3511",9,9.304,6,12,"NS"
"OTU507",44,29.8,24,35,"Generalists"
"OTU34967",22,19.414,15,24,"NS"
"OTU2116",5,5.776,4,8,"NS"
"OTU3318",9,6.802,5,9,"NS"
"OTU34470",9,6.818,5,9,"NS"
"OTU58364",2,1.87,1,2,"NS"
"OTU1599",31,18.698,14,23,"Generalists"
"OTU2267",6,4.66,3,6,"NS"
"OTU14108",3,2.714,2,3,"NS"
"OTU7967",31,16.254,13,20,"Generalists"
"OTU17341",15,11.81,9,15,"NS"
"OTU127",54,30.148,24.475,36,"Generalists"
"OTU3549",17,15.008,11,18,"NS"
"OTU46604",29,24.52,20,29,"NS"
"OTU365",35,44.492,38,50.525,"Specialists"
"OTU3616",22,19.072,15,24,"NS"
"OTU1047",28,19.066,15,24,"Generalists"
"OTU468",25,35.316,29,41,"Specialists"
"OTU965",30,26.796,22,32,"NS"
"OTU20704",48,25.002,20,30,"Generalists"
"OTU61511",4,3.352,2,4,"NS"
"OTU4602",4,4.658,3,6,"NS"
"OTU652",36,33.818,28,40,"NS"
"OTU4223",19,15.6,12,20,"NS"
"OTU2474",12,8.556,6,11,"Generalists"
"OTU13152",7,6.792,4.475,9,"NS"
"OTU4264",13,12.55,9,16,"NS"
"OTU2119",19,18.036,14,23,"NS"
"OTU2874",27,17.364,13,22,"Generalists"
"OTU470",5,20.15,16,25,"Specialists"
"OTU74",56,44.844,39,50.525,"Generalists"
"OTU4077",4,4.086,2,5,"NS"
"OTU1384",30,24.562,20,30,"NS"
"OTU6141",6,6.32,4,8,"NS"
"OTU3645",4,4.056,3,5,"NS"
"OTU49423",3,2.686,2,3,"NS"
"OTU6290",25,18.096,14,22,"Generalists"
"OTU11850",2,2.716,2,3,"NS"
"OTU54781",11,8.938,6,12,"NS"
"OTU782",18,18.554,14,23,"NS"
"OTU4303",3,4.712,3,6,"NS"
"OTU71479",2,1.89,1,2,"NS"
"OTU11088",25,14.876,11,19,"Generalists"
"OTU1907",57,32.02,27,38,"Generalists"
"OTU185",54,34.216,29,40,"Generalists"
"OTU320",35,31.268,26,37,"NS"
"OTU1244",33,20.858,16.475,26,"Generalists"
"OTU1079",14,12.778,9.475,16,"NS"
"OTU324",22,29.954,24.475,35,"Specialists"
"OTU1816",31,20.614,16,25,"Generalists"
"OTU4558",7,8.532,6,11,"NS"
"OTU17944",12,8.834,6,12,"NS"
"OTU68533",26,30.56,25,36,"NS"
"OTU3401",14,16.872,13,21,"NS"
"OTU9",52,46.788,40,53,"NS"
"OTU6428",47,29.008,24,34,"Generalists"
"OTU33768",4,5.276,3,7,"NS"
"OTU3042",21,13.618,10,18,"Generalists"
"OTU2680",37,39.992,34,47,"NS"
"OTU2387",20,24.854,20,30,"NS"
"OTU8262",5,4.092,3,5,"NS"
"OTU896",21,16.742,13,21,"NS"
"OTU700",14,13.018,10,17,"NS"
"OTU928",46,28.096,23,34,"Generalists"
"OTU4984",6,10.572,7,13.525,"Specialists"
"OTU3218",15,10.464,7,13,"Generalists"
"OTU10797",3,2.696,2,3,"NS"
"OTU1400",20,14.298,11,18,"Generalists"
"OTU8829",6,5.256,3,7,"NS"
"OTU57339",18,23.984,19,29,"Specialists"
"OTU651",56,39.592,34,47,"Generalists"
"OTU10968",5,4.736,3,6,"NS"
"OTU3464",9,6.36,4,8,"Generalists"
"OTU830",31,27.578,23,33,"NS"
"OTU12049",11,8.472,6,11,"NS"
"OTU4012",4,5.9,4,8,"NS"
"OTU31155",6,5.78,4,8,"NS"
"OTU1195",29,15.924,12,20,"Generalists"
"OTU3538",8,6.808,5,9,"NS"
"OTU160",56,36.956,31,43,"Generalists"
"OTU11284",9,9.564,6,12,"NS"
"OTU2199",36,23.052,18,27,"Generalists"
"OTU49925",2,1.884,1,2,"NS"
"OTU1419",38,27.614,22,33,"Generalists"
"OTU1425",21,31.17,26,37,"Specialists"
"OTU1336",52,25.278,20,30,"Generalists"
"OTU2456",36,24.52,19,30,"Generalists"
"OTU71564",15,16.878,13,20.525,"NS"
"OTU18348",28,21.356,17,26,"Generalists"
"OTU999",24,24.536,19,29,"NS"
"OTU1859",57,35.94,30.475,42,"Generalists"
"OTU27267",17,23.07,18.475,27.525,"Specialists"
"OTU53604",8,5.784,4,8,"NS"
"OTU4637",13,11.052,8,14,"NS"
"OTU8780",42,47.974,41,54,"NS"
"OTU4258",4,6.332,4,8,"NS"
"OTU771",19,21.01,16,25,"NS"
"OTU14040",3,2.716,2,3,"NS"
"OTU1147",34,20.67,16,26,"Generalists"
"OTU3512",7,6.83,5,9,"NS"
"OTU1046",25,23.8,19,29,"NS"
"OTU42625",17,19.708,15.475,24,"NS"
"OTU18107",11,10.236,7,13.525,"NS"
"OTU74735",38,38.882,33,45,"NS"
"OTU19113",5,8.082,6,11,"Specialists"
"OTU78992",6,5.316,3,7,"NS"
"OTU4082",9,7.616,5,10,"NS"
"OTU1521",5,14.828,11,19,"Specialists"
"OTU5505",2,4.72,3,6,"Specialists"
"OTU2051",10,8.39,6,11,"NS"
"OTU834",43,35.052,29,41,"Generalists"
"OTU932",14,21.666,17,27,"Specialists"
"OTU484",25,28.9,23,35,"NS"
"OTU2895",11,8.778,6,11,"NS"
"OTU1198",30,17.428,13,22,"Generalists"
"OTU1882",33,17.386,13,22,"Generalists"
"OTU1058",62,43.884,38,50,"Generalists"
"OTU81498",45,32.256,27,38,"Generalists"
"OTU969",18,16.462,12,21,"NS"
"OTU14856",8,8.862,6,12,"NS"
"OTU1623",26,15.606,12,19.525,"Generalists"
"OTU11550",9,6.73,5,9,"NS"
"OTU5187",14,11.144,8,14,"NS"
"OTU4974",4,5.786,4,8,"NS"
"OTU6060",4,4.776,3,6,"NS"
"OTU2402",15,16.232,12,20,"NS"
"OTU1808",14,12.046,9,16,"NS"
"OTU30752",4,3.472,2,4,"NS"
"OTU473",40,34.788,29,40.525,"NS"
"OTU4399",20,13.986,10,18,"Generalists"
