"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU280",26,6.558,3,10,"Generalists"
"OTU181",3,2.836,1,5,"NS"
"OTU123",36,13.466,9,18.525,"Generalists"
"OTU10124",26,6.084,3,9,"Generalists"
"OTU437",19,9.74,6,14,"Generalists"
"OTU2688",4,6.986,4,11,"NS"
"OTU108",26,19.014,14,25,"Generalists"
"OTU4238",10,3.818,2,6,"Generalists"
"OTU5088",21,5.034,3,8,"Generalists"
"OTU5708",5,12.532,9,17,"Specialists"
"OTU263",31,11.95,7,16,"Generalists"
"OTU1252",26,8.14,5,12,"Generalists"
"OTU8314",22,4.748,3,8,"Generalists"
"OTU1485",25,5.682,3,9,"Generalists"
"OTU351",12,9.63,6,13,"NS"
"OTU3481",8,6.866,4,10,"NS"
"OTU1575",19,23.49,18,29,"NS"
"OTU11063",5,3.138,1,5,"NS"
"OTU2386",7,4.436,2,7,"NS"
"OTU1524",3,1.88,1,3,"NS"
"OTU6115",18,3.684,2,6,"Generalists"
"OTU40",31,36.226,30,43,"NS"
"OTU2787",4,2.976,1,5,"NS"
"OTU432",2,23.568,18,29.525,"Specialists"
"OTU876",32,12,8,17,"Generalists"
"OTU9657",13,4.132,2,7,"Generalists"
"OTU2222",6,1.984,1,4,"Generalists"
"OTU15",23,4.098,2,7,"Generalists"
"OTU673",25,6.502,3,10,"Generalists"
"OTU182",27,5.934,3,9.52499999999998,"Generalists"
"OTU2641",18,3.826,2,6,"Generalists"
"OTU8542",14,2.888,1,5,"Generalists"
"OTU2125",16,6.874,4,10,"Generalists"
"OTU12935",5,1.928,1,3,"Generalists"
"OTU73",24,4.328,2,7,"Generalists"
"OTU1642",22,5.55,3,9,"Generalists"
"OTU2285",14,3.674,2,6,"Generalists"
"OTU6345",7,2.47,1,4,"Generalists"
"OTU636",19,7.86,4,11,"Generalists"
"OTU6063",5,2.004,1,4,"Generalists"
"OTU154",3,4.198,2,7,"NS"
"OTU2642",18,4.11,2,7,"Generalists"
"OTU396",10,25.006,19,31.525,"Specialists"
"OTU1210",2,12.986,9,17,"Specialists"
"OTU1815",26,5.108,2,8,"Generalists"
"OTU2794",27,6.746,4,10,"Generalists"
"OTU3523",9,4.064,2,7,"Generalists"
"OTU682",6,2.332,1,4,"Generalists"
"OTU929",7,14.4,10,19,"Specialists"
"OTU3109",20,5.144,3,8,"Generalists"
"OTU1448",26,11.36,7,15,"Generalists"
"OTU422",12,15.724,11,20.525,"NS"
"OTU287",30,20.082,15,26,"Generalists"
"OTU776",4,3.444,2,6,"NS"
"OTU2467",17,6.076,3,9,"Generalists"
"OTU1643",8,3.77,2,6,"Generalists"
"OTU1156",5,12.64,8.475,18,"Specialists"
"OTU7766",35,8.098,5,12,"Generalists"
"OTU148",2,1.27,1,2,"NS"
"OTU4217",7,2.736,1,5,"Generalists"
"OTU10931",30,6.658,4,10,"Generalists"
"OTU1294",2,1.646,1,3,"NS"
"OTU13030",12,3.082,1,5,"Generalists"
"OTU5402",4,2.564,1,4,"NS"
"OTU1809",6,2.006,1,4,"Generalists"
"OTU14",33,17.032,12,22,"Generalists"
"OTU176",6,2.03,1,3.52499999999998,"Generalists"
"OTU223",6,2.358,1,4,"Generalists"
"OTU12045",23,4.438,2,7,"Generalists"
"OTU520",18,6.292,4,9,"Generalists"
"OTU9",20,3.52,2,6,"Generalists"
"OTU2378",2,8.12,5,13,"Specialists"
"OTU4911",5,2.66,1,5,"NS"
"OTU1383",10,2.596,1,4,"Generalists"
"OTU3283",2,2.218,1,4,"NS"
"OTU880",1,1.498,1,3,"NS"
"OTU143",13,19.694,15,25,"Specialists"
