"","X1351_1949","X1351_1950","X1351_1951","X1351_1940","X1351_1941","X1351_1942","X1351_1943","X1351_1944","X1351_1945","X1351_1946","X1351_1947","X1351_1948","X1351_673","X1351_677","X1351_678","X1351_1375","X1351_680","X1351_681","X1351_682","X1351_683","X1351_684","X1351_700","X1351_701","X1351_702","X1351_703","X1351_1335","X1351_621","X1351_622","X1351_623","X1351_625","X1351_615","X1351_616","X1351_617","X1351_619","X1351_1339","X1351_627","X1351_628","X1351_630","X1351_695","X1351_1751","X1351_1752","X1351_1753","X1351_1754","X1351_1755","X1351_1756","X1351_632","X1351_633","X1351_634","X1351_635","X1351_636","X1351_637","X1351_691","X1351_692","X1351_693","X1351_694","X1351_1348","X1351_1350","X1351_639","X1351_640","X1351_641","X1351_642","X1351_643","X1351_645","X1351_646","X1351_647","X1351_648","X1351_649","X1351_652","X1351_705","X1351_706","X1351_707","X1351_708","X1351_709","X1351_1432","X1351_667"
"OTU17",0.00155124653739612,0.00277284826974268,0.0122978063372479,0.00188365650969529,0.0147417424074485,0.0107514963422744,0.000886819643055094,0.000111135807957324,0,0.00542335362479247,0.0191710992907801,0.00133022946458264,0.000886524822695035,0.00267260579064588,0,0.00842478660902339,0.000332520505431168,0.00355832314022017,0.00758167019734642,0.000665631240292878,0.00288728484175458,0.00132802124833997,0.0011063170704724,0.020692707756999,0.0167053877641332,0.00643158128188068,0.0163934426229508,0.000221975582685905,0.0072142064372919,0.0103138516136187,0,0,0,0,0.0350877192982456,0.00288824705620973,0.0289292839725116,0.0211681259004766,0.00919667590027701,0.0311495399623102,0.00410245038252578,0.0003341873677175,0.0322329665444037,0,0.000110803324099723,0.00143805309734513,0.00777432252332297,0.00110950848773993,0.000443409821527547,0.00387897595034911,0,0.000332262709048621,0.00722623679822123,0.00343947631199379,0.000443508149462246,0,0,0,0,0,0,0,0,0,0.00011075423634954,0.000665188470066519,0.00510373904360368,0.0135030437188711,0.00320938468348827,0.0306755260243632,0.000110840168477056,0,0.000555123792605751,0.000332225913621262,0
"OTU1139",0.000221606648199446,0.000221827861579414,0.000332373144249945,0.000110803324099723,0,0,0,0,0,0.000221361372440509,0.000110815602836879,0.000221704910763773,0,0,0,0,0,0,0,0.000110938540048813,0,0.000110668437361664,0.000663790242283438,0.000110656191213898,0,0,0,0,0,0,0.000111049416990561,0.000110827884295689,0,0,0.000666222518321119,0.00199955565429904,0.000221680336954112,0.000554139421478444,0,0,0,0.000111395789239167,0,0,0.000110803324099723,0,0.00022212350066637,0,0,0.000332483652887066,0,0,0.000444691495275153,0,0,0,0,0.000222271615914648,0,0,0,0,0,0,0.00011075423634954,0.000554323725055432,0.000221901697547986,0,0,0,0,0,0,0,0
"OTU539",0.000443213296398892,0.000221827861579414,0,0.00110803324099723,0.000332520505431168,0.000110840168477056,0.000221704910763773,0.00100022227161591,0.000111160515784793,0,0,0,0.000664893617021277,0.00066815144766147,0.00033311125916056,0.00033255736614566,0.000110840168477056,0.000222395196263761,0.000445980599843907,0.000332815620146439,0.000111049416990561,0,0.00011063170704724,0,0,0.000554446662231093,0.000221533008418254,0.000332963374028857,0.000554938956714761,0.000110901630253965,0.000333148250971682,0.000110827884295689,0.000664672648720505,0.00066423115244105,0.00033311125916056,0.000444345700955343,0.000221680336954112,0,0,0.00033255736614566,0.000554385186827808,0.0003341873677175,0.000111148160497944,0.000110778774786751,0,0.000221238938053097,0.000666370501999112,0.000998557638965938,0.00066511473229132,0.000664967305774133,0.00111049416990561,0.00265810167238897,0.0018899388549194,0.00144236103406191,0.00210666370994567,0.000111160515784793,0.000445186421814135,0.000555679039786619,0.000670316165791532,0.000782647584973166,0.00133407448582546,0.000780118132174301,0.00122685701539148,0.000558846540739913,0,0.000221729490022173,0.000443803395095972,0.000110680686220255,0.00143868968570164,0.00044296788482835,0.000997561516293505,0.00166131354524311,0.000777173309648051,0.000775193798449612,0.000110692937790569
"OTU14859",0.0342382271468144,0.000110913930789707,0.000664746288499889,0,0,0.000443360673908224,0.000110852455381887,0,0.00211204979991107,0.000332042058660764,0,0.000221704910763773,0,0,0,0,0,0.000333592794395641,0.00100345634964879,0.000332815620146439,0,0.000221336874723329,0,0,0,0,0,0,0,0,0.000111049416990561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110803324099723,0.000774336283185841,0,0.000110950848773993,0.0259394745593615,0.000221655768591378,0,0.00011075423634954,0.000889382990550306,0.000332852546321979,0.000110877037365562,0,0.00222593210907067,0,0.000111719360965255,0,0.000555864369093941,0.00356625431851109,0.00022306491188936,0,0,0,0,0.000885445489762036,0.00741478530323152,0.000110741971207087,0.00055420084238528,0.000221508472699081,0.000555123792605751,0.00121816168327796,0
"OTU1133",0.00254847645429363,0.00110913930789707,0.00110791048083315,0.000997229916897507,0.00121924185324762,0.00221680336954112,0.00144108191996453,0.00144476550344521,0.000666963094708759,0.00431654676258993,0.00188386524822695,0.0016627868307283,0.000664893617021277,0.00189309576837416,0.00122140795025539,0.00155193437534641,0.00121924185324762,0.00133437117758256,0.000445980599843907,0.000665631240292878,0.000777345918933926,0.00110668437361664,0.00143821219161412,0.00110656191213898,0.0011063170704724,0.0017742293191395,0.000664599025254763,0.000776914539400666,0.00188679245283019,0.00133081956304758,0.00155469183786785,0.00277069710739222,0.00132934529744101,0.0013284623048821,0.000444148345547413,0.000888691401910687,0.000443360673908224,0.00088662307436551,0.00132963988919668,0.00144108191996453,0.00277192593413904,0.00245070736326167,0.00100033344448149,0.00155090284701451,0.00132963988919668,0.00210176991150442,0.00122167925366504,0.000998557638965938,0.00221704910763773,0.00088662307436551,0.00133259300388673,0.00387639827223391,0.00166759310728182,0.000887606790191945,0.0014414014857523,0.000444642063139173,0.0013355592654424,0.00111135807957324,0.00122891297061781,0.00134168157423971,0.000667037242912729,0.000780118132174301,0.00100379210350212,0.00100592377333184,0.000443016945398161,0.000997782705099778,0.000998557638965938,0.00166021029330382,0.000442673749446658,0.00121816168327796,0.00243848370649523,0.00121829659984494,0.0013322971022538,0.00143964562569214,0.000996236440115121
"OTU5",0.0711357340720222,0.0237355811889973,0.0627077332151562,0.0312465373961219,0.0949900243848371,0.00986477499445799,0.0189557698703026,0.0284507668370749,0.0148955091151623,0.01737686773658,0.0202792553191489,0.0151867863873185,0.0537455673758865,0.00879732739420935,0.0228736397956918,0.0280456712116173,0.0185103081356684,0.0167908373179139,0.0321106031887613,0.0473707566008431,0.0393114936146585,0.0254537405931828,0.00995685363425158,0.00365165431005865,0.0125013828963381,0.0230649811488135,0.133805937084626,0.0358490566037736,0.0527192008879023,0.0288344238660308,0.0151027207107163,0.0201706749418154,0.00254791182009527,0.0187091774604229,0.0250943815234288,0.0815374361253055,0.0403458213256484,0.0147401086113266,0.0195013850415512,0.0218379337102317,0.0107550726244595,0.00746351787902417,0.0110036678892964,0.0265869059488202,0.0113019390581717,0.00774336283185841,0.00966237227898712,0.016420725618551,0.00864649151978716,0.0137426576526654,0.0132148806218767,0.0176099235795769,0.0366870483602001,0.0565849328747365,0.0361459141811731,0.0138950644730992,0.00345019476905954,0.0237830629028673,0.0107250586526645,0.0266100178890877,0.0194552529182879,0.0134848991418701,0.0176221280392594,0.00737677433776685,0.0182744489976742,0.0347006651884701,0.0610229668256962,0.0338682899833979,0.0284417884019478,0.0492801771871539,0.0421192640212813,0.0244766862332484,0.0431886310647274,0.0238095238095238,0.0444985609918087
"OTU177",0.00243767313019391,0.000554569653948536,0.000997119432749834,0.000664819944598338,0.0111948570161827,0.00055420084238528,0.000554262276909434,0.000222271615914648,0.000111160515784793,0.00475926950747095,0.000221631205673759,0.000554262276909434,0,0.000111358574610245,0.000666222518321119,0,0,0.000222395196263761,0.000557475749804884,0.000998446860439317,0.000111049416990561,0.00121735281097831,0,0.00210246763306407,0.000553158535236199,0.000776225327123531,0.000443066016836509,0.00144284128745838,0.000221975582685905,0.000221803260507929,0,0,0,0,0.00133244503664224,0.00133303710286603,0.000110840168477056,0.00110827884295689,0.00321329639889197,0.00210619665225585,0.00066526222419337,0,0.00133377792597533,0.00188323917137476,0,0,0.000999555752998667,0,0,0.000221655768591378,0,0,0.000111172873818788,0.000332852546321979,0.000332631112096685,0,0.000111296605453534,0,0.000893754887722042,0.000447227191413238,0.000889382990550306,0,0,0,0,0.000221729490022173,0.00632419838011761,0.00332042058660764,0.000442673749446658,0.00121816168327796,0.000332520505431168,0.00011075423634954,0,0.000775193798449612,0.00110692937790569
"OTU88563",0.000997229916897507,0,0.00022158209616663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110827884295689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110950848773993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU31",0.0497506925207756,0.0652173913043478,0.041879016175493,0.0343490304709141,0.059299490135225,0.0735978718687652,0.0718323910874626,0.0753500777950656,0.020453534904402,0.0872163807415606,0.0730274822695035,0.102538521228245,0.0375664893617021,0.0129175946547884,0.0186542305129913,0.0211728189779404,0.0808024828197739,0.0271322139441788,0.0217415542423905,0.0296205901930331,0.0378678511937812,0.0538955289951306,0.0474610023232658,0.0771273652760872,0.134085628941255,0.0159680638722555,0.0127381479840496,0.0362930077691454,0.0338512763596004,0.0767439281357436,0.0187673514714048,0.0176216336030145,0.00742217791071231,0.0166057788110262,0.0511880968243393,0.0570984225727616,0.0483263134559965,0.0844508478333149,0.0478670360110803,0.0611905553708015,0.0453487082825147,0.0302996546730534,0.0686895631877292,0.0393264650492966,0.0334626038781163,0.0444690265486726,0.0255442025766326,0.0191944968379008,0.0257177696485977,0.0196165355203369,0.028317601332593,0.0254734743603943,0.0529182879377432,0.0503716853433929,0.0264996119303692,0.0122276567363273,0.00478575403450195,0.0137808401867082,0.0254720143000782,0.0138640429338104,0.0233463035019455,0.0139306809316839,0.00546509034128932,0.00927685257628255,0.0143980507254402,0.0254988913525499,0.0185287917452569,0.0166021029330382,0.0561088977423639,0.0241417497231451,0.0507647971624917,0.0689998892457637,0.0615077162207172,0.0596899224806202,0.0715076378127076
"OTU843",0.00277008310249307,0.000554569653948536,0.000664746288499889,0.000664819944598338,0.000443360673908224,0.000775881179339393,0.00177363928611019,0.00155590131140253,0,0.0012174875484228,0.00121897163120567,0.00210619665225585,0.000110815602836879,0,0,0,0,0,0,0,0.000333148250971682,0.000110668437361664,0,0,0,0,0,0,0,0,0,0.000110827884295689,0,0,0,0,0,0,0,0.000110852455381887,0,0,0,0,0,0.000110619469026549,0.000333185250999556,0.000221901697547986,0.000221704910763773,0.000221655768591378,0.000222098833981122,0.000886033890796323,0.000555864369093941,0.000998557638965938,0.000443508149462246,0,0,0,0.000223438721930511,0.000111806797853309,0.000555864369093941,0,0.00011153245594468,0.000111769308147983,0,0.000110864745011086,0.000110950848773993,0.000110680686220255,0.00143868968570164,0.000996677740863787,0.000332520505431168,0.00121829659984494,0.0015543466192961,0.00121816168327796,0
