,sign,Domain,Phylum,Class,Order,Family,Genus
OTU788,Generalists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU572,Generalists,Bacteria,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas/Armatimonadetes_gp3
OTU14625,NS,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Gemmataceae,Gemmata
OTU18601,NS,Bacteria,Acidobacteria,uncl_Acidobacteria,uncl_Acidobacteria,uncl_Acidobacteria,uncl_Acidobacteria
OTU1598,Generalists,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncl_Gemmatimonadaceae
OTU5365,Specialists,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Povalibacter
OTU15485,NS,Bacteria,Proteobacteria,Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria
OTU4828,NS,Bacteria,Verrucomicrobia,Spartobacteria,uncl_Spartobacteria,uncl_Spartobacteria,Spartobacteria_genera_incertae_sedis
OTU7857,NS,Bacteria,Bacteroidetes,uncl_Bacteroidetes,uncl_Bacteroidetes,uncl_Bacteroidetes,uncl_Bacteroidetes
OTU7425,Specialists,Bacteria,Acidobacteria,Acidobacteria_Gp4,uncl_Acidobacteria_Gp4,uncl_Acidobacteria_Gp4,Gp4
OTU11051,NS,Bacteria,Proteobacteria,Oligoflexia,Silvanigrellales,Silvanigrellaceae,Silvanigrella
OTU556,NS,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,uncl_Opitutaceae
OTU3293,NS,Bacteria,Bacteroidetes,uncl_Bacteroidetes,uncl_Bacteroidetes,uncl_Bacteroidetes,uncl_Bacteroidetes
OTU51586,NS,Bacteria,Armatimonadetes,uncl_Armatimonadetes,uncl_Armatimonadetes,uncl_Armatimonadetes,Armatimonadetes_gp4
OTU569,NS,Bacteria,Verrucomicrobia,uncl_Verrucomicrobia,uncl_Verrucomicrobia,uncl_Verrucomicrobia,uncl_Verrucomicrobia
OTU56786,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
OTU18455,NS,Bacteria,Actinobacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU139,Specialists,Bacteria,Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,uncl_Candidatus_Saccharibacteria,Saccharibacteria_genera_incertae_sedis
OTU146,NS,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella
OTU802,Generalists,Bacteria,Proteobacteria,Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria,uncl_Betaproteobacteria
