"","X1351_1887","X1351_1888","X1351_1889","X1351_1878","X1351_1879","X1351_1880","X1351_1882","X1351_1883","X1351_1884","X1351_1885","X1351_1886","X1351_1538","X1351_1539","X1351_1526","X1351_1527","X1351_1528","X1351_1529","X1351_1531","X1351_1532","X1351_1533","X1351_1534","X1351_1698","X1351_1699","X1351_1700","X1351_1689","X1351_1690","X1351_1691","X1351_1692","X1351_1694","X1351_1695","X1351_1696","X1351_1697","X1351_1549","X1351_1550","X1351_1551","X1351_1540","X1351_1542","X1351_1543","X1351_1544","X1351_1545","X1351_1546","X1351_1547","X1351_1548","X1351_1597","X1351_1598","X1351_1588","X1351_1589","X1351_1590","X1351_1591","X1351_1592","X1351_1593","X1351_1594","X1351_1595","X1351_1596","X1351_1852","X1351_1853","X1351_1854","X1351_1843","X1351_1844","X1351_1845","X1351_1846","X1351_1847","X1351_1848","X1351_1849","X1351_1850","X1351_1790","X1351_1791","X1351_1792","X1351_1781","X1351_1783","X1351_1785","X1351_1786","X1351_1787","X1351_1788","X1351_1789","X1351_1779","X1351_1780","X1351_1769","X1351_1770","X1351_1771","X1351_1772","X1351_1773","X1351_1774","X1351_1775","X1351_1776","X1351_1814","X1351_1816","X1351_1805","X1351_1807","X1351_1808","X1351_1809","X1351_1810","X1351_1811","X1351_1812","X1351_1813"
"OTU1139",0.000111209964412811,0,0,0,0.000111358574610245,0,0,0.000111222333444556,0.00011127183709803,0,0,0,0,0,0,0,0.000332815620146439,0.000221975582685905,0,0,0.000221754074731123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110803324099723,0.000221704910763773,0.000110877037365562,0,0.000332446808510638,0,0.000110827884295689,0,0.000221483942414175,0.000110692937790569,0,0.000111209964412811,0.000110926234054354,0,0,0,0,0,0.00022237046920169,0,0,0.000111209964412811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011101243339254,0.000111148160497944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU539",0.000889679715302491,0.000555679039786619,0.000666740748972108,0.000446528242911364,0.000334075723830735,0.000443704936217415,0.000666814847743943,0.001001001001001,0.000667631022588183,0.000778123610493553,0.000998890122086571,0.00166168162180126,0.000110901630253965,0.000221508472699081,0.000999000999000999,0,0.000554692700244065,0.00110987791342952,0.000443803395095972,0.000887213042031718,0.000443508149462246,0,0,0,0,0,0,0,0,0.0002211900022119,0,0,0,0.000665041010862337,0,0.000221901697547986,0.000332852546321979,0.000222148172831278,0.000221483942414175,0.0005550621669627,0.000554385186827808,0.000554139421478444,0.000111098766803688,0.000110803324099723,0.000221704910763773,0.000443508149462246,0,0.000997340425531915,0.00011063170704724,0,0,0.000221483942414175,0.000110692937790569,0.000110680686220255,0.0010008896797153,0.000887409872434831,0.000110950848773993,0.00222222222222222,0.00133096716947649,0.00300969791550552,0.000443508149462246,0.00133422281521014,0.00111234705228031,0.00033303730017762,0.00133451957295374,0.000110950848773993,0,0,0.000222000222000222,0,0.000111185234600845,0.000221729490022173,0.00011101243339254,0,0.000110963160230803,0.000111370976723466,0,0,0,0,0,0,0,0,0,0.000893156190688847,0.000448279726549367,0.0010035682426405,0,0.000780553077609277,0.000893156190688847,0.000447577486852411,0.000555864369093941,0.000668821759001226,0.000223989248516071
"OTU1133",0.000556049822064057,0.000666814847743943,0.00055561729081009,0.000558160303639205,0.000334075723830735,0,0.000333407423871972,0.000444889333778223,0.000222543674196061,0.000111160515784793,0.000554938956714761,0.000332336324360253,0.000887213042031718,0.00143980507254402,0.000222000222000222,0,0.00144220102063457,0.000887902330743618,0.00110950848773993,0.000554508151269824,0.00110877037365562,0.000110791048083315,0.000110570544007077,0.000110619469026549,0.000332042058660764,0.00110766504209127,0.000110729708780866,0.000110766504209127,0.000221680336954112,0.0002211900022119,0.000110840168477056,0,0.00155262282355551,0.000221680336954112,0.000443704936217415,0.000221901697547986,0.000332852546321979,0.000666444518493835,0.000221483942414175,0.00033303730017762,0.000443508149462246,0.000443311537182755,0.000999888901233196,0.000221606648199446,0.00232790156301962,0.000443508149462246,0.000885837670246927,0.00199468085106383,0.000221263414094479,0.000110827884295689,0.000110692937790569,0,0.000221385875581138,0.000553403431101273,0.000111209964412811,0.000665557404326123,0.000332852546321979,0.000666666666666667,0.000332741792369122,0.00100323263850184,0.00110877037365562,0.000333555703802535,0.000667408231368187,0.0005550621669627,0.000667259786476868,0.000332852546321979,0,0.000110901630253965,0,0.000443803395095972,0.000111185234600845,0.000332594235033259,0.00011101243339254,0.000221852468108708,0.000110963160230803,0.000222741953446932,0,0,0,0,0.000778037123485606,0.000110877037365562,0,0,0,0.000223289047672212,0,0.00122658340767172,0.00066949341664807,0.000446030330062444,0.000893156190688847,0.000111894371713103,0.000222345747637576,0.000445881172667484,0.000447978497032142
"OTU61",0.00144572953736655,0.00155590131140253,0.000666740748972108,0.00312569770037955,0.00155902004454343,0.00210759844703272,0.00122249388753056,0.00177955733511289,0.000778902859686213,0.00144508670520231,0.000443951165371809,0.000110778774786751,0.00676499944549185,0.00664525418097242,0.000555000555000555,0.000110619469026549,0.000554692700244065,0.00321864594894562,0.00366137800954177,0.00388155705888877,0.00399157334516022,0,0,0.000110619469026549,0,0,0,0,0.000221680336954112,0,0.000110840168477056,0,0.000887213042031718,0.00110840168477056,0.000665557404326123,0.00410518140463775,0.000998557638965938,0.000555370432078196,0.000332225913621262,0.00344138543516874,0.000221754074731123,0.00609553363626288,0.00166648150205533,0.00188365650969529,0.00443409821527547,0.00121964741102118,0.00708670136197542,0.00199468085106383,0.00011063170704724,0.000332483652887066,0.000110692937790569,0.000332225913621262,0.000553464688952845,0.000332042058660764,0.00111209964412811,0.000887409872434831,0.000665705092643959,0.00122222222222222,0.000332741792369122,0.000668821759001226,0.00587648298037476,0.00088948187680676,0.000778642936596218,0.0005550621669627,0.000556049822064057,0,0,0.000443606521015859,0.000111000111000111,0,0.000111185234600845,0,0,0,0.000221926320461607,0.000111370976723466,0,0.000221901697547986,0,0.00011101243339254,0.00144492608647327,0,0,0,0,0.000111644523836106,0.000112069931637342,0.0010035682426405,0,0.00111507582515611,0.00133973428603327,0.00111894371713103,0.000111172873818788,0.000222940586333742,0.000783962369806249
"OTU957",0.000667259786476868,0.000222271615914648,0.000444493832648072,0.000446528242911364,0.000556792873051225,0.000776483638380477,0.000555679039786619,0.000667334000667334,0.000890174696784244,0.000778123610493553,0.000887902330743618,0.000110778774786751,0.000443606521015859,0.000443016945398161,0.00133200133200133,0,0.000332815620146439,0.000332963374028857,0.000998557638965938,0.00110901630253965,0.000332631112096685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110950848773993,0,0,0.00066607460035524,0,0,0,0.000332409972299169,0.000110852455381887,0.000221754074731123,0.000442918835123464,0.000221631205673759,0,0,0,0,0,0,0.00200177935943061,0.000887409872434831,0,0.00133333333333333,0.000110913930789707,0.00100323263850184,0.000110877037365562,0.000555926173004225,0.000667408231368187,0.00022202486678508,0.00111209964412811,0,0,0,0.000111000111000111,0,0,0.000110864745011086,0,0,0,0.000111370976723466,0,0,0,0,0.000666888962987663,0,0,0,0,0.000223289047672212,0.000112069931637342,0.000892060660124889,0,0.00133809099018733,0,0.000559471858565514,0.000667037242912729,0.000668821759001226,0.000671967745548214
"OTU273",0.000889679715302491,0.000222271615914648,0.000444493832648072,0.00145121678946193,0.00300668151447661,0.000443704936217415,0.00188930873527451,0.001001001001001,0.00122399020807834,0.000666963094708759,0.000443951165371809,0.000110778774786751,0.00310524564711101,0.000332262709048621,0.000666000666000666,0,0.000110938540048813,0.00155382907880133,0.0015533118828359,0.000554508151269824,0.000110877037365562,0,0,0,0,0.000110766504209127,0,0,0.000110840168477056,0,0,0,0.000332704890761894,0.000110840168477056,0.000110926234054354,0.000665705092643959,0.000221901697547986,0.000111074086415639,0.000110741971207087,0.00033303730017762,0.000110877037365562,0,0.000111098766803688,0.000997229916897507,0.00110852455381887,0,0.00476137747757723,0.00110815602836879,0,0.000443311537182755,0.000110692937790569,0,0,0.000553403431101273,0.0010008896797153,0.000998336106489185,0.000332852546321979,0.00233333333333333,0.000110913930789707,0.00144911381116932,0.00166315556048342,0.00155659328441183,0.0014460511679644,0,0.00177935943060498,0.000554754243869966,0.00100144653388227,0.000110901630253965,0.000666000666000666,0.000332852546321979,0.000333555703802535,0.000332594235033259,0.00044404973357016,0.000110926234054354,0.000110963160230803,0.000779596837064261,0,0.000110950848773993,0,0,0.000555740802489719,0,0,0,0.000111247079764156,0.00178631238137769,0.00168104897456013,0.00234165923282783,0.00212006248605222,0.00345673505798394,0.0018979569052138,0.00313304240796688,0.00200111172873819,0.00178352469066994,0.00324784410348303
"OTU4781",0.000667259786476868,0.000333407423871972,0.000222246916324036,0.000334896182183523,0.00044543429844098,0.000443704936217415,0.000333407423871972,0.000333667000333667,0.00100144653388227,0.000444642063139173,0.000332963374028857,0.000443115099147003,0.000221803260507929,0,0.000999000999000999,0.000110619469026549,0,0.000887902330743618,0.000554754243869966,0.000110901630253965,0.000332631112096685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222148172831278,0,0.00044404973357016,0.000110877037365562,0,0,0,0.000221704910763773,0,0,0,0,0,0,0,0,0,0.00144572953736655,0,0.000110950848773993,0.000777777777777778,0.000332741792369122,0.000334410879500613,0,0.00100066711140761,0.000111234705228031,0.00033303730017762,0.00122330960854093,0,0,0,0.000111000111000111,0,0,0.000110864745011086,0.00011101243339254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000334522747546833,0,0,0.000223289047672212,0.000223788743426206,0.000111172873818788,0.000111470293166871,0.000671967745548214
"OTU49",0.00144572953736655,0.00244498777506112,0.00188909878875431,0.00312569770037955,0.00556792873051225,0.00177481974486966,0.00366748166259169,0.00600600600600601,0.00344942695003895,0.00344597598932859,0.00310765815760266,0.00343414201838928,0.0334922923366974,0.00343338132683575,0.00543900543900544,0.000331858407079646,0.00543598846239183,0.0097669256381798,0.00521468989237768,0.00388155705888877,0.00875928595187937,0.00697983602924884,0.00033171163202123,0.00464601769911504,0.000221361372440509,0.00708905626938414,0.00055364854390433,0.00210456357997342,0.00443360673908224,0.00210130502101305,0.00310352471735757,0.0013271400132714,0.00632139292447599,0.00243848370649523,0.0139767054908486,0.00898701875069344,0.0048818373460557,0.0127735199377985,0.00465116279069767,0.0192051509769094,0.011642088923384,0.004987254793306,0.00199977780246639,0.00343490304709141,0.00731626205520452,0.00454595853198802,0.0194884287454324,0.0109707446808511,0.00154884389866136,0.00520891056189737,0.0049811822005756,0.00321151716500554,0.00354217400929821,0.00343110127282789,0.00889679715302491,0.00244037714919578,0.000887606790191945,0.00211111111111111,0.00299467613132209,0.00222940586333742,0.00365894223306353,0.00177896375361352,0.00200222469410456,0.0005550621669627,0.00189056939501779,0.00743370686785754,0.00611995104039168,0.00731950759676167,0.00532800532800533,0.00931987129701542,0.00622637313764732,0.00742793791574279,0.00521758436944938,0.0140876317249029,0.00632490013315579,0.00289564539481011,0.00132919805050953,0.00454898479973372,0.0105263157894737,0.00210923623445826,0.0123374458152718,0.00199578667258011,0.00155624722098711,0.00255356944598646,0.000556235398820781,0.00223289047672212,0.00325002801748291,0.00111507582515611,0.00412854273599643,0.00490633363068689,0.00457742547728034,0.0041400917533848,0.00211228460255698,0.00144911381116932,0.00425579572180535
"OTU774",0.00133451957295374,0.000555679039786619,0.000666740748972108,0.00167448091091762,0.00256124721603563,0.000443704936217415,0.00188930873527451,0.00266933600266934,0.0014465338822744,0.00033348154735438,0.000332963374028857,0.000553893873933754,0.00255073749584119,0.000332262709048621,0.00210900210900211,0,0.000110938540048813,0.00244173140954495,0.00110950848773993,0.000887213042031718,0.00177403259784899,0.00022158209616663,0,0.000221238938053097,0,0.000221533008418254,0.00055364854390433,0.000553832521045636,0.000443360673908224,0.00033178500331785,0.000110840168477056,0.00055297500552975,0.00210713097482533,0.000775881179339393,0.00166389351081531,0.000332852546321979,0.000554754243869966,0.000999666777740753,0.000553709856035437,0.00022202486678508,0.00177403259784899,0.00088662307436551,0.000888790134429508,0.000886426592797784,0.00144108191996453,0.000554385186827808,0.00575794485660503,0.00265957446808511,0.000331895121141719,0.00144076249584395,0.000110692937790569,0.0008859357696567,0.000221385875581138,0.00132816823464305,0.00200177935943061,0.000332778702163062,0.000110950848773993,0.000222222222222222,0.000110913930789707,0.000222940586333742,0.000110877037365562,0.000333555703802535,0.000889877641824249,0.00022202486678508,0.000889679715302491,0.00299567291689781,0.00589740736619562,0.00487967173117445,0.00510600510600511,0.00399423055586375,0.00366911274182789,0.00343680709534368,0.00244227353463588,0.0028840820854132,0.00210830004438526,0.00378661320859784,0.00155073105892778,0.00410518140463775,0.0110803324099723,0.00643872113676732,0.00577970434589308,0.00654174520456813,0.00444642063139173,0.00266459420450761,0.00367115363221715,0.00100480071452495,0.00201725876947215,0.00133809099018733,0.00133898683329614,0.00256467439785905,0.000893156190688847,0.000447577486852411,0.00166759310728182,0.000668821759001226,0.000783962369806249
"OTU224",0.00077846975088968,0,0.000666740748972108,0.00212100915382898,0.00178173719376392,0.000554631170271769,0.000333407423871972,0.00155711266822378,0.000778902859686213,0.000555802578923966,0.000221975582685905,0.000221557549573502,0.00310524564711101,0.00011075423634954,0.000222000222000222,0.000110619469026549,0.000443754160195252,0.00188679245283019,0.000665705092643959,0.000554508151269824,0.000554385186827808,0,0,0,0.000221361372440509,0.000110766504209127,0.000110729708780866,0.000221533008418254,0,0,0.000332520505431168,0,0,0,0,0.000110950848773993,0,0.000111074086415639,0,0,0.000110877037365562,0,0,0.000332409972299169,0.00110852455381887,0.000221754074731123,0.00409699922489204,0.00410017730496454,0.000221263414094479,0.000110827884295689,0.000110692937790569,0.000664451827242525,0.000442771751162276,0.000442722744881018,0.0010008896797153,0.000554631170271769,0,0,0,0,0.000110877037365562,0.00044474093840338,0.000444938820912125,0.00044404973357016,0.000222419928825623,0,0.000222543674196061,0,0,0.000110950848773993,0.00022237046920169,0,0.00011101243339254,0,0,0,0.000110766504209127,0,0,0,0.000444592641991775,0.000221754074731123,0.000111160515784793,0.00011102475852115,0.000333741239292469,0.000111644523836106,0,0.000334522747546833,0,0.000669045495093666,0.000446578095344423,0.000223788743426206,0,0.000557351465834355,0.000335983872774107
