"","SRR13801425","SRR13800996","SRR13800985","SRR13801436","SRR13801262","SRR13801251","SRR13801085","SRR13801515","SRR13801504","SRR13801052","SRR13801041","SRR13801168","SRR13801167","SRR13801172","SRR13801166","SRR13801165","SRR13801164","SRR13801162","SRR13801161","SRR13801160","SRR13801158","SRR13801459","SRR13801458","SRR13801457","SRR13801460","SRR13801456","SRR13801455","SRR13801454","SRR13801452","SRR13801450","SRR13801449","SRR13801544","SRR13800954","SRR13800953","SRR13800951","SRR13800955","SRR13800949","SRR13800948","SRR13800947","SRR13800946","SRR13800945","SRR13800944","SRR13800943","SRR13801387","SRR13801386","SRR13801388","SRR13801384","SRR13801382","SRR13801381","SRR13801380","SRR13801379","SRR13801378","SRR13801377","SRR13801376","SRR13801005","SRR13801004","SRR13801003","SRR13801006","SRR13801002","SRR13801001","SRR13801000","SRR13800999","SRR13800998","SRR13800995","SRR13800994","SRR13801254","SRR13801253","SRR13801252","SRR13801255","SRR13801249","SRR13801103","SRR13801102","SRR13801101","SRR13801100","SRR13801099","SRR13801082","SRR13801081","SRR13801084","SRR13801080","SRR13801520","SRR13801519","SRR13801518","SRR13801517","SRR13801516","SRR13801514","SRR13801061","SRR13801058","SRR13801062","SRR13801056","SRR13801496","SRR13801495","SRR13801494","SRR13801493","SRR13801492","SRR13801491"
"OTU2155",0,0,0,0,0,0,0,0,0,0,0,0.000791295746785361,0,0,0,0,9.88826263225551e-05,0,0,0,0,0.00019782393669634,0,0,0,0,0,0,0,0,0,0,0.00039564787339268,0.000395530505290221,0.000890471950133571,0.00108803165182987,0.000296677215189873,9.89021857383048e-05,0,9.88826263225551e-05,9.89119683481701e-05,0.00128585558852621,0.000296853354442905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395569620253165,0.00128623726130405,0,0.000395882818685669,0.000790904597132971,9.89511181476351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU6262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,9.89217528934613e-05,9.88826263225551e-05,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0,0,0,0,0,9.89511181476351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU11931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88630746416214e-05,0,9.88924050632911e-05,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029673590504451,0,9.89021857383048e-05,9.8960910440376e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU735",0.000197745699031046,9.8872849515523e-05,0,9.89217528934613e-05,0,0.00108813928182807,0.00049480455220188,0.000692589294548333,0.00019780437147661,0.014436863443093,0.0019782393669634,0,0,0,0,0.0134693473308904,0,0,0,0,0,0.00534124629080119,0,0,0.0046465645081562,0,0.000494462025316456,0,0,0,9.8872849515523e-05,0,0,0,0,0.00029673590504451,0,0,0.000395608742953219,0,0,0.00356083086053412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395726157499011,0.000296912114014252,0,0,0,0.00820969337289812,0,9.89021857383048e-05,0,0,0.000197882655585238,0.000296853354442905,0,0,0,0.0378720458815386,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0.000296882731321128,0,0,0,0,0.000890119671644743,0,0,0,0
"OTU2857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,9.8941327792619e-05,9.89119683481701e-05,9.88924050632911e-05,0,0,0,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU11610",0,0,0,0,0.000296677215189873,0,0.000296882731321128,0,0,0.000296647878967665,0,0,0.000197784810126582,0,0,0,0,0,0,0.00277117973079968,0.000692315300168134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00019776525264511,0,0,0.000593824228028504,0,0,9.88826263225551e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8941327792619e-05,0,0,0,0,0,0,0
"OTU3802",0,0,0,0,0,0,0,0,0,0,0,0.00039564787339268,0,0,0,0,0.00019776525264511,0,0,0.000395882818685669,0,0.00019782393669634,0,0,0,0,0,0,0,0,0,0,0.000692383778437191,0.00118659151587066,0.000296823983377857,0.00187932739861523,0.000692246835443038,0,0,9.88826263225551e-05,0,9.89119683481701e-05,0.00019790223629527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296677215189873,0.000890471950133571,0,0.000197941409342835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU902",0,0,0,0,0,0,0,0,0,0,0,0.00039564787339268,0,0,0,0,0.00019776525264511,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0.000494559841740851,0,0,0,0,0,0,0,0.000494559841740851,0,0.00019790223629527,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8941327792619e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU4834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89511181476351e-05,0,0,0.000197843505786923,0,0,0,9.89217528934613e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1238",9.8872849515523e-05,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0.00019782393669634,0,0,0,0,0,0.00316486994362575,0.00118717847249703,0.00207838479809976,0.00019780437147661,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0,0,0,0,0,0,0.00019782393669634,0,0.000395608742953219,9.8872849515523e-05,0.000988826263225551,9.8872849515523e-05,0,0,0.000494755590738175,0,9.88826263225551e-05,0.000296706557214914,0.00148353278607457,0,9.89217528934613e-05,0,0,9.89315393747527e-05,0.000197863078749505,0,0,0,0,0.000296882731321128,0,0,0,0,0,0,0,0,0,0,9.89217528934613e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1334",0,0,0,0,0,0,0,0,0,0,0.00148367952522255,0.00356083086053412,0.000395569620253165,0,0,0.000297117955828464,0,0,0,9.89707046714173e-05,0,0,0,9.88630746416214e-05,0,0,0.000395569620253165,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0,9.89511181476351e-05,9.89021857383048e-05,0,0.00257094828438643,0,0.00158259149357072,9.8872849515523e-05,9.89511181476351e-05,0,0,0,0.000296706557214914,0.00019776525264511,9.89217528934613e-05,0,0,0.000494657696873763,9.89315393747527e-05,0,0,9.89707046714173e-05,0,0.000791687283523008,9.88924050632911e-05,9.8941327792619e-05,0.00019790223629527,0,0,0,0,0,0.000296765258680384,0,0.000692452270254229,0,0,0.000494510928691524,0.00019780437147661,0,0,0,0,0,0,0,0.000197882655585238,9.89511181476351e-05,0.000296706557214914,0,9.89119683481701e-05,0.000197980597901406,0.000197941409342835,0.000297000297000297
"OTU1492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000494510928691524,0,0,0,0,0,0,0,0.000494462025316456,0,0,0,0,0,0.00731948565776459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000791061010580441,0.00217627856365615,0.000296794618124258,0.000296912114014252,0.000593589236248516,0.000296794618124258,0,0.00039564787339268,0,0.000593413114429829,0.0045522018802573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89511181476351e-05,0,0,0,0,0,9.9000099000099e-05
"OTU910",0.0012853470437018,9.8872849515523e-05,0.000593354430379747,0.00563853991492729,0.0033623417721519,0.000989217528934613,0.000692726373082632,0.00098941327792619,0.000692315300168134,0.000791061010580441,0,0,0,0,9.88924050632911e-05,0,0,0,0.000197863078749505,0.0028701504354711,0.00148353278607457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395530505290221,9.89217528934613e-05,0,0,0,0.000593589236248516,0.00019776525264511,9.89119683481701e-05,0.00455265241488519,0.00138463060033627,9.8960910440376e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU6881",0,0,0,0,0,0,0,0,0,0,0,0.00029673590504451,0.000296677215189873,0,0,0,0,9.89021857383048e-05,0,9.89707046714173e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89511181476351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89902989507028e-05,0,0
"OTU2340",0,0,0,0.00108813928182807,0,9.89217528934613e-05,0.000197921820880752,0.000197882655585238,0,0,0,0,0.00128560126582278,0,0.000395569620253165,0,0,0.00267035901493423,0.000197863078749505,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000692315300168134,9.8960910440376e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU7643",0,0,0,0,0,0,0,0,0,0,0,0.00316518298714144,0.00632911392405063,0,9.88924050632911e-05,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019782393669634,0,0,0,0,9.89021857383048e-05,0,9.88826263225551e-05,9.89119683481701e-05,0,9.89511181476351e-05,0,0,0,0,0,0,0.00019790223629527,0,9.88826263225551e-05,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU92",0,0.000197745699031046,0.000296677215189873,0,0,0,0,0.000197882655585238,0,0,0,0,0,0,0,0,0,0,0.000296794618124258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197745699031046,0,0,0,0.000494510928691524,0,0,0,0,9.89707046714173e-05,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU119",0,0,0,0,0,9.89217528934613e-05,0,9.8941327792619e-05,0,0,0,0.000494559841740851,0.000395569620253165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0.000494559841740851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197843505786923,0,0,0,0,0,9.8941327792619e-05,0,9.89315393747527e-05,0,9.8960910440376e-05,0,0,0,0,0,0,0.000197980597901406,9.89707046714173e-05,0
"OTU3554",0,0,0,0,0,0,0,0,0,0,0,0.00019782393669634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,0,0,9.89119683481701e-05,0,9.8941327792619e-05,9.89119683481701e-05,0,0.00138463060033627,0.000494510928691524,0,9.89119683481701e-05,0,0,0,0,0,9.8872849515523e-05,0,0,0.00158321789036216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8960910440376e-05,9.88924050632911e-05,0.000296823983377857,9.89511181476351e-05,0.000197941409342835,0,0.00039580447259054,0,0,0,9.89119683481701e-05,0,0,9.89217528934613e-05,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0
"OTU295",0,0,0.000494462025316456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019782393669634,0,0.00118635689569946,0.000889767671774592,0.000197784810126582,9.88924050632911e-05,0.00019782393669634,0,0,0.00296618548546569,0,0.000890207715133531,0.00543854444774053,0.00544177302859404,0.0204747774480712,0.000197784810126582,0.00108792404312135,0.000494510928691524,0,0,0.00108803165182987,0.000494755590738175,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0018796992481203,0.00118764845605701,0.0181044717055797,0,0,0,0,0,0.00217714002968827,0.000988924050632911,0.00375977045611952,0.00039580447259054,0.00178147268408551,0.00108749382105783,0.00346328913516723,0.00998714525857807,0.00385680379746835,0.000197843505786923,0.00118694362017804,0.00801266198437036,0.000692726373082632,0.000989217528934613,0.000989021857383048,9.89021857383048e-05,0,0,0.000296647878967665,0.000197863078749505,0.00514342235410485,0,0,0,0,0,0,0,0,0,0
"OTU2773",0,0,0,0,0,0,0,0,0,0,0,0.000890207715133531,9.88924050632911e-05,0,0,0,0,0,9.89315393747527e-05,9.89707046714173e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8941327792619e-05,0.000791295746785361,0,0,0,0,0,9.89119683481701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8941327792619e-05,9.89119683481701e-05,0,0,0,0,9.89119683481701e-05,0,9.89511181476351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
